我下次还是骑车去吃三十块钱的麻辣烫吧 这个真不好吃。。。 ​​​
今天去逛超市 看到各类各样的月饼 忽然有点想家了 ​​​
人总意识不到自己做了什么 总是反复回想对方哪里欠自己 对方的要求和自己不匹配 ​​​
额想吃羊肉泡馍刀削面 ​​​
谢谢好朋友们。。把所有东西都交给时间吧 不要非让自己得出一个结论 交给时间去评判 ​​​
我不知道 ​​​
英语我真是拿你没辙了 ​​​
俺不活了 ​​​
素
Repost
//@姐妹撒泼指北://@她们的武术俱乐部://@一川月白lina://@_轻成一只飞燕_:homeless的梗太绝了//@深海与黑夜:“女孩天生会照顾人，刚出生医生就，哟胎盘都擦得锃亮”这个反讽差点没给我笑岔气🤣//@枯藤老树昏头鸦:#那些应该质疑的语言#敏感起来，质疑起来！让我们一起戳破谎言！// ...展开
学的我很焦虑 ​​​
深以为然
love is fleeting ​​​
好想去听。。。//@江南大野花:好想看现场//@angel安淇儿:代//@老魚u:先代了//@你别说还真是这样:有意思，代//@烫金真爱册:代//@逆转的桥_Bridge:有趣//@胖子很可以:笑死，好辩题一眼让人启动大脑//@脆皮鸭基地: 来看商学院的“情敌是敌人还是同好”，也可以代 查看图片
好不容易不唠嗑了决定七点下楼写作业 但忽然开始想拍那个柠檬叉的舞。。。马上来劲了学了半个小时 一身汗但是好开心啊嘿嘿嘿 ​​​
真好
后知后觉发现度过了梅雨季。。 ​​​
好烦 想回去看电视剧 ​​​
苏州奥体特别特别漂亮。。第一次见到里面还有山有水的 ​​​
Repost
空调不要钱吗 怎么能这么冷这么冷这么冷 ​​​
学英语学到现在感觉自己每天都在欠高利贷 ​​​
卧槽我真服了 这英语课上的我觉得在上高中 ​​​
别管 看到学校发的推送 第一件事就是把学习通知到给删了 ​​​
//@CafeCathy14://@劳东燕2004:据说可能是因为武大事件拉黑我的，那我非得再转发一下不可了。都是法律人，看事实吧。败诉不等于诬告，普通人不能理解还勉强说得过去，法律人也不懂吗？如果认定是诬告，那让男生一方提起诬告的诉讼呗，看法院是否会支持他胜诉。另外，前段时间我把涉事女生的学位论文从 ...展开
你知道有多热吗老天奶  ​​​
爱自己听起来是个很宏大的主题 但从小事开始 就会觉得很简单 比如我自己安好了一辆电动车 发现车头还是很歪的时候拿起扳手又改了改 加固的很成功 我很佩服自己呀 以前肯定觉得 我学不会 算了 比如选课 大家都说得回去考试 老师也这么说 但我不想这么麻烦 我就一边研究学业完成情况一边看选课一边想办法 ​​​ ...展开
