如如不动放下小我 以观察者的身份存在 不抓取活在每一个更新的当下 ​​​
最好的麦麦
一些“不可能”“不合理”“做不到”或许是自己的思想和认知限制 学会渐渐突破限制性的想法 大脑如果发出信号 身体也会跟上 其实本来就没有所谓的“不可能” 没这种说法 ​​​
实践的意义
静下心来想想 其实自己已经很幸运了 以后的每一天都要学会感恩👑🧚‍♀️ ​​​
很难预知某个瞬间的价值 直到它成为回忆 ​​​
点到为止 过度的关心和没门槛的善良 伤害的只会是自己
柔韧是她的力量 喜欢这句💋
以理想状态存在调整到理想状态的频率 ​​​
你要相信 你能做到
