#容易内耗的人如何调整情绪# 我很好奇啊，大家大学被孤立的时候怎么过来的，虽然不太在意，但也不可能什么情绪都没有，想调整一下状态 有没有什么好办法 ​​​
粉丝头条使用攻略超话 @Dear-迪丽热巴 为热巴沉迷 ​​​
#生活手记# 兄弟们，你们宿舍有精神分裂症的人嘛😱，就因为一点事情而大声尖叫的那种😮‍💨，跟这种人我无法沟通😮‍💨 ​​​
#迪丽热巴# ♡+♡=♡²以前总以为自己不会心动，但是遇到她你让我怎么淡定 ​​​
来我的主页看看我的精选照片吧 ​​​
