埃及 我不会放弃去你的🏜️ ​​​
不要下雨了好吗好的 ​​​
“在犹豫的瞬间，她会产生错觉，仿佛自己对人生也有一定的选择权。”
很曝光的一张照片🌆 ​​​
好吧 我决定在这个时候原谅每一个人 ​​​
“得到和失去对我来说都不要紧” ​​​
82.6 查看图片
“我不需要爱 但我需要尊重，我并不需要赞美 我知道我的价值；我也并不需要安慰 因为我知道我的力量。” ​​​
还是很想去到远方啊 ​​​
感觉最近 挺自知也很知足 没有不好的事情发生 身边都是很好很好的人 希望 知足常乐 同时 保持悲悯吧 ​​​
请春天快快来到我身边吧～
是呀是呀～
如果她欲把手伸进我的手指之间。如果她欲喝我喝过的咖啡。如果她欲在钞票间藏一张我的小照。如果她欲送我早已不读的幼稚书本作礼物。如果她欲记住每一种我不吃的食物。如果她欲听我的名字而心悸。如果她欲吻。如果她欲相爱。如果可以回去。好，好，都好。我想跟她躺在凯蒂猫的床单上看极光，周围有母鹿 ...展开
人生长恨水长东 ​​​
一直觉得自己在这时候缺失了什么 原来是没有那些热泪盈眶的瞬间 ​​​
最近有点太“脚踏实地”了 感觉需要看点小说什么的 让我感觉现实是很飘渺的东西来维持对生活的新鲜感吗 ​​​
如果你每天都对我做了同一件小事 那等你某天不再做的时候我就会讨厌你 ​​​
是呀是呀～
嗯 因为我觉得 真诚不是自贬互夸 不是向下兼容假装我理解你你理解我这样子 我觉得在你面前我可以不拘谨不拘束的说话 这种舒服的关系对我来说就是最大的真诚 ​​​
青春是读不懂的拜伦诗集 ​​​
如果她欲吻 如果她欲爱 ​​​
今天好天气～ ​​​
因为足够自知 所以失去任何都不会感到可惜 ​​​
“这世界有一个你真是盛大的奇迹” ​​​
我古怪的性格 倔强的脾气 竟然也能成为你爱我的优点之一 ​​​
蓝耶 ​​​
回想起当时 特别好奇以后 但是又很焦虑未来 最后总是要想到困的不行睡过去 梦里好的坏的都有 但是现在全都没有发生呀 我就觉得好幸运 因为未知的话 好坏都可以 ​​​
非得变坏才能立足世界吗 可我想做一辈子小孩 ​​​
很早以前 我甚至因为没办法完全理解你的痛苦而产生负罪感 一种健全面对残缺的羞愧和负罪 ​​​
她才不会在乎下雨，她的人生中，本就阴雨不停。 ​​​
好喜欢晚上的时候躺床上听失落沙洲呀 ​​​
明天就要离家 妈妈说叫我到学校多想想她 其实去了马上忘本 ​​​
🧸 ​​​
爱就是说一百次对不起 而我会原谅你 ​​​
谢谢你喜欢我 ​​​
84 ​​​
高中的时候 我想 如果我感到麻木 我就去打一个耳洞 但其实挤压了很久 索性打了八个 时间不长 也许我没有耐心 所以闭合的三个已经半年多了 我想 之后一个月里 我会再打两个的 嗯。 ​​​
人生南北多歧路 ​​​
