#四六级明天查分#六级过过过🙏 ​​​
不想开学 想一键跳到暑假 ​​​
那些幸福的日子像是在挤海绵里的水。 ​​​
突然想起来初中的时候，我让爸爸给我报了学校组织的四川研学，后来得知我的两个朋友都没有去这个研学的意愿，我那时稍微有点i，怕没人聊天，就叫爸爸退了款。    那时的我怎会知道四川重庆变成了我的执念呢，即使我还没去过重庆，那里的一切对我来说却很熟悉。    如果平行时空里的我去了那趟研学， ​​​ ...展开
在熬夜和睡觉之间选择了通宵。 ​​​
我不行了我除夕夜吃太多了 现在闻到饭菜味就想吐 ​​​
为什么偏偏在期末的时候喉咙痛头痛啊damn ​​​
现在好多次哭都是为那些过去的幸福的瞬间而哭 ​​​
人的存款只要稍微多一点，物欲就会降低。 ​​​
对自己好一点 ​​​
