#王楚钦vs卡尔森#再来！ ​​​
#樊振东vs莫雷加德#看过张本智和，这都是小场面 ​​​
#樊振东vs张本智和#这要是输了会怎么样啊 ​​​
#樊振东vs张本智和#紧张的想死 ​​​
#汪苏泷又好听了#但是哥，你唱错词的时候是不是没绷住笑了哇哈哈哈哈哈哈哈 ​​​
#汪苏泷又好听了#下一周的单曲循环 ​​​
#汪苏泷又好听了#这是真的好听，好好好好听 ​​​
#汪苏泷#没觉得难听，很好听很稳 ​​​
#汪苏泷 难听#我觉得还行啊。。。 ​​​
#汪苏泷 难听#纯路人我觉得很好听啊，他rap不需要在这儿证明吧，应该是为了配合歌曲需要 ​​​
#北邮15名研究生联名举报导师#压热搜干什么，心虚吗 ​​​
#北邮15名研究生联名举报导师#支持改革研究生毕业制度，导师一言堂本身就有问题，权力集中是滋生学阀现象的罪魁祸首 ​​​
#南航大学回应学生与教授发生关系#师生恋不是什么见不得人的事儿，年龄差也不是问题，问题是有没有带来别的什么 ​​​
