此时此刻 ​​​
静坐听雨 ​​​
留ip  ​​​
如何对抗遗忘 如何看待命运 ​​​
“清醒”或许也有部分如桑塔格的评价：“对仅仅是个人的东西不耐烦（正如卡内蒂所说，个性坚强的标志之一是热爱客观），以及厌恨自怜。” ​​​
需要上班 需要规律作息 需要秩序感 ​​​
在机场/在路上是从日常生活逃逸的时刻 给我时间发呆 想一些有的没的 看天空一点点变色 我还是觉得好困惑 ​​​
闪现  ​​​
喜欢深圳的天空 ​​​
今天进入九月。过去一年是在渡劫，有好多次我感到世界坍塌了，我碎掉了。后来发现其实坍塌的只是我的天真想象，心碎也只是会痛而已，是不会死人的，无论如何都会survive，我已经足够幸运。希望新的一岁更无畏，无畏面对现实，无畏受伤，无畏变老，无畏偶尔没有安全感。没什么可怕的，everything will b ​​​ ...展开
一个人需要多少智慧和意志力才能无愧地过完一生 ​​​
每天颜色都不一样 喜欢 ​​​
路上刷到蔡崇信的一段视频，大意是说不必过度思考五年十年的长期职业规划，而是立足当下的领域，看看能接触到什么，然后抓住机遇。我觉得这是非常好的思路。因为现在可接触的信息太过庞杂，所以多数人倾向于认为选择大于努力。就像我总是试图在众多选择中找到一个最优选，好像只要找到这条路，顺着走下 ​​​ ...展开
今天很开心 认识到很真诚的人 有很愉快的deep talk 总是会有人让我觉得自己幸运 我真的看到了更大的世界 ​​​
本周：如果我能率先诚实地面对自己，知道自己有什么，要什么，愿意为此付出什么，那在面对世界的时候就会更无畏。一旦接受了everything has a price，我就不再觉得自己是脆弱的。 ​​​
要多给妈妈打电话//@李海鹏:孩子有一天将跟自己近乎断绝关系，无论你多么爱，也无论你怎么做，这个事实都逃不掉，最好早早做好心理准备。//@西窗随记:不是母亲也看哭了//@索马里索马里:我也（哪怕提前了十几年）。。//@译者黄天怡:哇哇大哭。
也认识到不该只从情感维度理解关系 情感之外还有人格 人性 权力 利弊
又出发喽
是最近的感受。活在现实里，积极地创造和世界的联系，接纳过程中产生的羞耻感和挫败感，60分的现实大于100分的想象。这可能是对抗虚无的唯一方式。
其实入职培训是很特别的体验，好像暂时脱离强竞争环境后拿到一张入场券，好像依然是学生，会被格外宽容地对待。昨天的晚会让我感到强烈的幸福，恍惚回到了22年盛夏，夜晚的操场，我们也是这样唱了好多首独属于学生时代的歌。军训/运动会/小组赛/迎新晚会，有些经历只能在特定的人生阶段发生，情绪和状 ​​​ ...展开
面对现实 尊重现实
工作了几个月才实感人生到了一个新阶段，不再有既定的轨道和标准，也不再有标准带来的安全感。该放下一些过去的东西，光环，失败，不合时宜的认知。好像重新变成一个小学生，一切都是崭新的，都才刚刚开始，所以不必责备自己做得不够好，也不必有什么得失心。只是这一次我要更加相信自己，会明白自己想 ​​​ ...展开
清远好吃👍 ​​​
我还是需要主动地爱 需要欲想 需要劳动和创造 需要感恩 信任 期待 这些本身就是目的 ​​​
最喜欢出发的心情  ​​​
我好像触摸到命运 ​​​
谢谢
觉得自己要碎了 很难说夜晚是让人更清醒还是更不清醒 ​​​
会过去的//@如竟没有炬火://@千寻和菠萝油:有朋友一直说想看去年秋招时我写的东西，秋招很苦，我全都经历过。祝大家无论有没有去成最想去的地方，都不要产生怀疑自己能力的情绪。工是一阵子的，你活一辈子。
下午回宿舍一个人待着时候感到一阵恐惧，这个人和我不在同一层楼了我都会想他，我回家以后要怎么办。真正痛苦的时候还没开始吧。 ​​​
高铁站东铁线一日游  ​​​
@九型人格小行家 根据我的微博判断我的动物塑 ​​​
我发现不管有多少焦虑和茫然 在独自出发的那一刻我还是会觉得很兴奋 很值得 可能我想要的不是一条清晰的道路 是一个又一个新的开始宁德 ​​​
只有失去的温柔最温柔  ​​​
换换ip ​​​
看完卷王视频 脑子里开始回荡lose everything and die alone. ​​​
鸽你是不是有点凶了 程上签的微博视频 ​​​
鸽你还真是不客气 程上签的微博视频 ​​​
这跟鸟巢内场有啥区别啊啊啊啊 我幸福死了  程上签的微博视频 ​​​
还有什么惊喜… ​​​
我跪了不会每年都要来打卡一次吧//@程上签:我一辈子跟这个破法势不两立
和su的小鸟彻底混熟了 ​​​
很多个赶due的平凡日子被坚尼地城的落日照亮 ​​​
今晚再不早睡我就是狗 ​​​
走了拜拜  ​​​
我只要保护好自己向上的欲望 ​​​
真的 电动车满街乱飞 恐怖程度不亚于广东蟑螂
@MBTI小行家 根据我的微博，判断我的mbti ​​​
十五年过去 再次为一起来看流星雨的ost上头 还发现每一首都会唱 ​​​
真的吗
