顶
价格 ！
“因果关系是这个世界上最大的迷信”   “到底能不能发展好，跟谁能发展好”
👍
👍
哈 ！ #脱口秀# 
心理学#好事发生# 
哈哈哈哈哈哈哈！#情绪稳定# #爱的时差# //@走走小姐:哈哈哈烦死了！//@斯诺依花姑娘:笑死//@蕴殊:“掌握了边界感了！熟练运用课题分离了！可以温柔而坚定地沟通了！”
#心声# 
when there is a will there is a way#心理# #will# 
❤️✍️#庄子# 
#感动# 
多巴胺戒断❤️#潜意识# 
预测未来最好的方法就是去创造它。#潜意识# 
✌️
👍
//@陌川_MC:前面都讲得很对，最后一句，我的看法是：可以拿“跟其他人的经历相比、其实我的事儿不值一提”来要求、或者说劝慰自己。对自己是可以的，但不宜拿来批判别人。//@桥豆麻麻黛:可不可以这样理解，就是喜怒哀乐其实是众生平等。无论什么阶层什么经历，都逃不开苦恼焦虑，你为鸡皮蒜毛，他为天
🐛//@硅谷王川:所以需要主动增加和外界的有益的大规模连接，避免潜移默化的在单机游戏中慢慢颓废消沉 //@无厚:从网络游戏变成单机游戏
yes//@lisa996998:不说硬话，不做软事//@爻妹子的盛世美手:把话说软，把事儿做硬。凡是嘴硬的一方，一般都是弱者。啥啥都不行，就只能靠嘴解解气呗。赢家不出恶语。真正的强者，不屑与弱者争斗。因为对手比战友，更能作证自己的段位。
✌️//@硅谷王川:有氧运动的量大到一定程度，汗流浃背的那种，眼睛自然清亮。如果再蒸十几分钟桑拿，效果就更好。感觉眼睛的清亮程度和运动导致的气血通畅程度正相关。反过来看，心肺功能不好，缺乏运动，接近糖尿病边缘的，视力会每况愈下，给生活带来诸多不便。安禄山就是因糖尿病而眼瞎，脾气暴躁，
“爱是流动的，人也是。而你只是作为一个载体，感受了别人爱你，靠近你，离开你。把你着迷于他的品质，内化成你的一部分，某种意义来说，也是留住了他。  别太执着于人类，多爱每一刻的自己。”
“没学过的，学一下就好了”
帅咯 男女通吃
“所谓爱情，说白了就是一场幻觉盛宴，构成部分是一个人的痴念。而这种痴念并不赋予我们打扰，索取别人的权利。    真正的爱情，需要深深的克制，单有爱远远不够，而只有强能破局。”
“发自内心的看见，就是爱本身。”
“合作才是非本能的，如是才能把人性看得更清楚一点”
🐂女木工
电影
“你在想什么”//@电影名称检索:此片段为《你在想什么》是珠江电影制片厂制作发行的一部电影，由王缇、陈鹰、邢吉田导演，梁音、王玉璋等主演，于1983年在中国上映。
👍好电影
擦 ！
照见
“但这里的悖论是，当一个人拥有了主体感，就再也不热衷拿捏别人了”
live
背肌练起2分钟
2分钟
“你今生的任务不是寻找爱，而是移除你内心构筑起来的，抵挡爱的障碍。那么致幻剂的作用就是直接通过药物把这些“障碍”连根拔掉。”
目标45
关系有时是一面镜子。只是为了提醒你，要把自己修复好
通
电影
韩国
瘦背天鹅臂💪
life
Just do it
运动 + 阅读 + 游戏
开肩薄背
专注
谁比谁更草包//@LOVE_本色W:世界就是巨大的草台班子，你以为的反面人物仓促上阵，结果所谓的正方更是一群乌合之众不攻自破，只剩下理想主义者独自心碎备受折磨。
“你的自我不在你身上，而在你在意的人事物上。 ”
全世界最最最喜欢 ！ 
首
女性由于激素分泌原因，导致一部分人，会天然对激烈的竞争，望而却步，  那么没关系，我们想办法增加这方面激素分泌呀！  世界上没有任何问题，是不能通过个体+群体长期坚持的努力，予以改善的。
“不定义自己，就是对抗社会对抗集体的方式。  掷地有声的回答”
🐛❤️
“而人生若有解药，也只能靠我们自己扎实的体魄和强健的精神，柔弱和漂亮在力量面前一无是处。”
