道德发展水平
#周五读书会招募】|勇敢的人先享受世界#1.诺亚成长社区 介绍诺亚成长是由心理咨询师永婷和她的朋友2023年创办的社区，共开设了50多场成人团体、20多场儿童团体、5场亲子团体、5场家长团体，旨在集合居住在北京、有共同生活志趣的伙伴，与彼此建立联系、分享爱好、体验世界。它的生活哲学：相信陌生 ​​​ ...展开
读无用书 ​​​
//@张尕怂:🐎//@荐见:收藏//@皓伦王明川:孩子们一定会喜欢！
史铁生的友情观：「能不能永远是好友，以及我们打完架后是否又言归于好，都不重要。重要的是我们一度形影不离，流动不居的生命有一段就由这友谊铺筑成。」 ​​​
【读书笔记】｜智能手机如何影响青少年健康最近在做青少年团体，对于这个话题关注的比较多，适逢《混沌少年时》在全球的热映，加速催化了这一个过程，智能手机如何影响青少年健康？分享下《焦虑的一代》部分观点，智能手机的影响主要有以下方面：1.社会性剥夺。青少年社交时间下降，同类社交的时间 ​​​ ...展开
【《傲慢与偏见》读书会招募】：女性、爱情和金钱过去的一年，我们读了太多的心理学书籍，解答了很多专业的困惑。这周我将带领大家穿越回18世纪，看看简奥斯汀的世界---《傲慢与偏见》。这个18世纪的作家，如今为什么依然流行，清华大学新雅书院的甘阳教授给出的答案是因为简·奥斯丁是教人如何过上 ​​​ ...展开
#儿童心智化团体：一场持续了近三个月的行为实验# 【学龄前团体】这是一个固定团体的第8次活动，转眼团体已完成三分之二，对这些小家伙生出了很多喜爱和不舍。团体活动依然由3个部分组成，沙盘游戏、桌游（猜猜我是谁）和彩虹伞大作战。沙盘游戏作为引入是非常有效的，不仅可以稳稳地承接他们的刚 ​​​ ...展开
#微博兴趣创作计划##心理学读书会# 《我们内心的冲突》这本书起源于我最近的一些感慨，感慨我和周边的朋友们大概都来到了一个新的人生阶段，感慨每个人都默默地在经历一些他人无法完全理解的苦难，也感慨身心的健康问题如今已经成为了一种时代注脚。这本书主要讲冲突的来源、冲突的表现以及后续的改 ​​​ ...展开
#读书笔记#当下的力量# 最近在做青少年团体，对于这个话题关注的比较多，适逢《混沌少年时》在全球的热映，加速催化了这一个过程，智能手机如何影响青少年健康？分享下《焦虑的一代》部分观点，智能手机的影响主要有以下方面：1.社会性剥夺。青少年社交时间下降，同类社交的时间和幅度的变化，同 ​​​ ...展开
实用
准备看
//@水木丁://@樊百乐:#美关税政策将反噬美国消费者#   这个视频真正通俗易懂！都应该看看
"//@啊熊姨://@夏树:全片叫《伊贝林的非凡人生》The Remarkable Life of Ibelin, 在圣丹斯拿过奖。//@仿生狸猫:看哭了几次"
//@啊熊姨://@Joken是个runner://@EurekaMemo:这篇文章，我花2个晚上读了好几次，写得特别好。作者不仅有特别详实的一手资料，而且对门罗的作品和现实生活做了非凡的理解和参照对比。她描写了家庭权利结构，创伤带来的虚幻的权力感。所有接受她采访的人真诚，善于思考，也特别会表达——尤其是门罗的两 ...展开
#当下的力量# 《当下的力量》读书会：让我们受苦的元凶，其实是最信赖的大脑《当下的力量》是我阅读的为数不多的身心灵的书籍，整书虽然不好懂，但书中的有些观点让人耳目一新，且让我们重新审视自己与思维、情绪以及时间的关系，一些有启发的点。1. 你不是你的思维，思维只是工具，而不是我们的本 ​​​ ...展开
#诺亚心理学读书会招募，每周五开读# 这本书被形容为“灵性开悟的指引之书”，有人说这是心灵鸡汤，但读懂了开始实践的人，或多或少名命运的齿轮已经开始转动。我们都已在人间游历了一番，感受过就命运而言休论公道，知晓了种种非个人可左右的洪流，也体会了在微观处仍可自在自为的自由。这本书从 ​​​ ...展开
灵魂生活从何而来 ​​​
1️⃣最近有一本书，神游很久，终于开读——人生的底层自信从哪里来，顶层设计和埋头努力哪一个更重要？ 为什么同样的任务，大家能力精力也差不多，有的人做起来就似乎毫不费力，有的人就要耗尽心力？为什么有的人非常自律，有的人却在自律的道路上反复失败😅 2️⃣在好习惯养成、坏习惯打破这个 ​​​ ...展开
//@连线记者:连线你我超话
//@王人平:游戏，不仅为孩子重塑了一种新的学习方式，也建构起了一个帮助孩子探索自我、人际交往和治愈创伤的新方式。作为教师和父母，应该更主动地学习和利用包括网络游戏在内的信息技术，帮助孩子连接世界和未来，迎接AI时代的到来，而不是妖魔化网游。真正毁了孩子的不是网游，而恰是这些不学习、不 ...展开
//@升值计:找大同旅游攻略的在这里
//@王人平://@育儿专家张思莱:太可笑了，哈哈一笑解千愁！
想要
//@袁倩:M//@植物眼://@白饭如霜:我以为是三分钟，仔细看了一眼三小时....来真的啊。
//@严艺家://@龙荻D:刚看完…想起那段时间小红书读书博主人均心理学家🙄//@Joken是个runner:&quot;Tabloid journalists create a dramatic woman writer who suffered tragic losses as clickbait. YouTube psychologists give analyses on how I've failed as a mother.”
//@音乐贫道://@暮忘归Smile:江南剧院，山阴路的夏天，李逼不能自已时现场哭成一片，印象深刻的是唱和你在一起时，旁边的妹子打起电话，然后慢慢蹲下蜷缩在地上哭的稀里哗啦。
//@知书少年果麦麦:是这样//@Diane和花猫警长:感觉已经说透了，你与身体的关系，你与自己的关系，你与潜意识的关系只要能践行，能量和自信心直线上升（夸张了），哈哈其实是螺旋形上升🌀
//@猛犸君侯://@皓伦王明川:这个要看看，马住！
说的真好
《热辣滚烫》的日本原版《百元之恋》，安藤樱主演，也是日剧重启人生的女主角。🌾因为有了拳击 ，一子32年被困住的人生得到了释放，生命活力也渐渐开始恢复。虽然最终她也没有赢一次，但她亲自砸碎牢笼，把自己放了出来，也真正活了过来。🔆不谈人生意义等宏大叙事的片子，干净地让人感激。搏斗 ​​​ ...展开
