✌️✌️✌️
#敖瑞鹏不二之臣# #敖瑞鹏岑森# #不二之臣#
#不二之臣阵容官宣# #不二之臣# 期待不二之臣！期待敖瑞鹏！
世界上不能没有小狗
祝你们幸福天长地久
接好运
配音演员孙睿扬超话以后zb可不可以多唱 很想很想听《爱错》这首歌我太上头了（srds这歌挺难） 感觉翻唱的话肯定会是另一番风味 最爱听甜弟唱歌了 音色好听的我无法自拔了 粤语的《蝴蝶》也得安排上！！！嘿嘿 ​​​
给你鼓掌👏
这大圆眼珠子，好可爱好可爱好可爱！！！//@初心者吴晛:斯哈斯哈，我很理智，小猫很香，斯哈斯哈
特别萌的大家
又重刷完一遍白月梵星 被敖瑞鹏的每个造型迷得不行 该虐的也是真的虐 再次称赞一下张福正的声音实在太贴太适配了 天选帅哥音男主音 ​​​
配音演员孙睿扬超话枣尚耗！今天也要开开心心的过呀~ ​​​
每个人幸福的方式不同 请不要盲目评判他人#生活手记# ​​​
这可太棒了
缅怀先烈，铭记历史，吾辈自强！
大接特接！
#夕望遇见你# 去PICK你们喜欢的声优宝藏吧 ​​​
莫名可爱 像旺仔
配音演员孙睿扬超话 在家里把连接音响打开来听之前小孙直播读诗的片段真是好有沉浸感啊 尸体暖暖的 简直是重度声控患者的福音 ​​​
希望小孙老师孙睿扬以后有机会可以和刘大师刘思岑或者文森老师搭一次主役 ​​​
超级有活力的歌曲！！小孙一定要多唱呀！配音不仅音色好听业务能力棒，唱歌高音也绝绝子，真的是宝藏男孩儿啊！！！ ​​​
配音演员孙睿扬超话 看！萌萌哒小鼻嘎～ ​​​
