头发长出来 男神归来
😭//@luckii4mee:睡了。
好伤人来这里当分母了//@你的名字本身就是一首情诗:只有我在北京当你们背景。
还好高三带了手机 ​​​
小时候特别爱吃
受不了自己了平时倒是很节省 一想花钱就是去首尔去北海道去大阪买手机哈哈 ​​​
谁家猴子
分享图片 ​​​
我也抽
北京的秋天好像要来了 我的丰收季一定也会来的 ​​​
今天阅读错了仨我真想跳了 ​​​
睡了。
#我好好好好好好饿# 好想吃家里的饭不想吃食堂不想吃外卖想吃冒着热气的饭😭 ​​​
宝宝哦...好美
我再也不通宵了 ​​​
思考为什么我人生到现在的十几年里没有一年是不焦虑的没有一年不是关键时期 ​​​
好萌哇
学校好多人我晕人了 求一键回到暑假每天只有500人进出图书馆的日子 ​​​
我去这个我真的要看
喜欢睡前看散文感觉灵魂被净化 ​​​
repost
好想哭我的休息日怎么又没了我崩溃了我不要去图书馆背书 ​​​
校园网一直在挑衅我 ​​​
恭喜😭😭😭
烦！ ​​​
累！ ​​​
我被萌哭了小宝宝啊
好累啊身体已经累得不行了嘴还在机械的背书。。 ​​​
每次对政治答案我都心惊胆颤有谁懂... ​​​
跳的太好了...轻盈的百灵鸟啊
好能自嬤
神
好帅啊...
太好听了太好听了
北京的秋天到底什么时候来 好想穿大衣 这学期的周天我要多出去转转 应该也是在北京的最后一个秋天了 真的好多地方还没有去过 这个离开舍不得留下又焦虑的地方 ​​​
我的休息日怎么一下就过去了。好悲伤 ​​​
英二完型也太长了看得我头好痛 ​​​
“我被坦克压过你被压过吗”
船儿咋这么美...我要看剧 ​​​
回学校好回图书馆好 好安心 ​​​
这个佛佛今天有点帅吧
女豆们好 看的心里暖暖的🥰
女神我膜拜你、、
笑晕 光耍帅了
萌成啥了
😭😭
每天晚上打开白天背的东西之前我都特别恐惧 需要做足心理准备 因为发现一个字都不记得了我就会破防 ​​​
每次打开手机都被美一大跳... ​​​
美礼要是开演唱会我要去🥰🥰 ​​​
我要嫁....
背不进去我真的崩溃了我该回学校了再不回学校完蛋了 ​​​
柳舟记是今年看过最好看的国产剧😭😭🚢太美了角色人设太好 ​​​
两天看了十集电视剧我没救了 ​​​
定了2:00的闹钟一睁眼就三点半了我哭了 ​​​
这个柳州记太好看了🚢简直太美 ​​​
困的我要晕了 其实就是不想学了 一会躺到床上又精神的玩手机🧎 ​​​
美....太美了....
神人
看着我昨晚刚洗的头发现在就油了 说明我今天的学习很高效地学进去了。 ​​​
在学校不喜欢晚上学习只能上午和下午学   在家里白天学不进去只能傍晚和半夜学习 我就不能有一天都沉浸在学习里吗？！ ​​​
还没考完我就在想圣诞和跨年去首尔玩了、、 ​​​
回家了每天都在玩。。没有一天安心学习的 ​​​
考完试我一定要去追星... ​​​
回家就是好 在学校哪里有吃三斤蓝莓的机会 ​​​
太可爱了吧...
我被萌哭了ㅠㅠㅠ
😭😭
小宝宝//@天才嘻:沅禧桑的笑颜在我心里是第一位
背了40分钟题又躺下了我太困了不行了 ​​​
我经常在大家都不容易算了吧和能干出这种事是不是精神病特别烦躁之间反复横跳 ​​​
这群人咋进化了
北京你继续热 我回去过秋天了 ​​​
我喜欢有目标的感觉 即使会因此焦虑
这个露露有点清纯吧
我去感觉这个真的很不错
再也不通宵了感觉人生血条-1 ​​​
从11:00到7:00打麻将 熬到到四肢有点飘飘然  我们都说这是报复性的玩 抛弃一切工作一切烦恼 只说开心的事 从麻将馆出来难得一遇的凉爽的天气让人觉得更幸福了 ​​​
马政经错的部分知识点拉出来可以编成一本书了 ​​​
我操我也好想去看ehp 脚盆给人下魔咒了吧 ​​​
怎么还不吃饭 ​​​
每次睡不着的时候白天背的知识点都在我的大脑里四处乱窜 ​​​
感觉下一秒就要白白白白干妈～
萌
谁跟我抢我的图书馆爱座...我跟你拼了 ​​​
早上一睁眼就先看今天喝什么奶茶 ​​​
啊啊啊啊啊啊鸡排也不好吃啊
强势围观
脑瓜仁疼.... ​​​
秋天快来吧～喜欢穿大衣的季节🍂 ​​​
图书馆储物柜又被禁了放假三周被禁两回 ​​​
我以后发现自己学不进去了不会再逼自己学一分钟 一旦多学我就会学崩然后整个人萎靡不振 本来打算今晚回来好好休息看电视剧 结果焦虑了一个晚上 ​​​
sooin真的好美啊
7月不要走 ​​​
想回个家好难 坐高铁时间长 坐飞机都是红眼航班 ​​​
月初刚背完的月末再看就忘了俺好崩溃 ​​​
破校园网要干嘛 累一天了我看个电视剧就开始卡 ​​​
我不考了 想怎样 中间还有几道是我偷瞄答案才敢选的 ​​​
我一直尖叫啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 ​​​
笑得肚子痛
看完一吻定情的我好孤独 ​​​
