【梦女例】五条悟梦女，请注意避雷 ​​​
【古玄例文】 ​​​
例文就这样被屏蔽屏蔽到厌倦 ​​​
【例文】 ​​​
【信件例文】 ​​​
文手求约稿超话 【包周】450r✨保底【9k】字基本上每天都会交一次。✨文风清淡平实，擅长写感情✨可以写：BG/BL/GL/CB只接oc，请给我相对完善的oc资料，但如果有大量资料需要我补，需要酌情增加补课费。可以写一些不能给别人看的东西就比如说小情侣甜蜜打架之类的东西。❗❗不擅长群像， ​​​ ...展开
约稿超话 【包周】450r✨保底【9k】字基本上每天都会交一次。✨文风清淡平实，擅长写感情✨可以写：BG/BL/GL/CB只接oc，请给我相对完善的oc资料，但如果有大量资料需要我补，需要酌情增加补课费。可以写一些不能给别人看的东西就比如说小情侣甜蜜床上打架之类的东西。❗❗不擅长群像，比 ​​​ ...展开
