这给我干哪来了
权威！
//@派派是海星:懒得管又不得不管是情绪崩溃的首要原因
磕显灵的都这样//@二零三二零三:哥内心：超爽 哥表面：装暗爽没装好的超爽
蒽🚬🚬🚬
小黄小林一辈子
#光电潇应 热恋无限期# 我可太信了
妈呀我又来考古这一套，给我帅惨了
可爱鼠了
壶妹又幸福了/.
恋爱怎么可能和谁谈都一样//@二零三二零三:恋爱怎么可能和谁谈都一样//@心如洪水不进则退:恋爱怎么可能和谁谈都一样😌
to我所有没塌过房的前担
我每天看一遍
全世界最好的壶妹啊
看过的都嫉妒他俩有像彼此这么好的朋友//@晚啊晚啊晚梓:反咯噔文学，我们就是最好的朋友🥰//@摆烂江小江:真的很羡慕这样的友谊，现实里很多朋友就是走着走着就散了，粉丝体量差距这么大还能大大方方宣告他们就是好朋友就是可以出现在公众视野真的，我哭死 查看图片 // ...展开
这特别翟潇闻//@塞林格s:我真服了哈哈哈哈//@佛系追星MelodyW:我也老这么欣赏自己//@软0来了:姜潇闻//@茶汪比录:其实我哭的时候也会这样自嬷//@取关我好吗: 查看图片 //@高台宴佳人: 查看图片 //@要来一杯帕恰兔吗:神入//@羽丘没米:我不行了// ...展开
啊啊啊啊啊//@商瑜之://@小橘养狗指北:真的陪他淋过大雨~真陪他冬季夏季~//@丸薏羊:天佑我的爱人，这日明天一世把他宠爱
今夕是何年啊
那时候看的我哗哗流泪啊，再看一遍还是好感慨
一辈子喷不了这个
哎呦我真要笑死
早晚把公司搞垮
俺不中了//@我送你去见他:图片评论 网页链接@湖畔的玫瑰:有了殷郊连帝乙都觉得自己赎完罪了，我是对不起你，但你儿子都要当王了，你还揪着不放干嘛//@终于明月落阶前:两房独子，谁继承王都能轮到他//@湖畔的玫瑰:他不需要防备什么，他爷爷、他大伯、他舅都得指着他，甚至他爹的军 ...展开
嘲风真的帅的出众
这可太孝了
宝宝你果然是个坏小孩//@天虢大司命:宝宝这就是你上次说要做的特别特别坏的事吗
好正常的剧情真的。。
天啊。。世上只有mama好
我草泥们马哈哈哈根本无人在意🐲
//@sundropsmile:又删！！！523到底删了多少郊发的戏份！！总不可能是殷郊一个人去割麦子的，一定是姬发带他去看看西岐的风土人情，辛勤劳作不比什么说媒拉线的破篝火晚会更能展现西岐人民的勤劳淳朴吗！！！//@丨-·-丨-··丨····丨:这个部分实话说我看的时候没注意到，找了一下在发发抬酒 ...展开
23年的夏天//@暴躁生打椰:好想哭 好想23年的夏天
这么漂亮的大眼睛盯着你，他能坏到哪去
檀健次周边中转站超话 出一张ELLE杂志卡，一张RADO红色明信片，一张北京场灯纸，也可以用南京场灯纸来换任一，可发对光可发自证 ​​​
好帅的郊
郊郊发发青梅竹马
//@用户w8c0dtsxve://@屠龙之术修习者:公主都说请了，还不赶快传位
//@麻薯的碎芝士:艳尸组
啊啊啊//@地软粉条包:可恶的坏姑姑！不许欺负你的小🍊！！！
班味好重
这个我点进去看一百遍再退出来
就这个郊郊能给我萌死
猫眼我将一辈子追随你😇
这才对劲
啊啊啊//@一只宅小南:“缘分落地生根是我们”//@阳光清澈万物温柔:
啊啊啊笑死//@等等蘑菇碗:藕饼每天从九千多平米的大地床上醒来
OMG宝宝你们四个特别可爱
出息了
哈哈哈哈哈你小子//@芝士小狗菠萝包:二十多岁正是憋不住笑的年纪😼//@企鹅踩着北极熊滑行三十米:哈哈哈哈哈
小壶小壶，要永远幸福
我们下次再会啊//@不浪漫预警-:一定要下次见啊。
丹妮请重组
我们阿万艾斯亿散的太早太草率了啊
天啊
十二啊
We are R1SE⚡
如爱思你们//@让我们移动他移动他移动他:磊：碰到了就聚，没啥朋友，就这些人
大家补药放过这个如爱思啊
啊啊啊捡捡，今晚见！
是这样的//@想嫁给林先生和迪小姐的女人:没有呀 比较是偷走幸福的小偷 而且同担是通过自担认识的最好的朋友们 而且追星 有多少周边见过自担多少次 都是自愿 没必要优越 追星是为了快乐！仅此而已
魂兮归来！！
啊啊啊好久不见啊我的壶
#你好2025# @MIC檀健次JC-T ​​​
R1SE超话 ⚡#没有人比r1se更爱r1se# 真的时代的眼泪，这个月刚见了颜齐下个月居然就要聚上了， 真的特别特别感慨，意想不到25年居然壶又要聚一起了，那还是粉随蒸煮赌一个曜！赌就赌个大的嘛 ​​​
R1SE超话 18岁的自己替14岁的自己见了一次，从此圆满了，释怀了，如果真的有十年之约，到那时我们自会相见⚡ ​​​
#微博年度百大荣耀粉丝评选#3 ​​​
#微博年度百大荣耀粉丝评选#2 ​​​
