Phoebe: … you don’t wanna start the new year with me if you can’t finish it. 三刷出细节惹！ ​​​
#记录生活中的琐碎趣事#要做就做那个让自己幸福的人儿呀！ ​​​
#记录生活中的琐碎趣事#又到了放老友记当背景音的季节啦啦啦[繁花鱼生] ​​​
我又变INTJ 了喔 ​​​
朴宝剑很会选角色再次入坑 ​​​
啊啊啊啊啊！以前在漫威超燃画面混剪里看到的最喜欢的一段！被我发现啦！竟然是出自永恒族！ 做自己的不需要撒娇的高冷女王的微博视频 ​​​
#记录生活中的琐碎趣事#家宝女就是 玩到晚上有粑粑接回家 麻麻煮面🍲吃(带肉片蔬菜还要煎鸡蛋🍳 的那种）然后粑粑倒好热水端到面前[繁花鱼生] ​​​
#记录生活中的琐碎趣事#株洲人第一次来株洲方特[繁花鱼生]打卡了1️⃣跳楼机(也是人生第一次 真的就一起在顶上唱起了baby我们的感情好像跳楼机哈哈哈哈哈😂)；2️⃣旋转飞椅(依然是我的最爱✌️)；3️⃣大摆锤(闭眼感受未知的失重感更刺激)；4️⃣火流星(过山车🎢不得不说一生黑 感觉被打了一顿  ​​​ ...展开
#记录生活中的琐碎趣事#整理歌单的时候发现 几年前的自己基本红心的都是电子音乐 ​​​
前几天才看了一遍薛凯琪的苏州河现场 就连续几天脑子里不自觉在哼哼这首歌“爱只是爱 再伟大的爱到头来也只是爱 … ” ​​​
使人有乍交之欢，不若使人无久处之厌！ ​​​
想起一句话觉得很有理：“不是花需要花店，而是花店需要花。” ​​​
#记录生活中的琐碎趣事#1️⃣还是喜欢听潘吉Jenny告诉你 别的听不惯 可惜不是每天更[过招]2️⃣算是认识了新朋友吧？办公室试飞员问打不打羽毛球🏸以后叫我一起打✌️真挺巧（跟着老员工提前去吃饭 第一次前面没人排队） ​​​
还没这么浪漫过 下次要试试[繁花鱼生] ​​​
好想去Chris Brown的演唱会 ​​​
#记录生活中的琐碎趣事#昨晚有被自己蠢到哈哈哈哈哈哈这种事不常发生 必须记录📝吹完头发准备来抹点护发精油 买的正装送了个小瓶装 想当然觉得就是精油小样了 倒出来的时候还纳闷 怎么比正装黏稠很多呢 搓了搓就开始往头发上抹 emmm 这触感不太对 瞄了一眼瓶身“洗发水” …… 只好又跑去浴室冲了 ​​​ ...展开
癫了吧 今天最高体感31 明天最低-2 … ？！ ​​​
#记录生活中的琐碎趣事#幸福大概就是午饭后 躺在沙发上 玩着手机 听着音乐 看着阳光 透过纱窗 照进房间 洒在身上 昏昏欲睡 打了个小盹儿 自然醒来[送福] ​​​
永远会被日落吸引 ​​​
#记录生活中的琐碎趣事#1️⃣今天天气肿么这么好哇！🥳2️⃣门卫大叔🧍‍♂️：我看你每天都打车啊？公主本主👧🏻：昂不是！我家里轮流专车接送！[哆啦A梦汗] ​​​
？？？？？？？？？？？？？？不是吧！这么年轻的珍惜活着的每一天吧 ​​​
#记录生活中的琐碎趣事#一大早就偶遇丁达尔效应和试飞 ​​​
#记录生活中的琐碎趣事#韩女风？可不就手拿把掐分分钟拿捏 ​​​
好的又到了不知道什么时候就被磕被撞被划拉的季节了 ​​​
从24.10.12号开始算起 看我这头发一年到底能长多少 ​​​
在家住简直快活似神仙 ​​​
得珍惜最后两次按时回家的机会领导下命令从下周得开始加班惹 ​​​
今天奢侈一回 碎碎念个痛快 ​​​
每天忙碌得好充实 没时间玩手机聊八卦…（当然每天化妆那半小时还得有） ​​​
#记录生活中的琐碎趣事#啊对我也是可以速度70迈的女司机了 ​​​
啊啊啊啊啊我爸炒的小炒肉太好次辣吧 ​​​
#记录生活中的琐碎趣事#今天文化园的日落肯定会很好看呜呜呜 ​​​
贾平凹说 ​​​
年少不知归家好深刻意识到离家人近的好处一人上班全族出动我就是家宝女呜呜呜想哭开启来之不易的牛马生活啦 ​​​
oops 忘了吃汤圆 也忘了看月亮 但看了打铁花 做只对你撒娇的优雅公举的微博视频 ​​​
#记录生活中的琐碎趣事#路过白关偶遇龙灯队 都是些小年轻文化传承有望啦这才有过节氛围嘛！上次看舞狮舞龙还是小时候 年前还是年后忘了 就在家里贴脸看哈哈哈哈哈 ​​​
#记录生活中的琐碎趣事#👧🏻躺着刷抖音笑嘻嘻👩🏻(姑姑眯觉惊醒)你又偷拍我啊？全体爆笑哈哈哈哈哈哈PTSD了家人们 ​​​
崔雄和国延秀的故事是电视剧里才有的情节 ​​​
#记录生活中的琐碎趣事# 三欺一 ​​​
#记录生活中的琐碎趣事#好看！反转！笑点与泪点恰到好处！(因为没哭花我美美的妆) 推荐！还要二刷！ ​​​
今年春晚真的槽点很多(说打鼠不看的又还是看了 依旧是侠妹陪着守岁 多少年了) 回归正题！最近老刷到以前的小品 什么相亲啊不差钱呐 笑点又密集梗又多 贯穿全程 主要是节目时长还很感人 结束得也不突然 像小沈阳他们还不止一本正经地搞笑 确实也是多才多艺有真本事 以前吃的都是什么细糠啊！ ​​​ ...展开
