好乖好可爱的宝宝
这个家长做的完全正确，霸凌不是小事儿，被霸凌过的小孩儿长大很容易有心理障碍或者精神疾病，这会影响一生。这时候家长就应该挺身而出为孩子战斗。
希望过一个温暖的冬天。 ​​​
舒展、快乐又自由的人生
舒适感很重要
哈哈哈笑死了
好棒
真正的爱是无条件付出，真正爱你的人是对你没有要求的。
好喜欢她穿白色
她好漂亮！
//@夏天_下大雨:我之前说过，谁定义现实，谁就掌握权力。同样的，当父母定义孩子时，比如给孩子贴标签、设定框架、规定他们是谁或应该成为什么样的人，这本质上也是一种权力的行使，是对孩子主体性的某种剥夺。
最近真的很爱Dakota ​​​
hhhhh
是这样的
碟中谍8好看的
达妹好美
//@Houson猴姆:原来大家都不知道奥迪巨大……//@Super滚筒://@酷漫404://@开水-今天也没开:那边还有巨大的环球啊啊啊啊//@蓝爵Yoyo:是的我早已做好攻略了就等一夜暴富//@林水妖:什么//@晋江-南枝:啊啊？//@推遍天下:多少倍？// ...展开
hhh
//@无忧无虑uu:「我的改变应该是从觉得自己没那么差劲开始的。」我也是。命运的齿轮真的不是从什么考985，进大厂，考公上岸这些开始，而是从你发自内心认可自己，夸奖自己开始。
好可爱hhh
边缘性人格支离破碎的一生。 女主一直迷茫、一直痛苦，永远搞不清楚自己想要什么，得到了也会控制不住破坏掉。 电影里也给出了原因，在她摄入致幻剂的那一次，幻想里依然是和她爸爸在搏斗。 她痛苦的原因，内心深深的不配得感，都来自于此。 人如果不能看见自己的潜意识，那它就会成为命运的具象化。
这部片子讲的是抑郁症和原生家庭的关系。控制狂父母在女儿们进行第一次进行集体约会后彻底爆发了不安，把女儿囚禁在家，最终导致她们集体自杀。到最后所有女儿都死了，妈妈还要说，她们不缺爱。可见这对父母内心有多扭曲和变态。影片里有一群男孩儿一直关注着她们，很爱她们，试图救助。但太晚了 ​​​ ...展开
很感动//@yun甜甜的:被爱着就能长寿，，，
好美的地方//@黛绿与珍珠:杭州绿城桃花源·黄龙度假酒店//@用户06880688:这是哪里呀
每看一遍都泪目的程度
//@孙旖Jojo医生:#鲜枣的维C含量是苹果的近百倍#
特别牛的一张专辑
太美好了
//@夏培伊万斯:你身边人很痛苦的时候，你作为经常和他在一起的同事、朋友，难道你不会伸出援手吗？娜娜和莲的关系是太差了，他在娜娜那里连他正常普通的人际交往能得到的理解支持都没有，所以衬得他跟蕾拉的关系好像超乎寻常的亲。蕾拉又太漂亮，mv太高了，所以她日常跟异性打交道都能被人意淫出有的没 ...展开
//@是灼灼:这1000万的差价就是结构对特定群体的制度性抽成！女人的选择空间，是被结构性贫困所决定的（母职惩罚，女性因为承担生育责任而在职场上发展不下去，被迫转成家庭主妇），虽然每个人都努力在系统内自救，学习、考证、成为业绩第一、甚至跟hr承诺不婚不育，但我们不应该再一直强调个人的努力， ...展开
//@刘晨曦-从心:性与生育是劳力至物资，情绪和情感是意识至精神。女性几乎是这个地球的主宰，只是她们需要拿回权力。
好美的寺庙
一个人出来玩也很开心，逛古寺很治愈，让人慢慢平静下来。  ​​​
对
//@范志红_原创营养信息:碳水能量占一半就对了。汇总分析证实，50%的碳水化合物供能比，才是最有利于长寿的。低于40%则会升高全因死亡率，大白话说，就是容易早死。瘦也不一定就是健康。胖到什么程度才影响寿命，这事是有争议的。但体重低于正常范围会早死，这事没有争议。//@煮水而居的鱼: 200g生米热 ...展开
对
好美
好棒的科普
爱吃所有类型的可可 ​​​
//@酷洛米的逐风者:结婚也没有，你们看好了
对
hh
转
对
//@MihandaShi:好感动。我也看过其他人介绍三丽鸥创始人的故事，但和这篇微博相比好像不是同一个人的事似的——故事的侧重点完全不同。三丽鸥何以发展成今天这样，很重要的原因是创始人善良的初心。如果不是星平发这篇微博，我根本不知道。出于善意努力让世界变得更好，这件事的价值多么巨大。
漂亮的宝贝
感觉很舒服呀，所以大象脾气很好是不
狗狗好暖
//@桃子与司康:是的。乐观是伟大的天赋，是了不起的才能，是人生能否幸福的关键要素。羡慕所有情绪稳定又天性乐观的人，也庆幸自己虽然不是，但和这样的人成为了伴侣。
贝拉家的生活我的梦。
//@夏天_下大雨:很多这个年纪的孩子觉得自己比别人都厉害，别人都是傻子，可是同时他们又很容易崇拜某些人，把某些人神化，这就像婴儿把自己的妈妈体验成给自己舒适感的好妈妈与让自己有毁灭感的坏妈妈。他们需要别人的反应来做自己的镜子，所以这里的心理医生表现的非常好，不给他反应，让他自己面对 ...展开
猫猫
//@猫猫城堡01号:东京真的是一个繁荣到让人感觉神奇的地方啊。感觉有好多超乎一般人想象的看起来年轻帅气又有钱的男人女人。发达地区和不发达地区人民的区别，就像电视剧里的神仙和凡人的区别一样。
好看
表达能力非常好了
//@黛绿与珍珠:Repost
许玮甯好美
//@小柳原:回复@MihandaShi:好习惯！很多瑜伽动作其实就是静态拉伸。睡前做静态拉伸可以激活副交感神经系统，让心率慢下来、肌肉放松，更容易入睡也睡得更深。//@MihandaShi:我每天都在睡前压腿、瑜伽骆驼式，觉得很舒服。原来是有道理的//@小柳原:用于增加柔韧性的静态拉伸适合在睡前进行 ...展开
听汪苏泷《行走的鱼》时想到了这段话，人生有时候真的太痛了
真正有才华的人愿意为自己的才华被看到所甘愿付出的，远超普通人的想象。//@吴星平:回复@悠然美美风:是这样的。//@悠然美美风:非常赞同女神。我想起Gaby说过，真正的美女是不会孤芳自赏的，真正有才华的人也不会容许自己被埋没。
很好的科普
最近一直在追这个综艺。节目组各种极端境遇的设置，让生活里可能长达多年的故事、很多不为人知的心理历程，在几天之内全部清晰呈现。生活里会有很多人对别人的语言和行为会有误解。看了这个综艺会明白到底发生了什么。
她穿这个裙子好看
对
好治愈
对
//@大毛damo:❤️
皮肤好白啊
吐舌头好可爱hhh
哈哈哈
这个头纱好看，婚纱加头纱会很不一样
缅因尾巴都是这样的
好可爱hhh
戴上还挺美的
好美
//@用户1777588972:回复@都匀曙树:蛋类的 蛋氨酸和 牛肉以及奶制品里面的亮氨酸都是增加细胞分裂增殖的好肥料。。。。。。细胞持续增殖可能发生癌变几率的，所以粗茶淡饭才活得久//@都匀曙树:感觉蛋氨酸因素远远大于胆固醇因素，是这样吗//@用户1777588972:转发给我妈妈看！
//@用户1777588972:三七（也叫田七），跟人参一样都是刺五加科人参属的植物，里面的总的皂苷含量高于人参，所以药店里的三七粉，三七花的作用，可能比这颗精装昂贵的人参更好
好可爱hhh
//@呼吸小島_:“终于有一天，一切都会变得合乎你们的愿望，大家都会像你们这样生活，然后你们也会衰老，比你们更好的人就会诞生。”//@泛连央:还有一张好东西的电影票 查看图片
//@黛绿与珍珠:这好像《山海经》中的夫诸和它的栖息地。“敖岸之山，其阳多㻬琈之玉，其阴多赭、黄金。神熏池居之。是常出美玉。北望河林，其状如蒨如举。有兽焉，其状如白鹿而四角，名曰夫诸，见则其邑大水。” 夫诸性情温和，爱干净，是华夏上古的神兽，在秦朝文献里就有记载。//@丹楓万葉松醪
