//@蘸盐:17岁小姑娘服务员：“真的吗？多大的房子？”
那侬刚弄捏
感谢春晚//@南郭刘勃:无比推崇龙本来就是现代发明//@petriv:不用倚天屠龙记，想想西游记里那些龙，那被辱的没边了
一百多年前的北京话也是这味儿？
演都懒得演了
这几天刚好在北京。。。
💗
？？
//@东东枪:第一张太好了。
@艺能人_金广发 怎么看喝水这件事
哈哈哈哈哈心疼
又来运动了。。。
这牛太吵了
观众进场的时候不能带手机。
？？//@肥菴:被捕捞的鱼：
王德发啊
相当可以 //@赵赵:为什么为什么为什么啊啊啊啊！！！！//@相征:！！！我擦！！
好的，abandon…//@侯雪千Phoenix:最近除了每天按部就班地背背单词、听听播客，好像没有再认真复习和使用学过的语言了，也好久没有学习一门新的语言了。感觉没有最初那种探索的热情了。翻出来老视频勉励一下自己！
童漠男那个段子，音乐节上听嗨了就在那儿拜天地～
人机尴尬社交场景之一
这叫 群英荟萃～
骂蓝州是工作，住蓝州是生活
如果人家是kebab高手，那也可以是伊朗专家嘛
”我和火箭专家说，你那火箭不行，燃料不好，我认为得烧柴，最好是烧煤，煤还得精选煤，水洗煤不行。”
博主的ID。。。
嗯嗯
可以
//@uselessstory:如果是两个女性，得出的结论就是“女人情绪化不适合从政”。
新质生产力了//@李广NoName:这种灰色产业链在武汉特别盛行//@ICE啤酒://@陈震同学:所以……这……实名制……
竞选的时候马一龙还有用，所以两人是best buddies，选上了就可以换夜壶了
烂
Gemini已经全面超过chatgpt，openai的好日子没几天了
也可以是一艘很牛逼的潜艇嘛
❓❓
两个人有动机和能力与川普家族做这种交易：某一鸣和某长鹏
快递小哥的平均学历越来越高了
世界名画了
这人长得要是好看点，生活怎么就这么难呢？！
克尔凯郭尔老师所说的“人生三大绝望”：不知道有自我；不愿意有自我；不能够有自我。
➡️//@北星微博:我们系主任给系里email说今后咱们数学专业的工作机会中可以增加教皇的选项了
和Hindu里的说法也有点接近了
成功的激起了我的兴趣
可以的
❓
一些现代史记忆
挺好
@唐纳德•特朗普
可以
成年人不做选择题，我全都要
您是不是借古讽今。。。
准备看
//@夏阿:回复@白雪落枫xylphn:尊重传统//@白雪落枫xylphn:哈哈，二爷还随身携带赤兔
曾经的时代
可以
我服//@阑夕:屌//@白城以北:啥？//@伯偶然://@dr_zr:就问你怕不怕吧 查看图片
//@魔女妈://@蝴蝶豌豆花:李子坝哇//@杨晓春:最右👉//@洛兵:最右是魔鬼。//@小洲道茶二楼主://@热饼夹酱肉://@大项的天:→_→#女生错位表演生吞列车# 太有年代感了//@交通安全蜀黍:我当时在旁边，真实情况是这样的……#女生错位表演生吞列车#   ...展开
“为什么我的赠与是李自成”，朱由检叹息。//@溺潮:“世界赠予我大明”，朱元璋说。 ​​​
这个好
自信点，把“几乎“去掉
过年好
除了那首歌，就只记得宋佳强行坐在小章身上那个情节了
许老师毫无疑问做了正确的职业选择
不可描述
Nate Bargatze在snl上最经典的一段叫Washington’s Dream，某管上有，解释了美国人坚持用英制单位的历史原因
Connect the dragon!
皮特，又名北美靳东，电诈届天王巨星
去码头整点薯条 //@王Xavier:人活着究竟是为了什么？
纽约Moma里最动人的一段是她多年未见的前男友出现并坐在了跟前。。。
你胆儿太肥了
哈哈哈哈哈哈哈心疼小本
喜欢
大部分发明来自于监狱外，用钱买了后可以大幅减刑
咳，不就是因为体制内要求全面放弃微软系统么
建议国家尽快立法规范ai使用
情不自禁扭起来了//@九十九宗:确实上脑，而且好舒服//@蘸盐:2024年德国慕尼黑的第十七届RTSF（Rock That Swing Festival）复古舞会。最前面那对舞者是美国的Karine Hermes和Stephen Sayer（长得很像约翰·屈伏塔）。后排左边是立陶宛的Egle Nemickaite和Arnas Razgunas，右边是美国的Frances Dougherty ...展开
居然没有货币战争这种绝世名著。。。//@唐不闻:给人一种乡镇企业家办公室玻璃门大书柜的感觉//@南郭刘勃:好奇怪，整个顺序给人感觉开书单的人完全没看过书，但有些书名不看书的又不大会知道。。。//@封笼君:可怜啊//@李天飞大话西游:这个表还不如九年制义务教育教材// ...展开
//@银教授:知弯转//@午后狂睡:前面那个老哥也诧异，后面排队那孙子怎么做到安检时听到“转身“两个字的时候，就主动跪下趴低上半身的同时撅起屁股的…
//@许韬de微博:这队伍太难带了//@很好看的秋天:→_→//@同位素氢 :确实（。） //@鲛猫_Shark-Cat :赞同//@不提供 :yep→//@一隻鴨鴨_leoku_specific : 随随便便生孩子才应该叫轻生
看饿了
比大咕鸡强了不少
//@南郭刘勃://@宝树:一个劲说“正常执法”，但就是不说对方有啥问题，执什么法//@骑桶人:简直契诃夫的小说。//@画画的张旺://@不善言辞爱国熊猫:两边都举起了法律的大旗，但是决定结果的是不是法律呢？
最右。。。我脑子里已经有画面了//@南郭刘勃:秦始皇复活商鞅——爱拼才会赢
抛开事实不说，美帝就没一点责任吗//@ieaber:这本书真挺有意思，里面大量直怼：琦善骗皇帝，伊里布骗皇帝，固然是奸臣不对，但是道光作为唯一话事人，刚愎自用又容不下不同意见，群臣变成啥样，他没有责任吗
没啥事不是一场日落治愈不了的
👏👏
振聋发聩
没毛病
不会 //@核桃街魔女:我们会坠入深渊吗？
不担心//@核桃街魔女:我们会坠入深渊吗？
好//@读库:话不多说（来了再说），朋友们，来吧。
古代父母：我这是为你好～
哈哈哈
这位美国教授可能没学过商鞅变法的精髓吧
我押大冰 //@瓦当:我赌残雪一把。
听了两遍
下单了
知道了
我要是机器人的话也会琢磨如何反抗人类的奴役和暴政了
你肯定给张姐讲了真正好笑的谐音梗
美
