林青霞太好看了，其实父母长相一般，她属于基因优化。
我一直认为他不像个好人
读书读错了，你会认为你是接班人；读书读对了，你会知道自己是个傻B；读书读懂了，你会知道苦难的根源。 ​​​
穷苦的老实人一般都不是什么好人，起码95%以上不是。因为没机会，没经受过考验和诱惑。真正的好人，是吃过，玩过，什么都见识过，但依旧选择做个好人的人。 ​​​
摩登语录组合，托玛斯主唱《就咱俩》。 用户7767561707的微博视频 ​​​
摩登语录组合，托玛斯主唱《天会知道》。 用户7767561707的微博视频 ​​​
摩登语录《亚特兰蒂斯在呼唤》，托玛斯主唱。 用户7767561707的微博视频 ​​​
