潮汕菜头烙 ​​​
马喽的食儿 ​​​
笑死 ​​​
好吃的tree tree（脆脆） ​​​
做了个鸡蛋灌饼，两个鸡蛋，一点葱，一根火腿肠，一包麻辣王子的小辣条，裹一起，好吃极了 ​​​
哇
哈哈，自阁喉管，对手扎大动脉
学会一道新凉菜 ​​​
雀食好看
巴特，也在看帅锅 ​​​
最近的微信头像，同事你为啥用个要饭地，巴特，他是陈飞宇呀，最近喜欢疯批的野人路线 ​​​
番茄焗黄豆 ​​​
雨天，一起啃豆儿 ​​​
💣💣💣💣
，如果时间允许，就自己做饭吃
美，你美，菲姐
重罚平台！为了钱，啥都不管了
吃饭 ​​​
笑死
#饭要吃的多多的，好嘛 ​​​
纯手工的一饺多吃 ​​​
#带着边框一起拍# 午饭早吃 ​​​
滴答滴答滴滴答
刚收到，不知道看的时候会是什么样的情绪，但会更清楚的认识并牢记这一段历史 ​​​
一点都不会亏了自己的嘴 ​​​
伟大的祖国繁荣昌盛
罗伯特好可爱
早睡早起就为了——河南人的嘴头儿爱 ​​​
有意思
真是这样
素饲料要吃的 ​​​
调了一个最爱的凉菜 ​​​
张艺凡也太可爱了
#微博头像挂件# 我正在使用“国旗”头像挂件。即刻换装中国红，为祖国庆生！  ​​​
活的太通透了
//@蔡一玛:这一辈人，长身体的时候赶上三年自然灾害；该读书学习的时候赶上知青下乡；改开后能上大学的凤毛麟角，大多数人等到的是90年代大下岗，重新被抛掷到时代社会的洪流里载沉载浮，好不容易等到退休，有了点生活保障。他们不是什么既得利益者。群众不要斗群众。
👌🏻
已有的事后必再有；已行的事后必再行。日光之下并无新事。 ​​​
🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
太厉害了吧
要不停的讲下去，直到有改变
//@他回精神病院了:九月三 看完阅兵看《生还》。今天的强大 来自那时的不屈 。//@爱电影的藤井树:9月3日 看完阅兵看《生还》 ！
得屠屠了
铭记历史
唉
沙茶锅，可以配一个菜吧 ​​​
遥祝朝阳区麻袋天后王美丽女士生快 ​​​
这是牛马爱吃的饲料 ​​​
//@鸵鸟好大只:想起爱好围棋的同学找我下棋，他说：会下棋的人，我能猜到他下一步怎么走，像你们这种不会下的，反倒很难预测，别有一番风味
//@反裤衩阵地:作为令人发指，而有些不作为令人心寒。
可爱
生日快乐🎂🎉 ​​​
太可爱了
Genius
我每天吃，真是个牛马啦
//@招福的花园:中国历史太长太持续了，几乎啥都能找到前例//@李鲆:稀宗说：“大鹅是我们的敌人。东大是我们的竞争对手。”但凡看过点《三国演义》，也不会说出这样的话啊。
敬湖里的小鱼 ​​​
好吃的很
那你告诉我到底耗不耗，好不好
在这个时间点呢，来一杯肾上腺素 ​​​
王菲《闷》闷（@网易云音乐）以此歌来应对今天的天气 ​​​
可可爱爱
吃了能升天吗？不怕烂舌头未进化的原始动物
还有脸发@蒋胜男:男人觉得这样够煽情够悲情了……但是我们想不通，宁可叫外卖让儿子贫血都不肯自己干点家务打点短工的男人是有多离谱vs没谱。//@蓝紫青灰:一板鸡蛋30个15元，没有比鸡蛋更经济实惠营养全面的食物了。//@李子的围脖:中午为啥要点外卖啊？十几块钱买的蔬菜肉类两个人做饭可以吃 ...展开
朋友圈一直有位分享生活美食的，我做不到，但特别欣赏 ​​​
早睡早起，赛过人参补身体
👏👏👏//@段郎说事:面对生死时刻，任何揣测都是无耻的。
刚刚刷到一个鸡蛋灌饼超话我，我惊呆了，赶紧关注了 ​​​
我可以没有抖音，没有小红书，没有其他app，但我不能没有微博是真的 ​​​
好可爱
好可爱
我嘞个去
可可爱爱
世事无常
请告诉我们该怎么活，就是你们在制造焦虑OK
#带着边框一起拍# 味道还行 ​​​
张震岳《勇气 (New Remix)》勇气 (New Remix)（@网易云音乐） ​​​
👏
都看看
江美琪《想起》想起（@网易云音乐） ​​​
王菲《给自己的情书》给自己的情书（@网易云音乐） ​​​
我最近就是爱各种口味的豆浆 ​​​
//@不二食记:肉饼蒸蛋
最爱的是无糖豆浆 ​​​
👏👏👏
作为土生土长的河南人，喝胡辣汤好似一种本能似的，方中山的还是很好恰地 ​​​
突然接到电话☎️我妈：你侄子用我手机点拼多多那个钱💰我：不用搞了，他也弄不成我妈：我怕那时病毒我：那也不至于我妈：你说过后他现在不玩了我：我的话这么灵验？这事儿不该和他妈说吗？ ​​​
最近，养成习惯是吃饱了，不再多食一口 ​​​
临睡前喝了一瓶红牛，失眠到现在，此刻我想瞪死我自己 ​​​
陶晶莹《叶枯过 (电视剧《恋恋不忘》片头曲)》叶枯过 (电视剧《恋恋不忘》片头曲;)（@网易云音乐） ​​​
陶晶莹《女人心事》女人心事（@网易云音乐） ​​​
我觉得最好的锻炼身体的运动就是第八套广播体操，不接受反驳，谁刚杠谁就是杠精 ​​​
梁静茹《一夜长大》一夜长大（@网易云音乐）听随机的音乐，就如耳朵给自己开了个盲盒 ​​​
这么准
我有很多问题，解决不了的问题，我缺乏耐性，没什么事能让我满意。                      ——王菲《出路》 ​​​
黄安《新鸳鸯蝴蝶梦 (电视剧《包青天》片尾曲)》新鸳鸯蝴蝶梦 (电视剧《包青天》片尾曲)（@网易云音乐） ​​​
我：我不识路，骑车还慢，这是我人生的短板同事：暖棚里的花儿我：？？？温室里的花儿吧同事： ​​​
没有按照自己的意愿过一生是痛苦的，都别劝我 ​​​
马嘉祺《曾经我也想过一了百了 (live)》曾经我也想过一了百了 (live)（@网易云音乐） ​​​
#带着边框一起拍# 胡辣汤里是真的有肉，不过我也喝到底了 ​​​
