我也是
✓
要毫不犹豫的利己，要毫不费力的利他。 ​​​
非常👍
爱自己的第一步是:让一切不爱/不喜欢/不尊重你的人踢出去，远离一切以&quot;爱&quot;为名来裹挟你，偷你能量，偷你运气，影响你心情，阻碍你进步的一切人，父母也好，亲戚朋友也罢，远离一切伤害过你一次的人，不要让他们继续留在你的场域里，清理一下你的能量场，要保证你的能量场里只有爱你，喜欢你，欣赏你， ​​​ ...展开
从现在起也还来得及，打磨自己，积累能量，积累财富，让自己拥有更多好的一面。 ​​​
🐴
原来如此啊
今日份成长:比&quot;要做什么&quot;更重要的是&quot;不要做什么。&quot;#成长##今日最佳# ​​​
可当做背景图的两张图 ​​​
那什么是重点？ ​​​
&quot;只往向前走&quot; ​​​
分享&quot;F1狂飙飞车&quot;里面我觉得台词非常好于是截得一些图~2&quot;慢即是稳，稳即是快。&quot;&quot;不试试当然赢不了。&quot;&quot;老实永远赢不了。&quot;&quot;有时候输了反而会赢。&quot;&quot;希望&quot;不是战术，要自己创造突破。&quot;&quot;现在吃点苦，是为了最后的胜利。&quot;&quot;开局不利不等于无法笑到最后。&quot;&quot; Plan A之所以是plan a 因为是为万事 ​​​ ...展开
终于看完&quot;F1狂飙飞车&quot;这部电影了！看完一整个热血沸腾！真的是超级超级好看！非常励志又治愈，又很温馨的，看完心情暖暖的当然我的男神还是一如既往地帅！！简直是太帅了！我好爱最后放几张我截的图吧（帅老头） ​​​
从现在开始学会爱自己也来得及。不管以前自己是多么的厌恶自己，不让自己好过，不珍惜自己，接受不了自己，没有自我，讨好别人，总是压抑自己的需求，无视自己的感受和情绪，到现在为止还没有让自己开心或者取悦过，没有为自己而活过，也没关系，都过去了，庆幸的是你还活着，你活过来了！所以，从 ​​​ ...展开
不要与不同频的人，环境，事物，物品链接，更不要与之纠缠。不小心链接了就赶紧断链，拒绝，远离并且不要回头，不要让它再次出现在你的场域里。 ​​​
专注自身，从现在起我只关注我自己，再也不会让无关紧要的人和事情占用我的时间和心理空间了。现在开始，不刷短视频，也不会看有些文字博主的碎片化的文字信息了，这太让人的思维分裂，越看越让人觉得思维混乱，虽然是干货但是内容是断断续续的，不完整也不系统性的，大部分都是博主书上读到的理论知 ​​​ ...展开
是这样的
无条件的看见自己，接纳自己，爱自己。
是的
我向宇宙下单健康，财富，美貌，幸福
爱自己的明媚，也爱自己的破碎。
✓
没毛病
都是小事
这是真的
人生终究还是一个人的人生，到头来打的还是个人战，没有人会一直陪着你，父母，子女，伴侣，朋友…没有人会一直陪着你，更不会有人替你承担你的痛苦和压力，也不会有人替你享受你的幸福和成就，痛苦和幸福都是你一个人的，出生的时候是一个人，走的时候还是一个人，人生是你一个人的，世界也是你一个人 ​​​ ...展开
自爱者得爱。 ​​​
…
没有什么是理所当然的，一切皆有代价。 ​​​
！
凡事发生必有利于我。👋 ​​​
🔔
去一个本身就好的环境，而不是待在差的环境里试图改变差的环境，因为人的力量是渺小的，人无法改变环境，待久了就会被环境改变，最后连连离开的勇气都会被消磨殆尽的，所以尽量不要停留太久！！自勉。
我用了六年的手机壳and我画的画（记录一下）要是两边没有裂开的话还是会继续用下去的，但是实在是没法继续用了只能换成新的了~~~没想到我比自己想象中的还要念旧 ​​​
Hi~ weibo. ​​​
