做事要尽心做，你总会掌握曾经不熟悉的技能 ​​​
转发
做事情要做到自己能力的极致，做到你能范围内最高最厉害的情况了吗？其实很所参数并没有做到你能力的90分以上，但你自己会有一种自怜感和辛苦感，觉自己已经很努力在做一件事了，已经很焦虑了，其实不是。这就不够猛，真正的猛是能把自己想到的每个维度全部拉到95分以上，很多以为自己做到了这一点， ​​​ ...展开
好人是有很多事情做不出来的，而最先被排异被淘汰被剿灭的就是试图对抗现代性的好人 ​​​
原来飞天气球是真的，夏洛从来不骗威尔伯 ​​​
夏洛不在了，蛛丝飘走了，温暖的风却会在每个春天如约而至。秋天每一片飘落的树叶，冬天每一朵四散的雪花，都是夏洛散落人间的痕迹；冬天过后，白昼变长，牧场池塘的冰会融化；春天会来，和暖的风又会吹起。这些景物、声音和香气都会提醒威尔伯夏洛曾经的存在，那么深情，那么忠诚，那么有本事的夏洛。 ​​​ ...展开
转发
转发
转发
旅行也好，读书也好，都是为了回应旺盛的好奇心。走得更远一点，读得更多一点，都是为了更好地看见眼前的世界，我遇见过的东西，现在都是我的了。 ​​​
转发
「十年前，我和六位優秀的音樂家相識，沒想到如今我們能再次相遇。沒有比這更棒的事了。」德國指揮家Bernd Ruf如是說。如果事隔多年心裡仍有恨，那〈下雨的夜晚（蘇打綠版）〉便是關乎於愛。影像中的柏林下著雨，在等待天明的時刻裡，有人若有所思，有人凝望窗外，有人淚流滿面。藉由MV拍攝，蘇打 ​​​ ...展开
勤笔免思，逐日填妥 ​​​
分享图片 ​​​
转发
井蛙不可以语于海者，拘于虚也；夏虫不可以语于冰者，笃于时也。等于不要跟北方人说梅雨，不要跟南方人聊暖气。 ​​​
好的亲密关系是彼此守护对方的期待 ​​​
发现原来学会做好一切不喜欢的事，才能让你更喜欢自己正在做的每一件事 ​​​
转发
你是果冻吗？无论我怎么撞击你，你还是会把我包裹起来，再轻轻地放回原处。自我暴露成了另一种诚实，当我告诉你，我关于一切事物的看法和感受时，得到的从未是为了显露自我而做的批判，而是另外一种诚实的感受，这是对我诚实的最大的嘉奖，我发现我的爱长大了，大到从前增生的那些试探、要挟、疏离、恐 ​​​ ...展开
转发
转发
只要明确现阶段的主要矛盾是什么，该做什么就很清晰了，不可能当下每一步都兼顾多种需求，或是要求自己保障当下这一步不影响未来的十步 ​​​
幸福就是不因为去追求过多幸福而感到不幸福
今天真的好幸福，好开心，真是笑死了 ​​​
缓解焦虑最好的办法是更努力一点 ​​​
有些话太久不说，就会逐渐丧失说出它的勇气 ​​​
转发
整个春天，直至夏天，都是生命力独享风流的季节。长风沛雨，艳阳明月。那时田野被喜悦铺满，天地间充着生的豪情，风里梦里也全是不屈不挠的欲望。–史铁生《比如摇滚与写作》 ​​​
