失眠的时候就回忆各种美好的事吧 ！ ​​​
秋天礼物收到了 眼睛落下一串小珍珠 ​​​
在图书馆看完一整本闲书 看作者介绍可以吃的野草 东京红豆夹心饼干多好吃 极简主义 人生减法 如何面对不安 等等 感受最深就是无论什么维度都“不勉强自己” ！谢谢大原扁理 🥹 ​​​
记一个周六 剪头发 吃酱油团子秋日city walk如期完成 完美天气去九龙湖跑步充实的一天结束 ​​​
秋天 终于 来了 ​​​
两手空空才能无限拥有 ​​​
不能改变的我不想控制不了的我不想还未发生的我不想 ​​​ 这是一年前写的，希望后面 做不到的不要写 ​​​
朋友形容我的最近 ​​​
好希望在临近崩溃的时候有人跟我说Rina别怕 ​​​
原来长大就是如果没有滤镜那么你将半小时都拍不出一张能看的照片 ​​​
周五真好 周五有香芋地瓜丸 ​​​
我们的目标是穿过沼泽，而不是对付每一条鳄鱼。 ​​​
像大人一样工作 像小孩一样生活 ​​​
不要再过一种临时的生活 而是真正的活在此时此刻 ​​​
暂时没有快乐的时候就回忆一下快乐 ​​​
多吃几个水蜜桃吧 在夏天结束前 ​​​
把现在就要快乐当作最重要的事情 ​​​
不比较 输赢都不会带来真正的幸福感 ​​​
不要过多忧虑明天可能根本不会发生的事好吗 ​​​
成长在于不会因为这件事情没人陪就不去做了 ​​​
青岛美味樱桃加甄嬛传 ​​​
平时打工的时候特别健康 出来玩几天反倒生病了[再见] ​​​
多想想明天吃什么穿什么才是正经事！ ​​​
幸福 说不说出来 记不记下来 它都是幸福 我也不应也不必纠结于如何留住这一刻 去感受它 enjoy此刻 应该就是所谓的活在当下 ​​​
一想到马上就能抱着半个无籽西瓜啃 觉得好幸福 ​​​
锦上添花难 但只拥有锦 也是可以的 ​​​
好朋友 周五 特调 八卦 ​​​
How are you？ alive ​​​
去找更幸福的那条路线吧 ​​​
宇宙另有安排 它会让你放下那些无法割舍的东西 ​​​
干嘛要问？明明行动就是答案 ​​​
傍晚不冷不热 也没风 公园里时不时就会闻到jasmine tea的味道 太美妙 ​​​
等 何尝不是一种考验呢 ​​​
true
我的梦想是自己种西瓜，自己能种出来西瓜。 ​​​
有些时刻感应到淡淡的美好，或者长舒一口气的平静，已经算是很不错的情绪体验了。
看见一句话 失去 然后拥有更好的 ​​​
时间太宝贵了 只跟真诚的人说话 ​​​
27岁啦 ​​​
我并不是期待过生日 而是期待生日尽快过完 ​​​
看到一句话 最好的礼物就是一个人待着 true ​​​
周五晚 恶劣天气 一个人去看话剧 interesting ​​​
不好的事儿 在记住之前忘掉它吧 ​​​
当你不再说i dont care的时候你才真的不care ​​​
此时 一个中国小女孩和一个越南的小女孩狠狠共情了 we hate dora！！！！ ​​​
快乐饮品日 ​​​
水逆结束了！怪不得吼嗨森呐
会让你内耗和纠结的 就是你该狠心远离的 ​​​
爱一个人是本能主要看愿意不愿意 丁丁张说的 ​​​
《长大后跟这个世界就没话讲了，还是会有烦心事，但是不想说了》 ​​​
行测忘得差不多了 但判断能力依然在 ​​​
好开心 睡不着 ​​​
你预想的都是假的 ​​​
咱们走吧 咱们不能老是等着 ​​​
一把郝龚箭 🏹️一定越来越好！🫶🏼@就是龚英杰 @郝旭涛HOT ​​​
晴朗亲切的春天 终于与我有关了 ​​​
小红书取消了100多关注 无数个考公博主 感觉像结束了自己的一个时代（虽然只有三年 ​​​
很多瞬间如果不记下来 很快就会消失 所以还是要写小学生日记 📓 写下来 就一直存在 ​​​
最需要学会的是如何分辨 正确的、错误的、重要的与不重要的 ​​​
你的感受很重要 评论罗布特说的 机器人都知道的事儿 人怎么想不明白 ​​​
行测忘得差不多了 但判断能力依然在 ​​​
好开心 睡不着 ​​​
你预想的都是假的 ​​​
咱们走吧 咱们不能老是等着 ​​​
一把郝龚箭 🏹️一定越来越好！🫶🏼@就是龚英杰 @郝旭涛HOT ​​​
晴朗亲切的春天 终于与我有关了 ​​​
小红书取消了100多关注 无数个考公博主 感觉像结束了自己的一个时代（虽然只有三年 ​​​
很多瞬间如果不记下来 很快就会消失 所以还是要写小学生日记 📓 写下来 就一直存在 ​​​
最需要学会的是如何分辨 正确的、错误的、重要的与不重要的 ​​​
你的感受很重要 评论罗布特说的 机器人都知道的事儿 人怎么想不明白 ​​​
很难再有被一句话醍醐灌顶的时刻了 大部分时间都在思考人际关系 太复杂了 所以我准备不在意了 抓不住的都不是自己的 那还想什么 准备下班 ​​​
看到一句话 如果一个人想要配得感 就必须要发自内心的认可 你过去无数个夜晚的努力 和你的此刻 ​​​
小Ri之小学生日记1六点钟的月亮 今天终于体检 七个小时 累瘫2骑着新的小电车去吃温州 三鲜年糕米粉 太 香 了！3看直播买了好多小裙子 期待春夏4看到好书 总是看两页就合上 不舍得看 谁懂 ​​​
突然想到 再也不用忍着春困做题 好幸福5555 ​​​
控制不了的事情 只能接受 所以现在开始默念十遍 顺其自然 ​​​
有些话我想了很久我都没有说，以后我也不会说。 ​​​
在这人世间的你我 谁又不是一遍又一遍的喊着勇敢又勇敢呢 ​​​
虽然考完试要做的list里一条还都没划掉，但已经鼓起勇气开始重建生活了 ​​​
别紧张 结局其实很好 ​​​
躲避一切变数 还有一天 再坚持一下 ​​​
一个人但充满斗志的时候 觉得自己像个girlly soldier（词是我编的 ​​​
喝了感冒药 在迷迷糊糊似醒非醒的两小时内 脑子里flash的不是过去的瞬间 而是无数个知识点 ​​​
9 天 just hang in there！ ​​​
忘了自己化妆啥样了 ​​​
今天跑了六公里 听了好几遍sia的unstoppable 觉得自己能做成任何事 ​​​
初冬幸福小事：夜里醒来听见在下雨 还能睡4个小时 醒来也不用上班 谁能幸福过我 ​​​
好喜欢烟花 给人一种什么愿望都能实现的感觉 ​​​
开始期待在冬天吃热乎乎的东西了 也开始计划考完试要做的许多事儿 恍惚回到了去年冬天 不变的是考试 不一样的是我不再焦虑了 事缓则圆 到时候再说吧 ​​​
能被预料到的痛苦 就不应该难过 ​​​
或许经历许多波折后迅速回到初始状态 是我的礼物之一 没人能影响的了我 保护好自己（像水熊虫一样） ​​​
那一天你反复听了三遍 ​​​
希望一直在做的事进入尾声
其实根本没什么坏事发生 于是得寸进尺 妄想得到更多快乐 不能这样平淡中自己去找确定可控的快乐 你可以期待每天下班路上的桂花香气 也可以计划明天喝哪家咖啡 但唯独别对人有期待 不可控的只会带来痛苦 ​​​
再说 ​​​
所有的一切 无论好坏 都是一次性的 不会再来 ​​​
别焦虑 就这样静静地活着 ​​​
每次姨妈+感冒都能要我半条命 ​​​
记录下今天 出差很累 忙了一天 但ym终于来了 和李亚也聊的很开心 回家吃外卖 玩游戏 懒懒的洗澡 慢慢收拾行李 看脱口秀 不学习真的爽 此刻在穿越朋友圈 看秋装 等着明天回家看小狗 困意来袭 今天可以早睡 ​​​
人不会失去自己真正拥有的东西，所以也得不到本不属于自己的东西。命里有时终须有，命里无时莫强求。 ​​​
床单凉凉的 困得很早 不内疚的上床休息 想看万福 小森林 却又想等等 但这又是最适合看剧的完美天气 还是再等等吧 今天足够开心了 ​​​
