作息乱乱的 人笨笨的 意志淡淡的^_^ 💧  [组图共9张] 原图 
想问问高三上开学考到高考大家都提了多少分💦好怕自己提不上来好焦虑🥺  
#高三[超话]# 到底要用什么词来形容我的高三才最贴切 一直吃药一直没好的身体 频繁的请假 还是混乱的人际关系...真的好焦虑 也是真的不知道从哪开始了  
墨茉！鲜芋系列简直是神！这个鲜芋虎皮卷爱惨了🥰🥰🥰  原图 
及时止损 以后远离一切让你不开心的人和事 好不好  
:某一刻我突然就看清了你 或许是在你站在别人那边指责我的时候 或许是你发朋友圈阴阳我的时候 或许是我随了你的愿却被你和你的朋友当面骂了一晚上的时候 或许是每一个你不愿听我倾诉的时候 又或许是真心待你却发现你早在我们不熟悉时背后诋毁我的时候 太多瞬间都让我觉得我们不应该当朋友 明明不喜欢我还要和我玩很累吧 好像是我每次哄你更累 每次你生气我总是要和你解释很多很多遍 或许最后也只能换来一句哦没事算了 可那时的我觉得你很重要 值得我为此解释 而我不开心生气的时候 只能听到一句莫名其妙 扪心自问我不是什么奇怪的人 我有很多好朋友 她们都对我很好 我也很爱她们 可我总是因为一个不值得的人而去难过 或许真的是我贱 但是这次也是真的看开了 有些人注定只是路人 比如你 我说不出来骂你的话 可我也无法祝福你 你给我带来了太多的痛苦与内耗 有人曾坚定的告诉我 遇到错的人要及时止损 我学会了 从此 祝我快乐祝我健康祝我像从前般阳光
