好想去放羊呀
再颠簸的生活也要闪亮地度过 查看图片
“做自己是这个世界上最孤独又勇敢的事情” 第一步———cjl破除“反刍思维”
“想到寂寞也是闹哄哄的”  ​​​
city：JN→CC假期结束～继续“研”学，去追求聪明了家人，7月见 ​​​
#25岁是人生的7点半#这话题，哦豁～ ​​​
黄老，一路走好！ ​​​
哇塞，真的耶，刷到我的大齐师了
拉个加转儿吧！走你
oh～№～怎么办？ 明明是坚定唯物主义者+心健专业 看完却又产生共鸣、觉得 好像是这样
9.23的黑色星期一 （早八 满课   报吃的午饭  讨厌的讲座） ​​​
出勤老师这配置，卷乏了
研1第一篇小作业算是交完了，写完一瞅，还行，多半天码了4222个字，还一分钟中秋，不错，跨个节🤓 ​​​
哈哈哈哈哈哈哈哈哈哈哈哈好
高铁上对坐，认识后发现是同校同研一，下高铁同行奔赴宿舍，报到完发现宿舍住对门，这缘分？？？→_→服👻 ​​​
记：8.8昨日黄昏，大哭过昨日晚间，喜悦过对不起，小咪，我很想你！ ​​​
#陈梦卫冕冠军#祝贺梦姐[金牌][金牌]                     ——From一个电视机前看球的我 ​​​
折服于博主的文字底蕴，共情于每一个字里行间  我想，也许并非每次与时间握手言和就能够抚平伤害，但是满怀希望就会所向披靡！
#其实24岁人生才刚刚开始#  我信了，前途钱途快点来吧！ ​​​
2023.3-2024.6的党小组组长，HE！ ​​​
记6.28去感受“吉林的风…” ​​​
真的是，后面一下子帅起来了 薅shuai…
几年前就想象老年大学的老陈考数学，不及格不优秀就不给饭吃
流浪小奶猫，你有家啦晚饭后去河边遛弯，突然发觉身旁黑乎乎li有一团跑动的白色…… ​​​
记：上铺小蛙&amp;下铺魏猪 ​​​
挣钱养大象 小脑斧、小狮子，小小象…
#伊利#妈耶，凌晨一点半刚改完报告，寻思上个线这……继续回归我的特仑su吧再怎样爱屋及乌 伊L纯其“实质”都是淡的像水 ​​​
#王楚钦vs松岛辉空# 妈耶，紧张的我双手交叉都夹红了，我妈：好了，你现在可以好好吃你那碗坨了的面条了 ​​​
不行了，最好的龙头   害怕担心那一天的到来
oh，“let’s go~  ～～  ”from this-
哈哈这哈哈这配的也太搞笑了吧 好灵动的小狗，也贼像我家“二条” 不过，试着摇一摇，脑袋好晕
"天天健身的大二学妹兼舍友，晚饭买回沙拉吃不想下楼，让下播的隔壁宿舍姐妹也买份同款第一眼～哇，好好看第一口～嚯，冰凉啊努力吃～艹，底下一层滴生菜呐吃完了～咦，啥味啊这是，我吃饭了？算了,,  ～还是“肉”比较适合我，                       “大米饭盖饭—馒头炖花卷”毕竟，三百六 ​​​ ...展开"
曙光就要来了  →遇到一位炒鸡负责的教授导师是什么感觉像我吃辣  刺激~整个过程都很上头血压高 眼压高 问苍茫大地why  真能呛够呛但是结尾了会留恋、会想念、会感激因为～我能吃辣了此刻，我爱批注🤓（也许违心但绝非无心🙃） ​​​
只是觉得电脑累了，它该歇息了我天～我迷迷糊糊的也打了些啥，不知道不知道，去睡觉了 ​​​
初中“回忆杀”一大早被八中运动会声音吵醒 ，昨儿熬夜困意深沉的我起初还有点烦清醒 起床后，听着大喇叭里运动会进行曲，一阵阵初中生那清脆又震耳的加油呐喊声…恍然间，仿佛看到曾经的我                                    ———致敬曾经的我们 ​​​
被开头该死的默契笑到 ，“包办婚姻”也可以是甜甜的嘛
过敏的季节，痒～痒～痒～小时候学的过敏随年龄变化的折线图，几个高峰年段，果然还是有些子科学 ​​​
只与同好争天下，不共傻瓜论短长！姐妹微博纯属记录生活，保存我热爱与美好我不管你是“键盘”还是“谁粉丝”想来给我讲道理的…别来沾边，我这…不欢迎，退退退！💊评论出言不逊，夹我图泄隐私的，一律投诉+拉黑！ 我不会回骂一句，原因参考第一句 ​​​
立夏快乐！🍉
小陈回来挺开森～带着我这个老零零后玩儿就是…美好的日子里哪都少不了黄二条的爱👄 ​​​
被骗的这么直接又容易，不.....我不接受！！！这一定是假的我，我这么聪明 啊啊啊啊啊'........我的“一世聪名”啊 ​​​
黄二条的日常——“长大”记 ​​​
二条，对不起！是我不会照顾你  只顾自乐，你离开了我真的非常难过，希望你在那个星球无忧、快乐你是我一眼看中只想单买回来的🐥个头最小但胆子最大 ，时常“欺负”你另外小伙伴嗓子最亮 ，经常吵着我们“头疼”你最活泼 ，调皮蹦哒来来去去你最聪明 ，总是第一个想出办法冲破纸笼你跑 ​​​ ...展开
[挂灯笼]好(❁´ω`❁)[舞狮][龙卷风] ​​​
龍年得偿所愿
--是谁这么幸运拥有大琦子纯手工匠心制作之本命年龙辰手串一件--哦，是我 ​​​
狠狠认同了，但..我....主要是...也妹有狗和我玩啊
向前看[繁花鱼生] ​​​
预一个巴黎名额
又get了一件看腹肌事件
感谢甜甜滴俩人请我吃咯好吃滴鱼[锦鲤附体]虽然今天的我特别“亮” ​​​
哈哈哈哈哈哈哈哈
某个时刻  亦或是 无数个瞬间👻总有人都在提醒你不完美的你  很幸福2024 再成长多一点吧！ ​​​
