豪庭！！！！//@薛之谦:我还欠你一次浪迹天涯..
薛之谦/张靓颖《霸王别姬》霸王别姬（@网易云音乐） ​​​
哇超
好耶
好耶
棒
想满的第N秒 ​​​
今年的831在这里↙️  ​​​
//@薛之谦的小话筒:相约郑州，不见不散，一起过七夕～
祝贺 @王楚钦___
太赞了！
卧槽！！！！！！
薛之谦超话  @薛之谦 我来啦 ​​​
蚊子 你太狠毒 ​​​
薛之谦超话 生日快乐 @薛之谦 ​​​
生日快乐🎂@薛之谦 
薛之谦《跃》跃（@网易云音乐）好好听 ​​​
薛之谦超话  听起来！！！！！！！ ​​​
期待
#宇宙超级无敌棒# //@薛之谦:爱你哦～ 下次见
#王源薛之谦合唱了像风一样#宇宙超级无敌好朋友今天来串场咯 ​​​
快结束这场草台班子吧好累的暑托班 ​​​
帅！
海口你就不能等我走了再下？  ​​​
想听毛不易现场耳朵有点寂寞了 ​​​
实至名归
头发！头发！你能不能一夜长回来 ​​​
帅
#薛之谦造型#一个字，帅 ​​​
薛之谦超话  完整版但是有点卡顿真服了 小新喜欢谦谦0-0的微博视频 ​​​
薛之谦超话  让分别也笑着说吧 ​​​
#薛之谦毕业歌会#太帅了 ​​​
#薛之谦第一次来毕业歌会就压轴#对啊😏 ​​​
#孙颖莎冠军#孙颖莎你最棒 ​​​
#王楚钦冠军#王楚钦你最棒 ​​​
王楚钦你最棒
莎莎大王冲冲冲
#休斯顿的风吹过德班吹到了多哈# ​​​
#王楚钦孙颖莎混双冠军#是的！是混双三冠王 ​​​
 ​​​
好天气 ​​​
薛之谦超话今天是我关注超话的第2100天，希望能继续伴你一路前行～ ​​​
分享任素汐的单曲《亲爱的你啊》网页链接 (@网易云音乐) ​​​
一起来看薛之谦崇拜MV
期待
还是没忍住...我刚参加了#幸运抽奖#活动，玩赚积分还能抽大奖！机会难得，戳我抽奖&gt;&gt;  ​​​
还是没忍住...我刚参加了#幸运抽奖#活动，玩赚积分还能抽大奖！机会难得，戳我抽奖&gt;&gt;  ​​​
哇塞哇塞
只剩下背影～
好帅啊宝宝
帅帅帅！
芜湖！帅哥
薛之谦超话  到我了到我了 ​​​
卧槽！是租购
好久不见啊啊啊啊啊啊
薛之谦超话#薛之谦第十三张专辑守村人# 发到第几秒了？我在Q音卡了快一分钟都付不了款跑去👖🐶……什么时候发到我 ​​​
梦想还是要有的这不实现了么！感谢金主@种草小海龟，感谢@微博抽奖平台！一起分享我的喜悦吧&gt;&gt;&gt; 网页链接 ​​​
薛之谦超话  gogogo～ ​​​
举手🙋‍♀️
卧槽
啊啊啊啊啊//@薛之谦:怎么又是王啸坤导的… 明天见
耶耶耶//@薛之谦:🙏
太好了！是薛之谦
谁看了不说一句🐮
薛之谦超话#薛之谦 敢不敢发微博#嘿嘿敢拍照 ​​​
哈哈哈哈哈好红
太棒了
#平价不是蜜雪冰城的万能挡箭牌#sjb去管管姨妈巾那些不比这强 ​​​
 ​​​
芜湖～
#淘宝#那要闹哪样 ​​​
薛之谦超话我在薛之谦超话连续签到2年啦，还要一起走过很多个春夏秋冬~ ​​​
#永夜星河# 拼拼拼豆～ ​​​
啊啊啊啊啊啊啊羡慕说够了
薛之谦超话  耶 ​​​
#粉丝认证号#叮！#薛之谦#的宠粉卡已发放！我领到了TA的专属宠粉福利，快来和我一起成为TA的认证粉丝，宠粉福利领不停！ ​​​
哈哈哈哈哈哈哈
//@薛之谦:感谢聆听 新年快乐  承蒙关照🙏
#薛之谦唱了赵英俊的歌#薛之谦你真的太棒啦！！！！！ ​​​
薛之谦超话 除夕快乐  ​​​
🐷宝
期待期待
薛之谦超话我在薛之谦超话连续签到700天啦，百看不厌，久处亦欢~ ​​​
跟傻逼生气干嘛呢……别生气 傻逼东西滚滚滚 ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
猪猪🐷跑去重庆噻
芜湖
小帅
每次都想不明白 为什么放假前一晚总是失眠连睡觉自己都没法掌控 真是醉了#失眠# 烦  ​​​
芜湖
2025第一天就超话忘记签到 ​​​
薛之谦超话#超话星愿池##超话新年许愿季# 身体健康 ​​​
薛之谦超话#网易云音乐年度总结# @薛之谦 芜湖 ​​​
吃吃吃//@孙颖莎:天生对味，一拍即合，很高兴成为肯德基的品牌代言人。
#我的微博播报#2024年， @薛之谦 @WTT世界乒联 @歪了俩下  这三位是我最常互动的对象！感谢你们成为我的微博冲浪搭档！点击&gt;&gt;一年一度！我的微博播报，看看谁是你心中的那个TA~#微博之夜# ​​​
#我的微博播报# 我的 薛之谦超话 简直就是我的快乐星球！快来戳&gt;&gt;一年一度！我的微博播报，安利你的超话秘密基地！#微博之夜# ​​​
take care
#再见我的2024# ​​​
#再见我的2024# ​​​
Enjoy the concert 
