已经寄了好多娃娃回去 现在只有5个陪我睡觉了 ​​​
重庆奥体 终于抢到你了🥳（其实是同学抢的 ​​​
🍕🍲🍚🥗🥤🍰 ​​​
是这样的，有厌蠢，很多时候都是自己的蠢//@互联网真精彩呢:我的情商刚刚好 在说出话后一秒我就知道自己说错话了
一把岁数了 离家婆婆送我到车上 车开了就哭了 ​​​
🎵
好喜欢这组
12//@TFBOYS-易烊千玺:夏天的长度，在我们的默契里被无限延长，不曾打烊。生日快乐，亲爱的你们。
12//@TFBOYS-王源:我们总在夏天相见，也在夏天祝愿，更在夏天里永久。生日快乐，亲爱的你们。
12//@TFBOYS-王俊凯:我们在夏天讨论爱与陪伴，许下一个充满温度的心愿。生日快乐，亲爱的你们。
1️⃣2️⃣🎂🎉
这组图好好看呀 不愧是台风
求票
我和票无缘 ​​​
拔智齿好痛啊，还划了一刀给我缝针，还好昨天吃了顿好的 ​​​
🧩加1 ​​​
我的痘痘起死回生了，可恶的夏天，可恶的油皮 ​​​
英语语言学基础明天能考到我背了的吗 能不挂科吗 求求了 ​​​
智齿挤的好难受 我的大小脸是不是就是因为我的智齿啊 我以前左边脸也没比右边脸方呀（想要立刻结束考试周去医院 ​​​
已经磕到不知天地为何物了 ​​​
寝室外☀️ ​​​
天天在学校吸游烟
论文初稿 实训 小组作业 教案 说课 讲课 现场演绎 录制视频 15分钟脱稿演讲 考核论文 A4纸抄写 学习通各种题型 期末前三周各科老师都疯了  每次都这种时候给我上强度 ​​​
好贴
昨天晚上五点半睡，白天睡了快6h，现在又睡不着 ​​​
和男朋友吵架吵到分手又吵到和好 气笑了 ​​​
一难受就会想购物剁手 ​​​
A2A《巴啦啦小魔仙》（《巴啦啦小魔仙》电视剧主题曲|《巴啦啦小魔仙之音符之谜》电视剧片尾曲）巴啦啦小魔仙 @QQ音乐 随机播放到了 那时候还是小小的lao子 ​​​
5个人才吃了130的螺蛳粉火锅 超级好吃 ​​​
不学习的时候都很快乐 ​​​
今天做情绪管理的主题班会，又回味了一下头脑特工队，想到现在她们在我的脑子里工作就挺好玩儿 ​​​
死亡三月 ​​​
猫猫大王
是我
学了一小时，把我的手机累坏了 ​​​
好想跪下来求自己不要耍手机学一会儿 ​​​
发癫发疯发狂aaaaaaaaa ​​​
寝室的被窝好冷我想回家 ​​​
补药开学啊 ​​​
漂白好看
没有复习周 为什么 后天考试了 今天开始痛苦背书 ​​​
世界毁灭吧 ​​​
这个世界好颠 ​​​
拖延症重度患者自述 ​​​
英语实训试讲我恨 ​​​
我感觉我只是在朋友面前e ​​​
是小猫咪
标记  ​​​
各种实训作业我恨 ​​​
畸形的粉圈 畸形的粉丝离我远点 ​​​
啦啦啦//@TFBOYS-易烊千玺:凯哥25岁生日快乐 每一天都开心自在
@TFBOYS-王俊凯 25了哦，生日快乐哈 ​​​
我想看王俊凯 王源 易洋千玺谈恋爱 我一定是疯了 ​​​
科二你爱我一次 考的都是背过的 求求 ​​​
aaaaaa双厨狂喜
学习使人丑陋，丑到我看不下去了 ​​​
头痛了两天了 ​​​
当我想学习的时候 周围的一切都变得有趣了起来 ​​​
生日卡来了
梦到了绝美晚霞 ​​​
小穆这小孩 害
支持//@歌木木朵:支持//@月眠千葉山://@北极星Polaris_D:支持//@贾玲减肥博:支持
爆💦  ​​​
王维诗里的云台山  ​​​
汪苏泷超话#汪苏泷2024十万伏特巡回演唱会# 在郑州场听到了仙品《晴》 木頭做白日夢的微博视频 ​​​
周末见
TFBOYS超话 十一周年快乐 ​​​
#王昶梁伟铿决赛#加油呀 ​​​
恭喜宝宝//@添福宝伪阿姨助攻组:#王俊凯提名百花奖最佳男主角# TFBOYS超话恭喜演员王俊凯！提名即肯定，未来也一起努力，与热爱一同前行！@TFBOYS-王俊凯
#唐朝诡事录恢复连更#嘻嘻 ​​​
那我大熬特熬
#唐朝诡事录断更#爱奇艺🥝你没有心 ​​​
#唐朝诡事录热度破万#我的小破剧你是真火了 ​​​
#唐诡热度破万#好看好看 ​​​
汪苏泷超话 路人粉抢到咯[妮可]开心[妮可][妮可][妮可] ​​​
源源越来越好
可爱yuan
我在#城市追迷藏# 预测活动中为王源 投上了一票，你认为#城市捉迷藏#谁才是最终的MVP玩家？快来参与#城市捉迷藏预测猫鼠王#投票吧！ !  ​​​
磕到了
突然get到
期末周就不该看小说 ​​​
救命我真的哭了
哥仨又上热搜啦
怎么不算真爱呢 ​​​
期待电影
你们怎么不去参加 合个体给我看看//@TFBOYS组合:夏日篇章，绽放精彩。我们虽然无法来到现场，但在此预祝2024TF家族夏日运动会圆满举办🎉期待师弟们在运动场上取得好成绩，尽情享受青春与阳光！
玩的开心
忙的昏天黑地，想午休缓解一下疲劳却睡不着。因为事情完不成，就提心吊胆的。 ​​​
12点开始一万字电子加纸质，一个奇迹 ​​​
//@·橙焕云巅-:#王源客厅狂欢巡演#好宝宝端午安康啊[我最粽意你][我最粽意你][我最粽意你]！已经准备好“品尝”你送给我们的新歌大礼包啦[我最粽意你][我最粽意你]
关于写材料 真的好痛苦啊 ​​​
#22届考生破防#当时考语文看到新题型和看不懂的作文题目真的很破防，高中四年的语文最低分 ​​​
"恋与深空超话 不是,叠纸你 ​​​"
那我抢抢
宝宝吃的什么呀//@王俊凯KarryWang工作室:王俊凯超话可是，散场之后的你是这样的捕捉一只拿着超级“湘”的夜宵去找杰伦哥的@TFBOYS-王俊凯 查看图片
你是个小宝宝
又幸福了哥
抱抱我们泷泷
网络i人最害怕的就是接电话，不管是谁的。 ​​​
#有关TFBOYS的非虚构青春#忆往昔 ​​​
