//@烤串儿小哥:作为女性，她全文没提一句abortion rights，在RvW都已经被推翻，占人口一半的女性的身体自主权都失去联邦保护的时候，还在惊讶Obergefell会被自己的“保守派战友”针对？还在既想剪掉左派的翅膀，又想保住彩虹的尾巴？
#5岁男童小区景观池触电身亡#我的妈呀，太危险 ​​​
#女子高铁说讨厌小孩目击者发声#持续一两个小时的踢碰上一个神经病你都没孩子了，这样的狗揽子家长少作妖我们母幼出门更方便。 ​​​
#女子高铁说讨厌小孩被宝妈怼哭#我和我家侄子出门时候可从来没这破事儿，又不是病孩子，正常的孩子这样就是欠收拾。 ​​​
我小时候就想去，三年内一定会去
评论区畜牲太多了，老板已经进去了人家要个赔偿就是敲诈仙人跳了？要不要贱出汁，你们以后离职不要补偿，被车撞了自费，被畜牲宰了家属一分钱别要。
再次预言家
#日本2岁女童被父母长期虐待致死#一对变态 ​​​
//@罗马教廷长女家掌管热带猫的厨子:就像在跨性别者中，跨性别女性MTF也更受关注，而跨性别男性FTM的声音则相对被忽视。至于MTF和生而为女性的权力关系交叉引发的压迫也常常被避免讨论。//@Henry_skalitz:很多爱说LGB without T的就这样，自己权利得到部分保障了就转身踩一下跨
反社会人格
被死亡威胁意味地把住址扔在网上谁能忍，她不暴言才怪//@布栗说:现在罗琳的出格言论有可能都是当年的被cancel的后遗症。那时候影视厂商，书商挨个把她从HP这个IP中踢开，一种去母留子的感觉。她最初也只是表达自己的担忧，糟了这一波后，后面就开始暴言了。当然她最近关于Kirk的有一点我比较同意：不要 ...展开
他还年轻应该给改过自新的机会，等会我训他一小时，保证骂哭
#绍兴地铁深夜撞保洁员致多人伤亡# ​​​
川玩自己的信徒像耍猴//@natsumi-os:能理解黄脖子为什么喜欢他//@小天王_:之前在一个发言上说“聪明人都不喜欢我”，我真的笑死MAGA们怎么想//@谷大白话:川普刚才说：乙肝病毒是性传播的啊，为啥要给刚出生的婴儿注射乙肝疫苗？没道理啊！等孩子12岁以后再注射就行！ 查看图片 // ...展开
//@迷糊的moon://@庄时利和:一帮疯子
特朗普说过：“聪明人都不喜欢我”。听他的科学引导的都是.........，虽然我很想刻薄，但是我还是不学看到人吃泰诺就上去bb人家娃自闭症的猪狗黄右了
//@宝儿姐种地:因为凶手是纯种白人，不是嘛噶和川粉们期待的变性人及移民。//@星夜的樱:来自右翼的暴力，那能叫暴力么，那都是爱❤️
支持考试，但是得生之前考，生了才考试给人带走闹笑话呢。
谢谢分享//@AlongPhoto-:回复@acjzdxh:可以网购的，玉柏，富玉，红叶都是景德镇顶好的牌子//@奶茶不加奶盖怎么喝:真的假的，国庆我去景德镇。正常啥价格，我先摸个底
我最喜欢做饭和给家里买做作的小装饰了，考虑我一下呗
不听医生听特的，这群人离吃屎不远了。微博上看到黄脖子嘲笑孕妇发吃泰诺的视频非常魔怔，底下疯狂诅咒人家孩子一定自闭症，有没有可以人家是哪里痛了。我还记得当年maga听特朗普的忽悠往血管里打消毒水打死了的
//@我捡个地雷吃了:码
好多钱
//@王戈1976:应该给录音并作证的房客颁发见义勇为奖
#茶妈妈的试验田# 想起来今天早上送试验田上学问他长大想干啥，他说想当妈妈。我再次确认，他认真回答想当妈妈。可是宝贝，你是个男的，当妈妈得下辈子。 ​​​
#花茶言# 我到是个环保热爱者，我敢说我比大多数人生活要环保一些。但是我巨讨厌以环保之名批判普通人的生活，想约束普通人之前先对着富人喷。 ​​​
遛狗牵绳，遛狗不牵绳等于狗遛狗（我也是养狗人）
财富和地位一个没有，但是碳排放环境污染却算到了我一份//@一发姬中:全球约有81亿人口，最富有1%人口（7700万人）产生的碳污染相当于贫困层51亿人口产生的碳污染相当，而最富有10%产生了全球总排放的50%。最富有1%的年排放量是100万台风力机所节省的碳排放，也是底层群体花1500年才能产生的碳排 ...展开
#花茶言# 所以我不太相信自由女权的国外性别平等意识很强，人家老外生多少都公平对待 ​​​
#男子侵犯幼女以行拘结案家长不服#谁能服，我记得前几天有个热搜是立案少了多少？ ​​​
//@十二方方土://@雪球补充道:才两年以及一开始竟然是行政处罚？到底要干什么？
#茶妈妈的试验田# 俺们试验田现在剥蒜剥葱削皮已经得心应手，不到6岁，我认为很厉害了。就是小孩用削皮刀一定要左手带棉手套，削不干净没关系，安全第一，尽量买y字刀给小孩这样更好用力。   买了本韩国菜谱有图有文字，想吃啥他要读出来给我报菜单，生字我打字头给他写，然后材料回来了按照步骤做他 ​​​ ...展开
支持//@在界园偷吃贡品那一晚:把他拐卖到缅北是让他和第三世界贫苦劳动人民一起努力劳动
//@社戏乌篷船:对苏享茂踹了前女友想高攀白富美一字不提啊，不过是一方是假的潜力股，一方是假的白富美//@幸芝323:被官方当典型游街//@想发财的炎虎:对娇妻的一大打击。娇妻觉得可以靠女性智慧赢，结果呢。
无异于交易婴儿//@去麸刘子:买家有家族妊娠糖尿病史，会导致代孕母体也患病，这个真是让我觉得有点吓人。
//@jack_j11:美国白皮终于有了自己的马丁路德金。//@paingod:右二你别想去美国了//@孟秋灵泽-:给我笑得不行//@儍毴恐惧者:放假吗，放假的话我建议米国人每天枪击一个maga大将//@江宁婆婆:封圣了
#茶女士的饭饭#好久没更新食谱了，今天做了5斤的炸肉，还挺好吃的，可以做溜肉段的材料。推荐梅花肉，让老板帮忙切丁。拿回来洗干净，泡水1小时，尽量去血水。然后吸干表面水，用盐抓肉到肉黏了就可以了。然后放进去面粉和啤酒，最后一定要让面糊有猪大油的手感裹肉上就成功了。把油锅烧热，到筷子下 ​​​ ...展开
#离婚后湖南富豪塞给女儿7.7亿元股票#爸，我知道你在看我微博。爸，你和我妈请更加努力。 ​​​
🤣
#外嫁女持户口要地和弟弟撕破脸#农村真的是另一种野蛮（城市起码大多数讲法律，不代表思想更开放） ​​​
#15岁男孩在自家小区捅死同班女生#希望偿命 ​​​
#大二女生宿舍分娩到底谁的错#她是笨蛋，但是这个时候她需要帮助。家长和男友是蠢货和坏蛋。 ​​​
//@日常撸喵123:后面耀祖又疑似泼了不明液体，耀祖爹为了维护儿子没说实话吧 查看图片
我要是女孩家长，我不听童拳的给一次机会这都是监护人游乐场的错，什么现代人不能接受孩子受伤的废话。我要的是同等伤害
//@Y-DILINLIN:有意思
所以谁说东北人不喜欢儿子我他妈笑死，俺们东北三胎性别比也是失衡的 ​​​
川普是精明的豺狼，maga是他的猪狗。
//@我家狗狗太可爱了:就感觉挺无语，你要说他愚蠢吧，他能读到医科；你要说他聪明吧，做出这种事，丢了行医资格，把自己的人生都给毁了//@我家狗狗太可爱了:跟俺们村最近发生的一件事简直一模一样：一个亚裔医生在墨尔本一家医院的洗手间里放了摄像头偷拍，现在已经被抓，医师执业证被取消。 ...展开
奉劝各位尽量不要用人身攻击去骂具体的人，网络不是完全安全的，万一你就碰上一个极端的人他侮辱你可以，你侮辱他是要付出代价的 ​​​
//@老曲-LQ:这个猪头的言论和他的ID名字太匹配。他曾转过我一条，看着恶心立马拉黑，得多重口味的才能忍受他啊//@FleshJuicerTurnOnTheSun:无论左右骂这么脏都应该被制裁//@茨威格加缪阿伦特:他是检察院的，只要举报会管的//@八千里路相伴:右边那个在国内，这个估计还真不怎么管// ...展开
//@和小猫共进退:每个人都是因果循环中的一环，报应或许不会直接显现，但是自己种的因，必然就要承受果，他死在自己捍卫的“道理”里，何尝不是一种“证道心”。我肯定不会为他的死欢呼，显然也没有同情，他认为世界不需要同理心，在他的这件事上我同意。//@Stoa的微博:这个人每一个观点我都觉得恶心， ...展开
#美国多人因庆祝柯克之死被解雇#死ck比活的好用呢 ​​​
尊重知识产权，当遇到喜欢的文章麻烦大家贴出来源。猪狗教徒是被喂出来的，一旦遍地贫困人口成为负担神父们会喂给猪狗新的饲料。（叠甲，我是炮灰） ​​​
回复@抢个昵称很难:肚子里的生命？父母创造了生命自然比肩神明，那就可以决定它的去留。科学来说生命的定义是可以自主新陈代谢的生物，胎儿显然是母体一部分而已，如果心跳论那心脏自己会动，肠道自己蠕动也是生命。你们教徒当然可以决定自己永不放弃“生命”，任何人应当尊重，但是手伸到别人身上就是 ...展开
这些maga必定会遭遇报复，川普的继任者没有能力掌控这群猪狗（叠个甲，我是炮灰）
//@沈烺檀MIO:呵呵//@W瑜伽无人领取:这个配置绝了，还是早点倒闭吧//@深海与黑夜:蛤 直觉好准//@冷斯基SoCoolDriver:哈//@伊然做自己:是的我老公公司的客户，家族企业，贾国龙有两个妹妹，在企业内担任高管的是他的两个妹夫～ 整个领导层应该没有女性。
不愧美国正能量
睡前笑飞了，天呐中文平台真有黄脖子还有信教的逻辑狗屁不通觉得受精卵也是生命，这事儿最搞笑的是这群假maga是黄皮，妈的还有一群精神黄脖子根本没去过美国。人家maga白皮叫你乡巴佬，这群骚猪实在爆笑。川叫你们吃够的家伙，贵妃叫你们乡巴佬，骚猪还真的相信可以去x留 ​​​ ...展开
精神红脖子表示他子弹上有意大利歌词和口号，一定是左人。啥时候我能有这脸皮（我单纯想看黄脖子笑话）//@老曲-LQ://@出版人周筠://@洛兵:。。//@MS270://@用户8009055265:谢谢🙏长得也很直男，应该赖不到俺们左左头上了吧
一个基督教共和党家庭，姑姑还他妈是maga，你这个证据也太有意思了，子弹上的歌词。我要是带个小红帽是不是也成了黄脖子野生maga//@厄休拉圣乌尔苏拉:子弹上刻着各种左派口号，甚至有南斯拉夫游击队的意大利歌曲，也就是中国很熟悉的“老朋友再见”……左派的不能再左派了// ...展开
