//@刀姐doris:准确，而且正向的驱动很陌生，比如爱（动词）、比如随机的美好（serendipity），做一些傻事的瞬间(being silly)，比如为意义而创造，比如好奇心去探索（会被负面的人看作是不安全感）…比如自由（其实是走出常规和束缚，却会被负面思维看成是逃避责任，或者是迷失）
是的，我对人生和学术充满欲望！加油！你会得到你想要的一切
//@芝士小不懂://@我开心比苦恼多://@差点失控了:要有翻篇儿的能力。
我们不为自己的幸福结局而战。我们为了能说“你不能”而战斗
接好运
//@马达的加斯加:说的真好//@Tiger公子://@M大王叫我来巡山:是时候复健锻炼勇气了//@江南大野花://@罐头辰://@根宝:我们是格兰芬多！！！//@我不拒绝踏进这条河流-:要一直打磨勇敢这块钻石
"//@Sayrohan:Allison Wood Brooks的TALK原则（topics, asking, levity, and kindness 翻译过来就是1 注意选择话题 2 学会提问 3 保证轻松的对话氛围 以及4 保持善意 真正的关心对方说的话的实际内容 —— SchoolBus🚍 A/B组 2025年2月7日☺️）//@mandarinpassion:交流的技巧。"
//@Sayrohan:其实都是很简单的事！只要去做就好！👌
哈哈哈哈哈哈哈哈哈//@倪闻天:哈哈哈哈哈敲黑板讲题了
//@失眠狸:There is a time for everything. 时间到的那一刻，即使送我的礼物都要收走。
面对挑战与困难能放弃吗？不能。不能放弃时必然考验在困难环境中的适应力、生命力，无论外界来的是哪路妖魔鬼怪，内心都要坚定、坚韧。
“应无所住而生其心”。意思就是要：做事不祈求结果，却要有认真去做的心。
呜呜 ​​​
//@Sayrohan:兴趣不是最好的老师 努力才是👌
