好喜欢小酒窝呀
//@严锋:是的，我就是这个情况。当年我自己选择了文科，家长和老师是不同意的，但他们尊重我的选择。后来我确实遇到了各种问题，也曾经想过：原来父辈是对的。但那也只是一晃而过，更多的是无怨无悔。再说了，当初选理科就不会有问题了吗？//@橘橘花花小小蓝hxl:我现在看到的是：如果专业和方向是孩子 ...展开
//@神圣午睡:那种开盒、网暴、造谣他人的，都应该公开全名、履历和照片。起码能让身边人防范一下吧。//@桃子与司康:请将镜头对准施暴者。//@龙猫自在:不要让qj犯的日子好过，他不仅应该坐牢，更应该社会性死亡
最近在看《知晓我姓名》这本书，作者和崔丽丽的经历很相似。所有的女性都应该看一看这本书，不要觉得暴力性侵离自己很远，所以就不去关注，其实在我们习以为常的瞬间，也会暗藏了很多不平等。
小酒窝真的太可爱了
看得好气愤😡//@摇着手花飞走liao:Repost
在这个变换的世界里，要学会灵活地应对，而不是僵化。父母一定要多告诉孩子“你的人生有很多条路，而不要执着于在某一条路上”。想到几年前有个妈妈对我说，孩子将来只要学了计算机专业，在美国年薪有XX，我当时还提了一句：等我们孩子毕业的时候，还有那么久呢，谁知道市场是怎么变化的啊？她当时马 ​​​ ...展开
其实我感觉做个好妈妈这些都是对女性的束缚，为什么男性从来没有过类似的内疚感？是时候该为女性松松绑了，否则会让新一代女性感觉做母亲是母职惩罚//@手心里的脚印:大多数女性做了妈妈对自己的苛责很深，H四岁的时候，有一次去海边吹风，吐了一整个晚上，我都在那自责怎么让他受凉。最近认识的 ...展开
这才是真正的热爱，不管外界的声音，我就要沉浸在植物之中
好喜欢小酒窝呀，性格很开朗，特别可爱，每次看她的切片，就觉得她像一弯清澈的湖水，真舒服。希望她以后不要被外界的声音影响自己，也希望网友以后能对她包容一点。 ​​​
//@严艺家:自媒体时代还要多加一条：不要给他们送流量。//@爱拿自己做实验的伪科学家:对！
