原博看得我哭的稀里哗啦的 评论也看得我稀里哗啦的。转给我妈了 她回复 查看图片
唉 在gym里听岩中花述 鲁豫访谈小帕 坐在划船机上眼睛红红的🥲 ​​​
来世想当什么啊 当副驾上的一捧玫瑰吧 ​​​
终于听到现场版的Tchaikovsky  买了在生日那天王羽佳的演奏会票 演柴一和肖二 很好的program 但王姐生病啦 好难过 本来很期待在生日见到她来着 买了最好的位置的票呢（前三排都是private banking带name card的VIP🥹）爱姐爱得好辛苦 三年前也是差不多这时候和买了票和前夫哥一起 开 ​​​ ...展开
[不好意思] ​​​
"Stop seeking for approval. Stop outsourcing your confidence. Don’t wait for others giving you approval. If you want to do something that is right for you, you approve it. You do it. that’s how you take that confidence back. Do the people you’ve been asking for approval living  ​​​ ...展开"
从苏黎世来柏林 最大的感受是 我还是喜欢compact的小城市 苏黎世市中心到机场打车二十多瑞 （法兰我住市中心 到机场也就20min）在市区里打车基本也都十几瑞可以从A到B 或者腿儿着也能去很多地方。柏林虽丰富虽美 但从机场到市区没个一百欧下不来（慕尼黑中心区到机场也要八九十） 柏林从我office到我爱 ​​​ ...展开
美丽瑞士颜艺小瓜 真无语 刚开始拍照咖啡就洒衣服上了[崩溃] ​​​
青春活力小狼崽 这哪像去上班的[不好意思] ​​​
哈哈哈哈哈哈哈哈哈妈呀我完全忘了
昨晚看了天才瑞普利 很久没看so twisted so intense又赏心悦目的漂亮电影了 （好长的形容词）裘德洛 凯特布兰切特 Jack Davenport年轻时的面孔 加上安东尼明格拉的宏大叙事 加上意大利和意大利语为电影弥漫一层雾纱 太漂亮了这部电影真的裘德洛演的Dickie像极了我的ex 随心所欲 放纵散漫 除了自己 ​​​ ...展开
"弟弟有天知道Frankfurt在中文里是“法兰克福”笑了很久 他很惊讶 中文里世界上的每一个城市都有对应的中文翻译 因为大部分国家都是直接承袭英文发音的。于是他对中文里的各国的发音很感兴趣 我们打开中文版世界地图👨：how do you say New York我：纽约👨：啊 i know niu是cow, yue是dream. 所 ​​​ ...展开"
是！
开心老婆开心生活[不好意思] ​​​
重读浪漫主义的根源，译林这一版（吕梁等译者）翻译得真的太好了 同时也意识到语言真是学无止境。这次是英文原版和中文版一起读的。原版里有一句”Romanticism is fidelity to the particular“ 我想了很久怎么用中文表达出来 译林这一版翻的是”它是对独特细节的逼真再现“ 立刻心生感叹 哇 翻得太 ​​​ ...展开
记漂亮饭和漂亮酒 ​​​
一些和书的moment和时间戳. 念本科的时候没什么社交 大部分时间都是自己在图书馆里度过的。只读浪漫 读历史 读诗歌和虚构 虽然没能让我变成hopeless浪漫主义者 但让我的心肠变得更柔软。在德国念研究生的这段时间里读了更多人物传记 艺术和practical类的书 对我的影响也非常大 让我有机会从不同profess ​​​ ...展开
哇靠 喜欢 ​​​
弟弟讲中文真的很好笑 他讲话be like：别生气我 你怎么好看 我有问题 吃一点多（劝我多吃一点eat a bit more） 笑一点吧（please smile） 怎么ugly呢（我说他买的东西很丑的时候） ​​​
