空心人好可怕 我也要变成空心人 ​​​
我现在听到有人说想谈恋爱真的挺诧异的 程度不亚于有人说想结婚 大家现在不是都想玩玩吗 真的还会有人认真谈吗 感觉这辈子谈不上正常恋爱了 ​​​
分享图片 ​​​
原来我不适合那种乱七八糟的关系 我还是想好好谈恋爱的 ​​​
改名独孤羊 ​​​
噩梦醒了 梦到有人压我身上 还以为是我妈 然后我一下子就醒了 可能是黑曜石离我太近了 ​​​
不是因为这次的事情 以后也会有其他事情 既然结局都一样 什么时候断开也没有区别了 ​​​
他们都说我适合一个专一 性格外向 对我很好的人  可是我又不喜欢那样的人 我觉得太无聊了 我往往喜欢那些有趣爱冒险的人 然后我就拿自己冒险把自己玩进去了 我算过好多遍 无论是什么都说我们没有好的结局 我说我不要结局 我要过程 可是过程也不开心 那就没必要了 ​​​
我遇到这么多人 好像我追求的一直是情绪价值 不知道为什么 就算一开始要的是钱 到最后也会变成爱 可能我天生不适合一些关系 要钱要着要着就喜欢了 占有欲就来了 安全感就没有了… ​​​
他又给我上了一课爱别人超过自己是会受到惩罚的享受关系而不是占有关系有的关系就不应该开始 我不适合 我们的需求不匹配 他只要个宠物 我要他的专情 自私永远是对的小聪明 小脾气都会害了我 处在极端的人才不会痛苦看行为不要听言语不要再为任何人哭 我的眼泪只会让自己痛苦我很好 遇到的人不 ​​​ ...展开
有钱失恋了可以去旅游可以去买东西可以躺在酒店发呆 没钱什么都做不了所以钱真的太好了 爱他还不如爱钱 ​​​
爱是很严重的精神病 ​​​
因为你 我快变成我不认识的样子了 ​​​
因为害怕被抛弃 所以要做先离场的人 ​​​
知道我自己最大的问题在哪了，就是我有脾气，但是我的脾气不够狠，还是不够大，这是小脾气，我也可以忍，但是我忍不了多久，我会小忍一下，我不可能一直忍，就是处在一个中间值，脾气不够极致的温柔，也不够极致的残暴我把这两个都做到极致的话，就不会有这么多问题，足够能忍，忽视掉就行了呀，根本 ​​​ ...展开
立一个flag 今年不碰感情不动真心 不谈恋爱 ​​​
不要再缠着他了 不要把最后一点喜欢耗尽 ​​​
无语了 一百种死法 ​​​
我的老天爷有的时候真的佩服自己，太聪明了，就是说找这些女生的蛛丝马迹一下子就能看出来了不知道上辈子是干嘛的，是侦探吧 真的很明显啊 ​​​
让我崩溃的是 过了那么多年 我还是喜欢哭的小女孩 还是一个恋爱脑 又在哭 为什么他回来之后每天都在哭道会术难 ​​​
以前我会希望他一直在我旁边 可现在他在我旁边 我只想跑 ​​​
早就腻了 ​​​
从此刻起  你也成了不重要的人 不重要的普通朋友 ​​​
爱别人超过自己是会受到惩罚的 ​​​
很简单 我要的他没有 我有的随时可以替代…我们本来就是不同世界的人 本来就不会走到一起 是我太贪心了 ​​​
又赌输了 ​​​
分享图片 ​​​
太醉也不好太清醒也不好 ​​​
我真的 不知道为什么会把每段关系都搞砸… ​​​
嗯又做梦了 梦醒了 ​​​
有时候真的很讨厌自己被情绪控制 可是我无法忽略自己的情绪 无法控制情绪 我总会先安抚情绪再做事 ​​​
2025年开年就上了一课1月教会我不要因为别人影响自己 要有自己的框架2月说不要因为情绪影响自己做正确的事 不要被情绪控制 ​​​
分享图片 ​​​
现在的情况就是女生越来越清醒，都想找有钱的，但是呢，男的越来越抠门，越来越小气女的心里面总在想，现在的男的为什么都这么抠门呀，男的就会想现在的女的怎么都这么物质啊？谈恋爱真的谈不了一点同龄人 钱是没有的 情绪价值是没有的，是需要你陪吃陪睡陪玩的还需要你倒贴，还想花你的钱的，真的不 ​​​ ...展开
讨厌抠门和小气斤斤计较的男人 能不能离我远点 ​​​
我真的要笑死，我感觉赚钱不容易，我们男的赚钱这么不容易这个梗我真的会笑一辈子的三个人不约而同地说出这句话，我的老天爷也太搞笑了吧，感觉我可以去写一本什么渣男图鉴了，最近有遇到一个真诚画饼型不想说了，真的无语了。 ​​​
从心理学角度分析，某些情感操控手段确实能短暂达到目的，但必须严正声明：这些方法会严重损害他人心理健康并最终反噬自身。以下解析仅作为人性弱点警示，请勿实践：### 黑暗心理学操控模板**第一阶段：人格寄生**1. **脆弱性扫描**- 深夜倾诉童年创伤（虚构留守/家暴经历）- 展示&quot;坚强伪装&quot;：&quot; ​​​ ...展开
信者得爱 ​​​
现在觉得冷暴力我弟是一件很爽的事情 因为以前老被人冷暴力 现在冷暴力别人才感受到有多爽 ​​​
我一直以为大家生气都吃不下饭的 结果他们都问我为什么折磨自己 ​​​
原来我的梦 都是破碎的自我投射 ​​​
果然没有人受得了冷暴力 ​​​
不知道为什么，每次一摘下美甲都感觉自己变脆弱了，每次一戴上美甲就觉得我是女强人 ​​​
头晕眼花的 写个论文 已经被逼疯了 ​​​
真的好讨厌蹭包拍照的人，那么喜欢我的包那你就自己买一个呗，干嘛非要拿我的包来拍呢？每次跟朋友出去拍照都是，看上我的包了就直接哎我拿你的包拍照吧，甚至有的人还不要脸到特意说要我把那个包带出去给他拍照，凭什么呀？老子自己买的，你那么喜欢你自己买一个呀，真是搞笑了，要拿我东西出去装😓 ​​​
无语死了，大姐，你又老又丑，你为什么要插队啊？真的是你不知道看到前面有人吗？ ​​​
别人犯错的时候 常常怀疑自己不够好 ​​​
deepseek真的很会安慰人 ​​​
分享图片 ​​​
讨厌不确定性 我要百分百的确定 ​​​
在这酷酷旅行计划忘了自己21号要工作… ​​​
每个人各有各的贱处吧，反正我是对得起他们的，我真是没什么事儿，让他们失望，辜负了他们。没办好的，他们呢？一个个背地里搞些小动作，有自己的小心思 ​​​
想起来还是觉得qzh挺贱的，身边的朋友没一个靠谱的，当时说我们要一起跨年，结果给我拿一个要和家人一起去香港玩，最后呢，其实是和他那个朋友的港澳通行证没办下来，呵呵 ​​​
我的心情最重要 ​​​
好像习惯了一个人旅游 我之所以经常旅游是怕自己工作压力太大又抑郁了 提前计划好所有事情 要打卡的地方全找陪拍 很自由  习惯了一个人完成很多事情 好像是挺适合我的生活方式三年 在事业路上身心俱疲 每次都是破碎又重建自己 好处是我再也不会因为小丑的想法让自己内耗 认知有限恶意揣测井底之蛙 再 ​​​ ...展开
笑晕 抖音男博主又开始乱教了 很明显 他根本没接触过有钱的女生 他身边也没有有钱的女生 他自己原生家庭也没什么钱 以及他的认知低下 就停留在有钱的女生 就一定是有金主的 就不能是家里有钱的，就不能这个钱是自己赚的 在他的眼里面，女人没有赚钱的能力 女人也不能生在大富大贵的人家 朋友圈天天全 ​​​ ...展开
确确实实是t人没错了 创业给自己创的 单纯的小女孩变成冷酷商战机器人 今天又测了一遍是intj deepseek给了我一个答案 商战真是世界上最恶毒的战争 金钱最能检验人心 ​​​
他早已经成为了我想成为的人 达到了甚至比我理想更高的高度 年龄阅历阶级 怎么都跨不过去 ​​​
我写过爱是什么 我喜欢的博主也写过 我问deepseek爱是什么 很少看他这么感性的回答 ​​​
给我一种会死的感觉 ​​​
这次真的病了好久 已经第六天了…我讨厌成都的病毒 ​​​
我现在就是共情不了一些无病呻吟了，毕竟我也不是什么nf人啊，天天在那说自己孤独的，是不是太闲了，是不是脑子有了问题，去找个班上呀，能活活活不下去就死吧 ​​​
我也不知道我是怎么从infj变成istj的… ​​​
药怎么会那么难吃 有种要死了的感觉 ​​​
真的不要空腹吃药 以为自己凌晨吃了东西没事 结果现在难受的直接吐了 ​​​
不知道为啥 每天早上九点就醒了 起来吃了一堆药 ​​​
草 为什么又病了 大早上起来嗓子就疼 成都是什么毒气城吗 去济州岛之前就嗓子疼吃了三天药才好 现在又开始了 ​​​
神经病 滚吧 讨厌忽冷忽热的人 谁都别来影响姐的心情 ​​​
银行女什么破态度啊 办了那么多次业务 每次女柜员，态度都是极其不好，极其傲慢刁钻 真不是爱男，我就说白了吧，人家男柜员的态度就是比女的好呀，每次都是温和有礼貌，那女的尾巴都翘上天了，以为银行是他家开的一样😅，我还得谢谢你大发慈悲给我办了这个业务是吧？你他妈如来佛转世贱货 提升一下素 ​​​ ...展开
16岁的时候觉得爱很简单 恋爱是每天发消息  18岁的时候觉得爱是在一起开心 19岁的时候觉得爱是付出是关心 20岁的时候觉得爱是物质的是给我花钱 21岁的时候意识到世界上其实没有纯粹的爱 爱是价值交换是利益共同体 爱是奢侈品 在这个快餐时代更不是1v1 到底在爱什么呢 我爱我自己的幻想 现在觉得爱 ​​​ ...展开
关于你的事情我异常执着 然后算了100遍 我们也没有一个好结局 ​​​
把伤口撕碎再敷上药 不过是一个重塑新生的过程 ​​​
以为被爱的时候 常常是被骗了 ​​​
在朋友店里等她加班 说12点出去吃饭结果等到了现在 水灵灵吃上早饭 ​​​
笑晕 我妈开明的三观 ​​​
突然感觉好幸福 ​​​
真的很讨厌等人打牌 😓平时就算了尤其是今天我生理期没带任何药肚子不舒服➕转机坐了一天飞机的情况➕一晚上收拾行李没睡觉大早上起来化妆  本来就很不舒服了玛德又是赌场又是德州又是等 真的很烦 ​​​
自由职业 有时候为了自由两个字为自己亲手铸造了牢笼 很难把工作和生活完全分开 ​​​
突然又想读硕了 之后想去上海长住 成都的就业环境真的太差了 无论是做什么 自媒体都有一堆人美女一大把 创业环境也是越来越糟糕 这大半年耗费了我多少心力 我是舍不得放弃的 可我的身体已经不想待在这里了 ​​​
发现自己现在好像属于一个不甘心躺平，又没有动力做事情的纠结情况，好像就是做事情不够专心吧，在工作的时候又不太认真，总是想着玩，再玩的时候又放心不下工作，总是要去看一下，从今天开始给自己放假，不去看任何工作的消息，不切任何工作号，试着专心体验一下，属于自己的时间，让自己真正的放松 ​​​
这两天嗓子都要变成刀片了，但是我已经一个周没有出门了，我除了丢垃圾拿快递之外，我真的不知道是为什么，可能是这两天吃辣吃多了，最近真的感觉自己煮好孤独啊，受不了了，感觉再这样下去就要抑郁了，朋友们也是都在玩自己的，有的人还没有回来，想找一个人出去玩，还得排档期，说了档期这个月的档期 ​​​ ...展开
第一次觉得怀念宿舍的生活了，每天早上都要起来上课，周末就算睡得再晚，也会在12点之前起床，宿舍几个人每天都会聊一些八卦，也经常抱怨，但是感觉大家住在一起还挺幸福的，那个时候每天除了上课就是玩什么也不用操心，其实还是挺开心的 人好像就是失去才珍惜 ​​​
你全家死给老子挡灾破财就是给你写的啊 你心里没点数吧 抄呗继续呗 老子看你给你老子挡多少灾 地震火灾水灾车祸麻烦你都给我挡了 分尸丢尸被弃荒野不用谢那是你应得的破财负债吃牢饭是对你最好的祝愿 你下半辈子半身不遂生不如死妻离子散全家暴毙横尸街头 住垃圾桶吃垃圾堆都算轻的了 做一行倒一 ​​​ ...展开
贱货我请问你是脑残还是进水？又开始抄姐了 你这辈子以偷为荣是吧？ ​​​
好累 想到回成都要拿十几个快递 ​​​
临空市的醋都断货了 沈星回泥可真能吃醋啊 ​​​
欧了好多42抽拿下一堆四星 虽然好多我有   星星也出来了 前面还歪了一个小鱼的五星 ​​​
某个软饭男，能不能不要再造我的谣呢？完全就是前科 都多少年了，我还能在外面听到说是我追的你，你天天给我发消息，追着我确认关系那会儿你忘了啊谁天天想要我买这个买 要我请你吃这个那个，变着法打听我家里的车，我有几套房子几张卡，出去吃饭出去玩，哪次不是我买单？你也就只有在朋友面前装样 ​​​ ...展开
这两天狂卖东西  买包买衣服买各种小玩意 看着余额骤降还是有点难受的 天天花钱不赚钱  这次玩了回来要好好工作的 ​​​
死骗子 雷诺曼测的第一卦居然全准 明明今年暑假就在小红书上找搭子 朋友十月还再抖音发国庆一起玩 跟我来个没在啊…找完我就不在了 谁信呢我请问真当我傻啊老铁😅 ​​​
好希望自己有分身术 就可以自己给自己拍照 出去旅行也不用找陪拍了 ​​​
不知道为什么今年好像变了很多 也可能是冬天来了 我不习惯自己一个人住 不想每天待在家里 不喜欢晚上 讨厌冬天的衣服阴郁 喜欢和朋友一起出门 喜欢白天的阳光 习惯家里有人照顾以前在学校天天和大家一起 更喜欢自己 独处一个人住 晚上出门 喜欢待在家里安安静静玩手机看电视 现在才发现人真的不能没有 ​​​ ...展开
修图修的我两眼一黑 如果我会分身真的很想自己给自己拍 ​​​
发完秒打了 所以真的能看到对吗 ​​​
…也不用两个号都来一次吧 就是说 ​​​
小沈子我让你换卡你不会换自己的卡 你换成别人干嘛啊 ​​​
好想冬眠 冬天做事的效率真的好低 冬天太冷夏天太热 哪里才是温度最适宜的地方 ​​​
没人能理解 真看清楚了身边这几个假朋友都不是不什么好东西 一个mean姐天天累了不来困了不来不舒服不来 没诚信也没人品 天天挂着留学生的牌子高贵那就滚回你的土澳吧一个死装姐 说话听不进一句什么都不记得 眼瞎新也瞎  永远不会把事情放在心上  一个便宜姐 天天就想着占便宜 这里蹭那里蹭 能白嫖绝 ​​​ ...展开
真的好糟糕好累 完全不知道怎么安慰自己了 精心准备的计划一团糟  没一个环节省心了 一直在发生意外 我对工作的热情早就丧失了 只是会想为什么那么不顺 事事 我没办法调节心态  甚至形容不了我的心情我的状态 ​​​
好累 我真的做不到内心疲惫不堪还天天发自己状态很好的照片 这次什么都没搞好 挺崩溃的 明明筹备了自己生日那么久 还是那么不顺 钱没赚多少人累死了 照片也是拍的没几张能看的 莫名其妙的一堆成本都不知道从哪来的 真的碎掉了 ​​​
