#汪苏泷星星坠落时首唱#“一颗一颗流星”这句词太绝了狠狠共情了
#胡先煦遇到欧阳靖rap魂藏不住了#胡先煦说唱交流性强和欧阳靖适配度拉满
#郝蕾一句话戳穿傅首尔#傅首尔在表演里的状态真像生活中逞强的样子
星盘说晚发那现在就踏实积累经验
啊啊啊刘宪华这舞台直接封神了好嘛
#周深演唱会上打小抄#这场演唱会能听歌还能看周深搞笑太值了
这歌单随便一首都能让我单曲循环好久
#张远被王心凌整红温了#张远跳完舞合照红温的样子太逗了好欢乐
#蒋梦婕二公杀疯了#她的造型完全颠覆林妹妹印象反差感好爱
#刘若谷又来给任嘉伦打助攻了#从《一生一世》到《无忧渡》缘分不浅呀
#张远宠粉的风吹到了呆鸟#好想去成都感受张远的宠粉氛围和呆鸟拍照
#余景天海南穿貂唱BangBangBang#这么热穿貂唱BangBangBang余景天这舞台太有创意了
#沈腾说舍不得马丽演别人的戏#沈腾对马丽的这份情谊真的好难得
一想到安溥演唱会舞台那么美就好心动啊
被沈腾扶马丽上台时的礼貌暖到了
就喜欢傅首尔这种勇于认错的性格
余景天音乐节连唱太顶了舞台超精彩
#无忧渡全肯定#林玉芬出马《无忧渡》画面故事演员都很绝
胡先煦完全是喜剧节上的搞笑担当
易小星穿手机服装走红毯也太奇葩了
教阿米尔汗比心这段真的是笑点满满
#大张伟一己之力打通三界#歌迷扮媒婆财神奶奶太有创意了
#NexT1DE男团小狗乐园#胡烨韬像兔子和狐狸也太贴切了
原来吴京吴彦祖还有这样的渊源啊
吴京吴彦祖要合作真的太期待了
年轻的阿祖和吴京好青涩好帅气
锤娜丽莎澳门红毯造型做6小时太用心啦
#孙俪想跟乌云之上导演吵一架#能看出来孙俪对自己要求极高为了追求完美才想和导演吵一架敬业精神值得点赞
#林更新这算盘打的太响了#创业基金分配林更新的算盘被陈赫徐志胜一眼看穿
这动作设计得好让这段戏更有感觉了
男女团走花路变对抗路剧情太抓马了
#马丽曾被建议转行#看马丽的故事才知道成功背后要经历这么多
#艾福杰尼说新疆我的主场没在怕#艾福杰尼在新疆带团能让大家体验独特新疆游
#陆虎和吴昕认识20年了#苏醒调侃陆虎是人脉还比他早认识吴昕好有趣
#陈赫信任危机一句family解决#合伙投资起争执陈赫用family巧妙化解真有一手
锤娜丽莎把石矶娘娘完美cos出来了
父母恩爱还支持她当歌手太暖心了
#米卡带爸特种兵式旅游#好期待米卡巡演现场不知道会不会分享趣事
从默默无闻到大放异彩马丽太不容易了
许凯这次杂志造型太让人眼前一亮
戚薇这脸跳着舞太美了真让人着迷
联名周边有手帐本颜值好高好想要
京东超市限时狂欢可得周边快冲一波
巧乐兹和王鹤棣联名太绝了周边超想要
蒋一侨在舞台上rap的样子好有魅力
五哈神金特效让艾福杰尼秒变搞笑担当
哈哈这加湿器的回应也太有意思了吧
五哈开播就放大招王勉表现太亮眼
速度一般的艾福杰尼却带来满满快乐
智驾版凯美瑞性价比高要火遍市场啦
16.98万起带智驾合资B级车太值了
凯美瑞智驾版这价格带智驾真的超划算
#第一个上waterbomb的内娱女团#以后音乐节有更多内娱女团就好了
三分熟表演反而更有笑点太让人上头了
已经迫不及待想去许嵩演唱会看巨型蝴蝶装置了
#赵露思在山里种下期待的种子#不撒糖而是种甜味赵露思公益好特别
#彭昱畅带狗拍封面#彭彭多种造型切换和狗狗搭配好有感觉
#黄英的性格很容易被人喜欢#叶童李晟都说喜欢黄英简单直接的性格
#叶童想把大山这首歌唱给父母#听叶童说想唱给父母瞬间就共情了太真实
五哈这比赛环节被艾福杰尼承包笑点
看到彭昱畅和小狗同框我太开心啦
运动启动神经新生真的好神奇
宋妍霏因为高票哭成这样太可爱了吧
你们上学还带钱？我们学校都不让带
#黄英的性格很容易被人喜欢#之前综艺猜她哽咽次数李斯丹妮的反应绝了
周柯宇在不同题材里都表现超出色
#左凌峰喜人原来是惊喜的喜#左凌峰能搞笑能走心这演技谁能不爱
#无忧渡尊渡来了#“鸮吟”“回春”这些单元名就很吸引人
看到这表就想起守电视的午后时光
被刘些宁可露丽风穿搭狠狠圈粉了
#校园剧之车子躺着等风来#等风的车子和等风等雨的歌词莫名很搭呢
宋妍霏撑地而起也太有力量感了吧
#求许魏洲带乐队怒刷音乐节#《MORE AND MORE》等4首歌直击人心洲洲快带乐队上音乐节
#汪苏泷真瘦了#希望汪苏泷真出减肥演唱会限定套餐太期待
#米卡西安巡演给爸爸当地陪#父子俩一起感受西安魅力太让人羡慕了
我超爱康师傅茉莉茶这次活动一定要参与
#老板正式确诊为听劝型人格#听劝的老板在公司肯定很受欢迎吧
#任嘉伦手指钢琴舞#从手指钢琴舞能看出任嘉伦对专辑真的很用心
于适朗诵《将进酒》层层递进太有感染力
已经迫不及待去看这次音乐节啦
#姚晨在以美之名中的表演#姚晨半张脸的表演就把情绪拉满太绝了
#真诚永远是李承铉的必杀计#李承铉面对丈母娘做饭直言不讳这真诚绝了
能把濒死的狗狗救回来真的太厉害啦
#原来精神富足的人是这样的#战胜生命困难彰显精神才能不被困住真好
#发现了nightwalk的极致浪漫#情侣一起散步谈旅行目的地真的好甜蜜好期待
铁板豆腐滑嫩肯定很好吃想去尝尝
被预告里臧姑娘猛猛打工的样子感染了
米卡爸爸尽情享受这趟文化之旅真不错
没学过跳舞还这么努力倪虹洁好样的
#姚晨在以美之名中的表演#仅半张脸就让人共情乔杨的委屈姚晨太牛了
徐冬冬尹子维拯救tina的故事太有爱了吧
完全被宋妍霏舞台上的魅力吸引住了
林允这时尚表现力我直接被狠狠拿捏住
任嘉伦新专辑MV创意给人满满惊喜啊
吴宣仪《本草纲目》舞台太绝真的看爽了
闫桉这古装造型直接帅到我的心巴上了
叶丽仪歌声里藏着一代人的青春记忆
大风天里大学生上课会不会很不方便
花开季节看山花这画面想想就特别美好
姐姐们别难过有淡淡安慰一定能振作起来
