不想去上学 感觉上学的前几个小时心里闷闷的。。。该死的臭学校。。。 ​​​
喵喵喵小猫好可爱
非常适合 要拿去骚扰别人了aaaaa
不喜欢和不熟的人在一起。。。 ​​​
好尴尬 ​​​
我服了啊 一天天的在学校什么好人都没遇到 遇到的全是-人 ​​​
分享图片 ​​​
+1
我滴妈真相了
这些我都替对家接了哦
很喜欢
那很强了
爱了
羡慕了
滚滚滚滚滚臭乐子离我远点 ​​​
#冒个泡# 分享下上学时快要爆出来的书包。。。 ​​​
见不得人好的人能不能离我远点啊。。 ​​​
滚哈头一次见主动伸手跟人要生日礼物的 ​​​
和乐滋一样。。给你买东西你还挑三拣四上了 。。你要干啥 给你买东西能要要不能要别要 装啥呢。。给别人买俩东西给你买一个你心里不平衡了是不是？我不待见你给买好东西干啥？ ​​​
哥们 你喊我我听得见 你就算小声说我也能听见我听力很好 就是不想搭理你你还可劲的喊我 听到你的声音就烦知不知道 ​​​
滚呐。。一天天的怎么都过生日啊。。有些人演都不演了直接伸手给我要礼物了是不是。。。之前zyc过生日的时候你换着法子的问我给zyc买礼物花了多少钱 结果第二天就给我说你要过生日了记得让我给你买礼物 我请问呢？？？你说让我送你什么吧便宜了你就要再背后骂我对你小气给别人买那么贵的给你买那么便宜 ​​​ ...展开
我真的很讨厌你们没和我提前说就来找我。。你们不会以为我很激动吧 我真的很讨厌这样。。 ​​​
一天天的舔着个脸往上凑你都把我搞怕了知不知道 离我远点吧🙏🙏🙏 ​​​
滚吧我最讨厌你了j y h ​​​
讨厌一个人到最高境界可能就是连听见她说话就感觉烦吧。。。。 ​​​
滚滚滚滚滚上个学一天天的还要提防减人 减人能不能离我看远点啊一天天的看见你就不想去学校 ​​​
