#你配世间万般好#送你一个“万”字，点击领取！(^O^)/❤送“万”字 ​​​
#你配世间万般好#家人们，谁有“世”字，求赠送！！求“世”字 ​​​
还记得高中同学（Nancy）很喜欢他，那段时间也跟着听，很喜欢《三人游》
这破公司又要去汕头出差了，本来都订了机票，临时反悔开车去，12个小时啊疯了 ​​​
？
#琼瑶去世# 踏遍天涯 访遍夕阳 歌遍云和月 ​​​
周末找来看//@丝绸尾巴第二季:写《首尔之春》时我聊过本片刻意保持着极为狭窄的视角，以及呈现了权力游戏中、语言在逐层庸俗化。现在看这一切已经不适用当代了。李在明直播翻过墙头的画面，多少证明了政治必须回应和说服社交媒体。当代最通行的视角/语言就是社交媒体视角/语言
抽象//@蜜汁可乐炸椒:俺不中了//@爱踢答人:这是在干什么？//@猫丸酱w:啊？//@本没有迷路:好魔幻
#韩国总统发布紧急戒严令#《首尔之春2》？ ​​​
#韩国紧急戒严最新消息汇总#首尔之春2吗 ​​​
#开心消消乐#我的食堂口碑满分，实力毋庸置疑！参与食堂经营，赢超多奖励~ ​​​
沾沾喜气
#歌手直播#凡西亚、那英、香提雅、海来阿木、黄盖、杭盖、杨丞琳、二手玫瑰、汪苏泷 ​​​
#歌手直播#迄今为止，国内居然是海来阿木比较好 ​​​
#黄宣 投票#虽然听不懂他在唱什么，但感觉人很放松有趣，精神状态也很可 ​​​
#歌手直播#既然是歌手，就别搞煽情那一套了吧 ​​​
看完我亲爹是当朝首辅，还行！人设和时代背景很明显嘉靖后半段时间的，两龙不相见、徐阶、严嵩严世蕃、张居正、海瑞换了个名字而已 ​​​
一顿席，劳命伤财 ​​​
