这个图……敢发我不敢看 ​​​
我靠lyw都20了 我是从你13的视频开始看你的啊…… ​​​
有播客真好 可以听那些优秀的姐姐们聊天 现实生活中是接触不到的 ​​​
贺峻霖好牛 ​​​
什么时候能有自己的家 这样就可以随便往家里买书而不用担心出租屋放不下 以及顾虑搬家麻烦了 ​​​
成年后的我们担任了母亲丈夫的角色 ​​​
真的很难不爱你们 ​​​
七夕也不营业吗 @ 王子异 ​​​
新公司的洗手间酝酿不出上厕所的感觉 ​​​
分享视频 壹个火山灰玩家的微博视频 ​​​
回望这两年 好像只是累到了自己 没有提升自己 ​​​
浪漫过敏 刷到蒋峤西打车送樱桃去医院 第一反应是 我去 香港？打车？好贵！ ​​​
卧槽 不是 你们短剧现在发展到什么程度了 看得我大为震惊 ​​​
//@番与七:续命来了
让女明星演百合剧吧求求了 我太想看她们爆火了 ​​​
杜/华做什么都赚钱 就是做男团女团一直扑 ​​​
我说怎么今年和上班搭子都这么难熬 原来是我们都在戒咖啡奶茶 ​​​
东一个视频西一个视频 不是 李昀锐你怎么到处亲啊 ​​​
分享图片 ​​​
为什么总有说好多遍都记不住的同事啊 ​​​
我想遇见更好的自己 ​​​
哥今年也要29了
好
虽然没有人问 我想说一下我叫这个名字的原因。其实写在简介里了。火山灰的性质：坚硬、不溶于水火山灰的作用：可用作水泥的混合材料及混凝土的掺合料。我希望我是坚强的坚韧的坚硬的，希望我能留住大部分的自己，有自己的原则，不被世界改变太多。每个人都是小小的尘埃，最后也将归于尘埃。但每个 ​​​ ...展开
我喜欢17岁 21岁 25岁的自己 所以决心以后带着这部分的自己生活着 ​​​
只有变瘦和发财能让我快乐了 ​​​
天天在公司跟同事背对背拥抱因为他妈的话总说不清楚 ​​​
//@罐头辰://@颜文字君:‎|•'-'•)و✧//@视觉志://@写意_life:不能倒退，不能让前人的努力白费
我现在只想赶快回家躺着 ​​​
小敖 你就在这里上学吗 ​​​
你问我什么是养成系 ​​​
我盯👀 ​​​
我的双子座朋友 你怎么好看成这样了
看看ip ​​​
哈哈哈//@有盐电影:确实//@推拿熊:确实，一个人经过七年起码更新了一季吧！//@无边桃炎:准确！//@幻灭妖僧:哈哈哈哈哈哈哈有趣的表达//@史炎nacl://@全青岛最洋气的人:我将抄袭这个
笨蛋同事 ​​​
少自拍 多让孟姐拍//@时代少年团-张真源:中间三张是我们孟姐的作品@孟子义
笑得 ​​​
七周年快乐
接裁神 ​​​
喜欢下雨天 感觉内心很平静 ​​​
不想再看 原生家庭 亲密关系 怎么跟xx相处 这类帖子了 ​​​
转载了@时代少年团-刘耀文 的微博图片对我眼睛很好 ​​​
我好喜欢他写的 ​​​
今天又被傻逼同事气 都忘记原来是我们yx的生日了 ​​​
 ​​​
自己带饭你别说 还真省了点钱 您猜怎么着 被我蓝牙耳机知道了 用了三年 一声不吭就坏了 ​​​
好想回到无忧无虑快乐搞楼的时候 ​​​
一加班就觉得自己命好苦 ​​​
2025 少喝奶茶 少喝咖啡 多补钙 补铁 补维C ​​​
好久没坐绿皮夜车了 唯一的感触是装逼男真多 ​​​
昨天发了又删了 今天忍不住又想发一遍跟数学不好没有逻辑又否定型人格的人解释真不如自己干了 ​​​
转载了@时代少年团-贺峻霖 的微博图片 ​​​
开启想摔鼠标的一天 ​​​
大姨妈 你可以来一下吗 准时的话 就今天 ​​​
对工作太负责对我到底有什么好处 ​​​
像吃饭没摘口罩的那年//@番与七:宝宝 你今年几岁
马啊 你是啥时候变这样的
不行 还是要搞楼 不搞楼的人不会知道什么是真正的快乐！！！！ ​​​
说好的 要无数个生日都一起过哦//@番与七:你小子这个卡点//@时代少年团队长-马嘉祺:✌️✌️✌️✌️一起刷新更多同龄时长
有的人光是成为真诚的互相珍惜的朋友就已经很幸运了 不再奢求其他的了 ​​​
分享图片 ​​​
高以翔 5年了 ​​​
刷短视频猝不及防看到姚jy和丁芒果同框 我眼泪一秒滴出来 ​​​
很想对我同事说一声 讨厌你哟 ​​​
今天状态不佳 我需要准时下班然后回家躺着 ​​​
今天是亚轩官宣8周年哇 ​​​
最喜欢王子异的舞台是taptap和yessir ​​​
不行 出门整点垃圾食品 ​​​
我觉得你可以官宣下一个城市了 你觉得呢@ 相信音乐Bin-music @ 五月天 ​​​
好久没看蛋团了 中午吃饭翻出没有带回家的二专小卡 和同事讨论的5分钟感觉突然气血回归了 还得是追星才能活得像正常人啊 打工的时候都是行尸走肉 正如入坑的时候一样 一看到你们就元气！每天！这就是你们的存在对我的意义 ​​Let’s 搞楼！ ​​​
原来今天是刘狗生日 都忘记了 越来越好 慢慢成长为你想成为的大人吧 ​​​
给我夹了 ​​​
一代有一代的稀巴烂 但不是每次都会有人买账 ​​​
，，
都说7年时间人的细胞会完全更新一次 7年前今天 我大一开学报名 七年过去了 人生不知道的事 真多 ​​​
盛长柏：早也用功晚也用功我：早也打工 晚也打工 ​​​
好久没有吐槽工作了 哈哈 因为我已经麻木了🤗 ​​​
赏心悦目 甜甜睡去 ​​​
敖子逸 怎会帅至如此啊…… ​​​
我…靠…别太帅了好吧
什么时候出伏什么时候出伏什么时候出伏！ ​​​
人肉抢到时代少年团很简单的 只需三步第一步前方拥挤 第二步缺货登记第三步打开微博编辑到底是谁抢到了 ​​​
快50的我cp ​​​
转载了@时代少年团-张真源 的微博图片真好 ​​​
//@angel安淇儿:睡觉！//@CTVV废话频道:睡觉！//@特能搞://@黄濑濑濑濑:睡觉！//@甜份限定://@麦穗与猫:睡觉是重启开关
感觉到最近状态不对我已经很努力的自救了白天喝大枣姜片泡水 晚上睡前泡脚 去把头发剪薄了免得扎起来头皮疼 每天早上通勤的时候听快节奏的歌唤醒能量 ​​​
看了下那年今日 当陪考妈咪的日子好快乐 ​​​
想过 但是现在没法离职
好久没看了。祝我的双子座朋友生日快乐。 ​​​
我现在已经到了一刷到长大后的二代练习生就会哭的程度 ​​​
今天下午请假了半天 果然又出事情了 领导会不会觉得 怎么每次需要你的时候你都请假中 能干干 不干拉倒 ​​​
啊 不想上这个狗班 ​​​
23岁 已经拥有76岁般佝偻的背了 ​​​
感觉有点难开口离职啊……领导对我笑笑我就好了 我真是太容易哄了…… ​​​
哎 服了这帮笨b ​​​
接莫名其妙被裁 拿2n+1 ​​​
他爹的 积极向上不了一点 想变成一只蟑螂 心情好就飞出来吓人 心情不好就啃人 ​​​
哈哈 啥都我干 还不跑路等啥呢 @ 我自己 ​​​
上班上疯了已经 回家躺在床上突然弹起来 想我进家门打卡了没 无语 ​​​
