书法是在燕京拍的吧
Repost
这画质直接走进Gibli电影里了。
Harvard Education
玫瑰色的海胆🌹
冰上盖雪呀🧊
Chicago也有大雪❄️
😑
转
Repost
第一次见到这么长的月亮倒影。 还真是山月。
第一次看到浏阳河的源头。 很幽深静谧的样子。
翻了一下两年前的微博……这树还真是一下涨了两百岁不过确实很传奇啊！
Repost
好古老的书啊～
[金牌]
小心醉酒楼还有酒喝不🍷
