me
光坐着不动都能掉眼泪下来 ​​​
唉 ​​​
我喜欢我性格里略带尖锐的那部分 它能保护我柔软脆弱的那些 ​​​
和自己和解不了 毕竟心没法控制 我就这样一直看着自己被情绪淹没 一次 次次 ​​​
这个粘人 ​​​
最近的做饭带饭日记～ ​​​
早上上班时候的事情了现在想起来还是无语至极我离得近我按就按了没什么 我不信几个人里都没带电梯卡 妈的懒成啥样了 几个大哥大姐 想迟到自己在楼下别进电梯里啊 自己迟到去 ​​​
当然我既然能烦这样的人 我自己肯定是有解决问题的能力和思路的但我不愿意单方面给别人当妈 ​​​
一个人最大的问题就是没有解决问题的能力 最烦别人问我怎么办 遇到突发情况的事情 大家都会有情绪起伏 这很正常 但是干着急和埋怨并没有用 重要的是怎么解决 去解决 ​​​
➕🍐给我拍的上上个冬天的照片了现在看还是好喜欢≽^•༚• ྀི≼～ ​​​
