那些带香味的不会就是翻新后怕有味吧
#朴宝剑IU新剧#韩国能不能别整天热搜了，行了，这是中国 ​​​
#like JENNIE#又要好多稀奇古怪的人模仿她了，模仿不来，人家学历，家境，资产，你学人家头发是黑的 ​​​
//@窗外的蝉静年少的风景:嫁给他老公又不是嫁给他老公一家人，不看又如何，我觉得一辈子不去也无所谓，只要两人过得好家庭幸福就行呗。他老公5年不回家个人觉得不应该。
#Lisa创亚2路透#舞女没人管吗，咱们钱就那么好挣? ​​​
#微博共清理大S相关谣言内容2100余条#这个事叨叨不完了，都是戏子，都走，离开热搜吧 ​​​
#小红书上1.9元可买到枪版哪吒2#感觉在一直炒作，票房想收尾了这是 ​​​
#黄旭华逝世#这才是我们应该报的新闻，其他的不予理会吧，都是戏子，没意义，没对国家做出贡献 ​​​
#大S去世相关假消息辟谣#难道，最近这是压热搜?马斯克? ​​​
#赵露思长文谈抑郁症#别出来了行吗，有病治病好吗，别大过年的占用热搜，你没那么想让人知道 ​​​
#周杰伦ins晒与权志龙合照#不是华流最屌吗，这不还是凑一起了 ​​​
#李宇春央视蛇年春晚第三次联排#好奇怪，她，并没有人喜欢，c位还都给她，好奇怪 ​​​
#拜登称中国永远不会超过美国#你要不祸害我们，我们早第一了 ​​​
#田馥甄为西藏祈福#这是在骂人吗？捐点实际的吧 ​​​
#赵露思最新康复状态#还有说当明星不容易的，你脑子真的不好是吗，你一个月起早贪黑挣那点钱，各种外地漂着，没钱没房啥也没有，还心疼起明星了？ ​​​
#赵露思最新康复状态#腿不好就休息，别占用公共资源，那些心疼她的粉丝是不是有病，人家那么有钱还用你心疼，你真应该心疼那些底层需要发声的女性，不是她，你心疼人家，人家看不见，咱们整天当牛马一个月那点钱，她呢，还有说当明星不容易的，你脑子真的不好是吗 ​​​
#赵露思最新康复状态#: 你个牛马还敢生病？人家随便生病，你呢，敢吗呵呵 ​​​
#韩国旅游业受到重创#咱就是说谁在去韩国玩，哎 ​​​
#韩国乘客坠机前与家人最后对话曝光#不会又是献祭？不敢说 ​​​
#鞠婧祎新公司叫橘事顺利#好土 ​​​
#Rose新歌太好听了#韩国歌都一个调，腻了 ​​​
#冯绍峰 名媛培训班#这些女的是不是很有心机 ​​​
#infj是真的不会喜欢很吵的人吗#必须不喜欢 ​​​
#虞书欣好辣#整天学珍妮跟有病似的 ​​​
#彭高翁青雅分手#什么事在这压热搜 ​​​
#特朗普哈里斯展开总统竞选最后一搏#哈里斯如果上的话感觉会对中国不利很对 ​​​
#赵露思#为什么中国女生练胳膊和假男人一样，感觉男扮女装，妆容可爱，下半身健硕好难看，国外女生整体都好看，健康 ​​​
 ​​​
#韩国朝鲜#两个小家气的国家，尤其韩国，到底什么人在去 ​​​
#宋佳谈女性妊娠纹羞耻#她生过孩子？ ​​​
#Jennie新歌MV预告#韩国来来回回就那么些东西，时间久了看腻了 ​​​
#成龙已经70岁了#永远支持 ​​​
#覃海洋#有钱了，人呐，哎，没变的不多，保持初心的更少咯 ​​​
#8人被终身禁入稻城亚丁景区#把模样爆出来看看 ​​​
#Lisa新歌首秀#咱们是不是整天报韩国这几个明星有点不对啊，整天让年轻人被他们洗脑，都白幼瘦跟养不活了似的 ​​​
#徐艺洋真的不会打死黄子韬吗#为什么感觉女生心机很重很坏的面相 ​​​
这在宣传什么？宣传不要脸，不自爱，不知羞耻吗
#郑钦文发球站位#很牛逼了已经 ​​​
#青岛警方通报王某驾车逆行殴打他人案#能判五年在里面待着就行 ​​​
#花四万隆的鼻子姑娘不满太自然#精神小妹整天刚整容去了，真正的美是有文化有内涵，有教养修养，不是靠外在这些，真正有文化有底蕴的人气场气质都不一样，不用整容都美 ​​​
#逆行打人女司机系普通村民#这热搜压的啊 ​​​
#韩国导演是真有东西#滚吧，别整天弄些韩国人的东西了，滚！ ​​​
#雪梨#没文化真可怕，再美再有钱，可就是张口就土张口就精神小妹 ​​​
#韩网友竟称西游记作者是韩国人#完了完了，你看，哎 ​​​
#Angelababy带小海绵游玩迪士尼#滚出娱乐圈，又开始拿孩子捞钱了 滚 ​​​
#王阳明 我不比娘炮的动作#什么鬼 敢起这名字 ​​​
#陈梦失误#失误？但是拿下了啊，怎么滴 ​​​
#田径男子4x100米接力#今年咱们各个冷门赛道都很优秀。现在中国年轻人起来了。 ​​​
#孙颖莎亲签小卡已被炒至上万元#有病 ​​​
infj都这么认为
//@享受周末的幸福时光:早就说了，他们意图通过韩剧以及kpop来挪用我国的文化，让不明真相的外国人以为这些是他们的。我们还是对他们太软了，要是他们每次涉及文化挪用，我们就官方、民众、媒体多重出动，那他们还会这么嚣张吗？
#稀有小马宝莉卡被炒到16万1张#真脑子有病的在玩 ​​​
#Jennie方承认吸烟并道歉#好了，下一步开始了，很年轻的孩子们开始模仿她抽烟了 ​​​
#大学生喝农药离世前曾下跪道歉#傻孩子啊，哎 ​​​
在中国捞钱开始了
#Lisa回归单曲MV#全世界都在模仿韩流也是醉了，都没点脑子 ​​​
把我得开始看了
#极限挑战#这帮人永远没有第一季那帮有意思，换谁都没意思 ​​​
#碧梨ZICO合照#全世界韩化，好可怕 ​​​
#中国女游客被韩国酒店员工性侵#破韩国又什么好去的，都整天被韩流洗脑了 ​​​
韩国什么都是他们的，前段时间mv用了很多中国元素，还偷，还说你们的，好意思的吗
限韩令
#疑似举报张玉安的po主深夜发文#限韩令限韩令 ​​​
#张玉安道歉#限韩令走起啊，干什么去了 ​​​
#韩国歌手时隔9年将在华开唱#没点出息，来捞钱了还当舔狗，韩国那个穷酸国家谁在认为是好的就奇怪了 ​​​
#王心凌 我是中华民族的一份子#呵呵，去外网也发一下 ​​​
好般配
#娄艺潇自荐歌手#在家歇歇吧，别丢人 ​​​
#韩红请战歌手#汪苏泷，杨丞琳，二手，都走吧真心地，都唱了些啥 ​​​
太美了
#郑妮可初舞台第一#被韩流洗脑 ​​​
#反对调休的声音不能装作听不到#感觉是间谍故意搞中国年轻人 ​​​
#Angelababy说小海绵只怕她#怎么屏蔽这个女的？最近又犯病了他们公司？又各种秀？ ​​​
#女子称买5块雪花酥681元退款被拒#再不管管这些天价食品，以后是个麻烦 ​​​
哈哈哈，ab就没有胸一点都没有，人家叶姑娘得顶他十个，哈哈哈哈，小明哥有点极端啊
#IU唱告五人的唯一#可是真会捞钱 ​​​
#台湾强震前网上现天空异象照片#上帝来的日子近了 ​​​
#直播福宝回国#至于吗？ ​​​
#女子睡觉被大风吹下11楼身亡#上帝来的日子近了 ​​​
#涉黄AI换脸案有人用暗恋女生换脸#现在自拍少发，不光是这类，骗亲戚朋友钱都有可能 ​​​
#Angelababy为女性健康发声#中国法律已经容忍到这样的人和事了，以后越来越多年轻人也这样就麻烦了 ​​​
#Angelababy为女性健康发声#滚出中国 ​​​
#大S发声#这怎么势头还往大s这边倒了呢，谁也不站 ，明星的事跟老百姓无关，他们一大家爱干啥干啥，有病似的整天，谁想知道你们怎么了婚姻怎么了，该我们什么事 ，也不给我钱，浪费资源在这 ​​​
#邯郸初中生被害案嫌犯为有预谋作案#枪毙立即 ​​​
别刷他的东西就行了，他们粉丝很能洗，咱们别点他流量就行
#Angelababy风尚志三月刊封面#找关系了？呵呵，咱们国内就这样了？原谅一个卖淫的女人吗 ​​​
#IU演唱会#没东西报了吗？天天她热搜，有病吧 ​​​
#Lisa跟唱霉霉的歌#咱们整天没东西报了吗，感觉现在在韩国小破国家一样 ​​​
#家长称自家孩子不上早课睡到自然醒#国内教学制度真得改改了 ​​​
#NEWJEANS官宣北京签售#滚出中国 ​​​
#张元英头发被拍卖#脑子有病啊 ​​​
#IU汤唯合作MV#捞钱有个度 ​​​
#IU玄学#滚出中国热搜，有病吧天天韩流 ​​​
