太有感触了。能力强的时候完全不会妒忌他人，只会向他人学习
好微妙的觉察！想了想，确有作者说的不是在否定别人的感谢方式，就是在贬低自己的价值。突然觉得，微笑地点头是我目前喜欢的回应方式。加上雪的“嗯”也很好。同时，“My pleasure.”感觉也较为舒服
有用样的共生，转走警醒自己
父母才是孩子的社会
活着，做你自己，去成长
金钱是特别现实的能量，你活在现实中，金钱就会增加，活在躁狂中，金钱就会减少
看事实，观察思考事物之间的因果关系，就可以拥有智慧
只有自体的虚弱，无力，都被看见，允许。而在那个曾经充斥着脆弱感的世界里，从无比羞耻到不再羞耻，自体才具备了重建的基本能量。
当一个人真正懂得爱自己，就会瘦下来。 有同感。我心情好时，体重会变轻
逻辑心理学的相关核心理念和词汇定义
重感情的玺子，听哭了你我……
自己才是自我人生的主角，别光看戏，忘了演
各自过好自己的人生，同时无限支持与宠爱。给足了孩子人生底气，同时给予榜样的力量
当你安静了下来，什么都没有做，也没有任何不适的情况下，想做的事情，便是你自己想做的事，去做自己想做的事是能够滋养真自我，让自我变得结实的。
提升智力并不难，遇到事情不断看事实，对别人严守边界，对自己无畏诚实，谁都可以成长为普通人眼里的“天才”。
很想找一位有水准的心理咨询师，似乎找不到。要不是收费太高，要不就是被拒绝。心里好多东西很乱，很乱。有个死结，感觉解不开。那件事情，用人类的知识是无法解释的，但它就是发生了，而且还在严重影响着我。。无法解释，这一生可能都不会好起来。所以时常有巨大的恐惧向我袭来，我再也不相信自己能做 ​​​ ...展开
今天有一节课被取消了，学生的家长给出的理由是刚从外地回来比较累，孩子开学上一年级，会有很多课业和活动，而且之前一周两次的课内容比较多，消化起来有难度。所以想改成一周一次。我回复：好的。内心有一丝挫败划过，渐渐的，越来越强。最后，我感到：i am a loser. 开始了自我攻击。。。。其实， ​​​ ...展开
只要你诚实审视自己 —— 是越修越觉得自己牛逼过人，还是越修越看到自己的自恋剧情，越觉得自己啥也不是，只是在破自恋的路上而已。  这个很容易判断。   没有人能误导一个对自己诚实的人。
长期体验不到愉悦感和价值感的人，需要去看一看自己内心深处的恐惧，需要发自内心地意识到，自己的存在本身大于那些恐惧，且很多恐惧只是过去残留的阴影，过去的阴影吞噬不了当下的你。
积极向上、享受生活不是靠逼迫自己得来的，是人在健康状态下自然而然的追求。
真正的登天梯，是用一块块“够得着”的砖，稳稳砌上去的  日拱一卒，功不唐捐，想一步登天，往往摔得更惨
所以我经常说，诚实的父母，就是最好的父母。  我生气了，我就承认自己生气了（不虚假），同时我知道，我的情绪是我的事儿，不是孩子的责任（有边界）。  这就是满分父母。
如果你对孩子生气，就承认自己生气，千万不要：妈妈爱你，but，只是不喜欢你的这个行为。。。  这种虚假情感带来的伤害，比你直接打骂孩子还可怕。直接打骂孩子，至少孩子能感知到真实的父母。虚假会让孩子活在无边无际的虚幻中，无法区分现实和想象。
破除恐惧，是下场干，而不是先学一堆知识  开始干的时候，可以很懒、很粗糙、很不完美。甚至你做出来的第一版，就是一坨狗屎——没关系，先做，做完再改。  你会发现，只要硬着头皮混进去一段时间，不知不觉就开始进步了。
有觉察的看到了自己——大部分人在二三十岁上就死去了，因为过了这个年龄，他们只是自己的影子，此后的余生则是在模仿自己中度过。日复一日，更机械，更装腔作势地重复他们在有生之年的所作所为，所思所想，所爱所恨。
妈妈无条件地爱你，你无论怎样妈妈都爱你，妈妈只是不喜欢你这个行为——敲骨吸髓式的控制让人毛骨悚然
真正的努力不累，干什么都无法全心投入是最累的。太对了。这几年，我被金钱焦虑捆绑了，做什么都有压力，不是事本身的累，而是带着焦虑的心，最后效率低，效果差
急脾气是缺乏现实感的体现。脑子一动马上要实现。是全能自恋的残留。现实感强的人知道事情的完成需要时间。愿意等待。心理成长就是从幻想走进现实的过程。
转啦
好喜欢这个声音
自卑是收，自信是放
说得咋这么多，难怪这三年我过得特别开心
//@汪爸刀刀:多和自己比，少和别人比，人生更松弛更舒展。芒格说，“每天起床的时候，争取变得比你从前更聪明一点。认真地、出色地完成你的任务。慢慢地，你会有所进步，但这种进步不一定很快。但你这样能够为快速进步打好基础。每天慢慢向前挪一点，到最后，大多数人得到了他们应得的东西。”
朝气锐，昼气惰，暮气归
加入
高考只是人生的一个分号，不完美也没关系  人生的每一段经历又何尝不是呢？别难为自己，尽力而为就好
这是谁的需求——这个判断可以用在一切和孩子相处的事务上。在安全和不损害他人利益的前提下，把孩子的事交给孩子，让他自己去感觉、判断、决定，这就是教育中的“自由”。
5小时原则
顺手先去做，是用最小代价跑通第一步。  你要习惯把想法往最小可行单元去拆  顺手就做的人，不是没计划，是不被计划绑架。
我也深有体会，前段时间自己守神做的比较多，注意力基本在自己这，孩子整天嘻嘻哈哈，情绪稳定（之前女儿天天大吵大嚷，我度日如年）。这段时间，焦虑自己，不由得越界孩子，孩子又开始狂躁了。
转来试一试，有很多条款即使不减肥也是很值得为健康做一做的
自己才是自己的铠甲
你做什么都没问题，但内耗就有问题
活动前中后都拉伸，每次半小时
把自己喜欢的事变成自己的兴趣，不断研究，挖到很深，你就变成专家了
蔡澜，大智慧
认真生活才是奢侈品
珍惜你抱怨的当下  其实当下无论好与不好 都是独一无二的 不会再来的 珍惜吧 带着觉知 会发现每一个当下的美
 踏踏实实地自我觉知 像学习自然学科那样 严谨地学习事实逻辑 好好养护自己的身体 走出痛苦不是无解的命题  
先把自己有的巩固，扩大，加强，同时慢慢找。这个过程你越来越强，会吸引到同频的人一起做喜欢的事
付费之后，我的潜意识已经准备好接受打破旧认知，接受新内容
如果你珍惜一个关系，一定要尊重边界，这是对关系最好的保护。
赶紧为女儿存起来，哈哈
管教是无视孩子主体性的视角：孩子天然不懂得尊重环境，所以需要大人的管教约束。  而告知事实，是尊重孩子的主体性：孩子的主体会去吸收事实信息，做出自己的选择。
忒合格的父母了！
当一个人开始认真去看事实，智力会迅速提升。继续努力，很快你就能变成周围人眼里特有智慧的人（其实就是正常人）。
每个人都可以后天训练自己打破自恋的壳，走出剧情，以事实为师。 每个人都可以后天训练自己打破思维惰性，思考事实之间的因果关系，获得智慧。
减肥先养胃，养胃不能撑也不能杂
善知识，赶紧存起来
怕自己自恋破碎，搭上的却是孩子本该无限精彩的一生。见识了人间“最伟大”的爱
好美。有机会一定要去
人生是用来体验的，不是用来演绎完美的，请放下焦虑，接受每一个阶段的自己。
活在事实中，没有怨恨没有不甘，只有源源不断的内驱力——李雪 ​​​
回复@京京宝贝love:雪的核心理论就是爱与自由。想给出爱就直接给，不带道德绑架；不想给就不给，不攻击自己：我不是个好妈妈。自由亦是，看清楚事情涉及的当事人，若是孩子，就闭上嘴即可。闭嘴这个动作，真就是选择问题，不是能力问题。若当事人是多个，那就协商即可。有时候会越界，觉察到就好，不难 ...展开
我的任何情绪，是我的事儿，与你无关！当我们能做到任何时候，都能对自己的情绪负责时，就成为了一个大写的人了！这里最重要的是，能时刻带着觉察 ​​​
厉害了。把对方身上的闪光点学过来我就祛魅了
心的运作，辗转于迷失与觉知之间。多数人常驻足于迷失之中，眼耳鼻舌身意轮流来：迷失去看，迷失去听，迷失去想，迷失去感知……  那真正的修行是什么呢？大概是觉知吧，带着觉知去经历人间种种//@李雪爱与自由:课代表//@看见即存在:中心思想：觉得自己非同一般，境界了得，和凡人拉开距离了就是 ...展开
希望别人如我所愿，是一种自我躺平，也是一种自我矮化。所以宇宙遂了你的愿，成为了真正的乞丐
王菲，看到她就觉得清澈如水。有种复归于婴儿的感觉
这样的眼神，才是爱与自由养大的孩子。充满光，灵气，和自我意志。
镜头前后是一致的，这也是我欣赏一位艺人的标准
第一次这么清晰的看到老鹰，虽然是通过别人的相机
b站
好想念雪景 厚厚的那种 每一步 都能听到咯吱咯吱的声音 雪 让人安静 让人安定
我希望你感受到真正的自由：我做主自己的事情，不用拿成绩讨好任何人，不需要为老师和父母的喜好而改变自己
//@lilypine2016:讲事实，孩子不会受伤，也不会被洗脑——此刻我很生气，但这是我的事儿，与你无关！这是多大的修为才能有的觉知和内观呀
每次都觉得你的话那么有哲理  那些真正活过的人，才有勇气用饱满的灵魂凝望干枯的肉身，才能在萦绕不去的疾病，和日益迫近的死亡面前，依然觉得生命壮阔，人间值得。
中国山水画的最大魅力就是留白人生，也一样。也需要留白，不是填满 ​​​
什么是成功的人生？用你喜欢的方式度过一生。 ​​​
智慧只能产生于“角色之外” — 剧情里没有爱，也没有智慧。闭嘴，可以给予孩子“空性”的空间自由成长
当一个人做不好自己的事情，就会热衷于去管别人的事情。 真相啊
自恋会屏蔽掉伤自恋的信息，那就擦亮眼睛，看事实！看事实！看事实！
培养智者，退后闭嘴，给予思考空间
孩子的现实感，来自父母的真实感
//@李雪爱与自由:孩子是不是天才，当下就可以知道：只需要照镜子看自己 — 如果自己满脑子都是“诱导XX、培养XX”，孩子肯定平庸，没有内驱力，逻辑破碎。
真正的“躺平”是根据自己的身体状态，只做能力范围内的事，而不是认定自己只能躺着，啥也干不了。当我们如此定义自己时，其实就给身体发出了“你啥也干不了”的暗示，身体常常会无意识的配合，呈现出真正的瘫软状态。
喜欢活出这种自信美好样子的人
不愧是院士，学术能力强且有真正的智慧！兴趣是自己有兴趣，自然发展，而非人为拔苗助长，也就是现在的“鸡”，“卷”。
学起来
这种幼儿园有前途，不愁生源
 我想对自己说，如果你觉得别人身上有什么特质让你欣赏崇拜，那么请在你自己身上发展它。  没有任何品质是别人专属的，任何品质都是全人类共属的，你都可以在自己身上发展出来。  当你专注的发展自己，你会发现你比身边的大多数人都有智慧有力量的多。  对他人祛魅，来自你的意淫程度 
不努力试一试怎么知道没用呢
有道理
真实，不做作，没架子。真好
对于过去的完美解读，总结但不沉溺过去
认真的时候工作 糊涂的时候读书，独处的时候思考，难过的时候睡觉
今天周五，因为古琴课调整到下午，所以此刻我意外地出现在了厦大自习室。在做事之前，我试着将注意力回收到自己身上，去感受那种“既不专注于任何事，又能毫不费力地集中注意力”的感受。感觉到有一些tune out的感受。内在有个声音：你怎么走神了？感觉到了内在的用力与不接纳。深呼吸。。。此刻， ​​​ ...展开
闭嘴，不仅是保护孩子，也是在恢复自己的心智。当你闭上嘴，真实的世界会在你面前徐徐展开。
这是为什么我总强调闭嘴，因为在你没有恢复细腻的感知力之前，说出来的话八成是在坍缩孩子的心智体验，把七彩斑斓的世界，变成一个个黑白色标签。  如果你真的看见了孩子，其实你说什么都很好。
智慧眼神长这样
