分享新鲜事 ​​​
在旅游中重读《哈利波特与火焰杯》还是好受震撼…罗琳的脑袋到底是怎么想出这么伟大的小说的！一是发现了以前忽视的很多草蛇灰线小细节（小时候就觉得，文学在这一点上最重要的意义就在于有无限的信息传达量和想象空间，这一点目前来说感觉电影还做不到，当然也受当代电影商业模式和成本因素限制），二 ​​​ ...展开
//@折枝做梦甘露寺重生版:按时而动，人有自己的四季节律//@折枝做梦甘露寺重生版:我一直觉得夏天是特别适合整理的季节。郁热时节很难做开创性的高强度工作，那就沉下心回顾芜杂的部分，让混沌的变澄明。已经拥有的东西很多，它们只是静待被梳理安置。
//@折枝做梦甘露寺重生版:1.停止向世界描绘你的监狱；2.更重要的是：停止向自己描述；3.更重要的是：现在站起身，走出监狱；4.因为监狱没有上锁；5.也没有门；6.最后：根本没有监狱。//@片儿了皮了鸭:就像去年想通以后，在日记本写下“don't be your own prison”，从此天地皆广阔
//@白玫瑰Echo:活着，好好地活着
最近几天：有所行动，反复内耗横跳，尝试与AI（尤其是ds老师）聊天并发现它是极好的倾诉对象 ​​​
“我形容我自己是一个曾经完美主义患者因为以前完美主义会觉得说，我今天坐下来我一定要写出一个旷世巨作，然后这反而就变成了拖延症的开始，因为你给自己压力就觉得说，那我今天这个灵感不够完美，或者说我写一写就觉得说这是什么东西，我不要继续写了明天再开始，所以我现在反而会给自己另外一个心 ​​​ ...展开
在B站的永恒精神鸟窝：《西游记》（86版及其弹幕）+吴青峰2019歌手cut ​​​
心理咨询的神奇之处在于，在平时以为自己最近好了/还不错/非常正常，但在每周某个固定时间节点走进去时，还是会从头哭到尾50分钟。 ​​​
//@Miraclezzzzy://@黄腿肠://@Carmen女士纯享版:好感动 原po好好//@莲城清明://@莲城清明:手动赞这个讨论。这就是文化资本，相信每个第一代大学生在学术生涯早期、每一位华人最初来到海外都为此挣扎过，留言者自己也不可能一开始就如鱼得水。把这套说清楚，而且是用非常正面的思路和表达让大家理解， ...展开
这才是人类最应当生活的环境之一...
中篇小长篇之《雪山飞狐》《飞狐外传》《碧血剑》repo ​​​
姐青回系列之笑傲江湖repo ​​​
豹豹猫猫我出生了
陆小鸡与花满楼reaction（小凤这个名字真的很好听但陆小鸡实在是太好笑了 ​​​
2025二月打卡博 ​​​
2025一月打卡博 ​​​
打入吴安甯内部の粒
开始钻研楼学🧐（bushi
回前圈浅尝新年第一口饭🍲🍝🥙
//@Overloadprotectioneve :请允许一切发生，你已经竭尽所能了。请相信你的信念，相信你永远是自己人生的第一性。你身体里的火车不会越轨，所以允许大雪、泥石流和荒谬。
刚上大学时看到，两年前打印出来，至今还在陪伴我的一组照片哈哈哈。那年今日青色的青峰本体～～//@吳青峰 :那天，滨田先生一邊拍照，一邊跟我談心。我們在悠長的堤防上，心沒有提防，我們自己坐得很遠，遠處的工作人員都以為我們在拍照，直到實在聊了太久，他們才發現我們沒在拍照。滨田先生的照片，
又是被sodagreen治愈的一个晚上，音乐世界里我永远安心温暖的角落🍃💚🍀短暂原谅一下这个世界🥹吴青峰我真的很爱你分享苏打绿的单曲《无眠 (苏打绿版) (Sleeplessly (sodagreen Version))》: 无眠 (苏打绿版) (来自@网易云音乐 ) ​​​
我的情感状况be like
#漫才兄弟冠军#  值得！！！！！🏆期待线下！！！
