嗯嗯咱们拉钩！@sleephappy- @我遁地了
等慢慢消磨掉吧 我就会走了 ​​​
好想买啊啊啊啊啊啊啊啊 ​​​
我讨厌异地恋 但我喜欢你 我总是在想 你累累的时候我要是在你身边就好了 我可以抱抱你 可以亲亲你 可以逗你开心 可以随心所欲得和你撒娇 可是我们只能隔着手机屏幕感受对方的情绪 我讨厌见不到面的争吵 我讨厌一个人在黑黑的床上流眼泪  我讨厌情绪崩溃的时候只能在舍友看不见的地方偷偷抹眼泪 我讨厌 ​​​ ...展开
其实我内心想的是你能不能只跟我一个人玩啊 ​​​
嗯……
嘻嘻
此处艾特我的男朋友
