#青岛大学回应一宿管人员离世#这个魔幻的b世界 ​​​
#学生称去世宿管大爷平时身体很好#青岛大学你是要“以身入局”教会学生们在这个世道“好人难活”吗？为什么温和对待世界，仁爱的温暖他人的人要被你们这样对待？ ​​​
#青岛大学学生称有同学宿舍中暑送医#真的气死了 ​​​
#青岛大学学生称有同学宿舍中暑送医#虽然空调不能马上装好，但是这么热的天气一点人文关怀都没有吗？住校职工和学生在这么热的天气下没有发冰块，没有绿豆汤，学校根本就不作为！！！ ​​​
#爷爷一路走好#虽然空调不能马上装好，但是这么热的天气一点人文关怀都没有吗？住校职工和学生在这么热的天气下没有发冰块，没有绿豆汤，学校根本就不作为！！！ ​​​
#学生称去世宿管大爷平时身体很好#虽然空调不能马上装好，但是这么热的天气一点人文关怀都没有吗？住校职工和学生在这么热的天气下没有发冰块，没有绿豆汤，学校根本就不作为！！！#青岛大学##青岛大学宿管中暑去世# ​​​
#9岁男孩瓶内放炮被扎30多块玻璃渣#小孩哥​看到我你就快跑​你要是敢在我身后放炮​我好好和你说话你不听​那你就是生死难料​我精神衰弱真是难睡好觉​你偷袭放炮那是要吓我一跳​我好言好语你要是全都忘掉​我相信你下一秒要被我发疯吓得马上尿尿 ​​​
我今晚走回家的路上还十分开心一个一个算着我想要给哪些对我很好分朋友准备礼物心想着因为他们以及他们给我的羁绊我也要好好活着好好努力一点啊啊啊啊啊啊啊啊啊我忽略了我忽略了我忽略了哭了半个小时已经缺氧了 ​​​
我发现中国式家长真的好让人窒息今天打完针刚好医院在好朋友家附近好朋友也放假了就去他家里吃饭回到家兴高采烈的和妈妈分享妈妈只突然问一句“你在他家吃饭的时候有没有端碗？”我说我扶了碗没端，怎么了？她就开始说没教养我就说，你们注重，但是我们自己其实不会在吃饭的时候特别去观察一 ​​​ ...展开
小狗你是小狗你的双眼清澈纯真所以你不必懂他们在说什么你只管大口吃你的肉骨头​​小狗​你是小狗毛发​柔柔软软蓬蓬松松的小狗​你看你这么可爱你只管闭上双眼打大大的呼噜小狗你是小狗​生了气不用躲在小窝里偷偷哭泣​你只管大胆去咬欺负你的人​谁让你生气​谁就是坏人​你不要 ​​​ ...展开
