//@白衣咸饭:高知群体并不等于社会经验丰富
@多邻国_Duolingo 怎么回事啊，昨晚就这样了
//@破破的桥:Repost
//@邓飞:龙哥来了我可以休息几天了。//@罗永浩的十字路口:真难过，x，我老了，有些画面看不得了
//@王海:刘永好？//@出版人周筠:还有：刘永好和上海孩子的午餐生意 //@凌晨刚醒:已夹！ 查看图片
//@纪实微言:执法犯法，违法执法，是对法律的亵渎，是对公众的侮辱，是对社会的强暴，应依法处理！
//@阑夕:脾气真好
//@青游记:我父母稍微多点，不到二百块。//@上帝爱子://@钺人戈:老胡肯定不敢晒//@新废柴联盟://@vww芒果干甜栗子://@卍洳涞卍://@魔幻艺术大观:哈哈，好活动，资瓷！！//@石扉客2018:赞，手动支持！胡锡进老师也晒一晒吧！
//@孟常:最后一句//@Kim_berly-:中餐就是很奢侈的，自己试图做过一天三顿饭的都知道，要是不依赖外面买点半成品，又没有洗碗机，还想吃精切细配（切丝切块真的累死了），厨房能消耗掉一个劳动力的8小时。以前吃得上家里一天三顿，那是有个女人不要事业了天天被拴在厨房里
//@蘸盐:金融圈也玩4+4？
//@蘸盐:看了下，跟目标有两亿元的缺口啊 查看图片
//@庄时利和:这几年达利雷生这样的第四代抗失眠药药研发很火热，和以往苯二氮卓类（如阿普唑仑）/非苯二氮卓类（佐匹克隆）都是针对GABA受体不同，这一代抗失眠药主要针对食欲素受体，并不增强GABA抑制性神经递质作用，所以依赖性和耐受性风险较低，对于失眠症患者来说是个新的选择。  ...展开
//@复旦大学冯玮:那些人为啥豪言壮语？提干、入党、保送上大学，这种人哪样不占先？ 尽管我是公认的“秀才”，但能轮上我？ 不过，风水轮流转。“金77，银78”，我成了77级大学生。他们则成了“工农兵大学生”。所以，有实力才是硬道理！
//@俞飞:#搂搂# 没人情味//@江上的路:#反腐倡廉# 太腐败了！
不同意刘博士的观点，主要因为她跑马拉松与法官遇到的那些人所面临的困境是完全不同的。如果她因为照顾病重的父母而哭诉没有人体谅她，大家会比较同情。而跑马拉松，大家同情不起来。不知道博士能否体会一下这里的差别。//@刘耘博士:一个是中国的护士，业余参加全马比赛获得好成绩，希望领导支持调休； ...展开
//@蘸盐:《二重被爆》 查看图片 //@新西兰冷百科孙小社:山口彊。三菱重工业的一个工程师。他到广岛出差时赶上原子弹爆炸，距离爆心仅3公里。他上半身一侧被烧伤，头发被烧光，左耳聋了，然后坐火车回长崎，又赶上第二颗原子弹爆炸。但是他也算命大，2003年才死于胃癌，活 ...展开
//@劳东燕2004:微博的生态，确实是肉眼可见地变得日益糟糕。谈任何话题都有人上来围攻。常见的话术无外乎三种：一是动辄说人家造谣，其实自己才真正以造谣为业；二是经常嘲笑别人智力低下，殊不知弱智的分明是自己；三是上来就无来由地骂人，以显示自己没什么家教。之前我还试图理性地对话，后来发现这 ...展开
