双鱼座简直是我的克星。 ​​​
好讨厌我的所有同事。他们自私，自利，爱占小便宜，话多，手懒。 ​​​
什么个沙币。 ​​​
最恶心的就是，有一天突然发现身边的人通过你玩起了同一个游戏，甚至比自己还滋滋有味 ​​​
不能再吃了。 ​​​
这下老实了，职场真什么真心朋友 ​​​
只是觉得无语 ​​​
46的卡卡们 全靠我强制爱 什么时候能自己来找我啊 ​​​
在这个所有人都想占便宜的时代 ​​​
我的手机怎么感觉要爆炸呢 在苏州都感觉要爆炸不敢想象我的手机在重庆是不是要点爆这个世界 ​​​
抽离现实世界 ​​​
昨天张杰演唱会，今天上班。感觉一下天堂一下地狱。。。 ​​​
别他妈和我玩了 都滚呢 ​​​
我很庆幸在我做任何决定的时候我爸爸都能够支持我，不会因为我染各种颜色的头发而骂我，不会因为我无数次想辞职而劝说我让我一定留在原单位，在我想做美甲的时候会说 要多少我来付。我也很庆幸我妈妈虽然嘴上说着别染但从来没有强制让我做任何我不想做的事情。虽然有很多小摩擦但我依旧是自由的。 ​​​
每次和另外两个朋友吃饭唱歌 我都被夹在中间 谁懂这种幸福感 ​​​
一起上班了两年的同事来一句 你是谁我不认识你了 ​​​
快点吃行不行  ​​​
蒽 我帮你收拾烂摊子 你直接甩手走了 把烂摊子丢给我 棒棒的呢 ​​​
从突然觉得好多事情第一反应都是算了的时候 好像真的长大了 ​​​
蒽 过好自己的日子比什么都重要 ​​​
把好朋友带着一起磕46了 她比我还疯 ​​​
点了蜜雪冰城后的的十分钟 想🚬 我朋友：你一定要在它马上到了的时候去吗我：拜拜我走了 ​​​
我允许一切好的坏的发生在我身上 在我努力挽留之后 ​​​
说白了 我就是喜欢别人夸我然后顺着我 ​​​
好搞笑 在上厕所 同事来一句 拉完记得回来啊 ​​​
你们是真火了 ​​​
耶 ​​​
我真是受够了 ​​​
6 真挺牛的 ​​​
下头 没意思 ​​​
是不是知道我明天休息 所以有种不顾我死活的忙啊 ​​​
我真的烦，和新认识的朋友聊天，有一种在白墙上刷水的感觉。好像所有分享欲都被消耗了，真开始自我怀疑了。 ​​​
吊医院冷的老子直发抖 ​​​
