“权力上位者是如何运用其话语权，将结构性不公转化为对个体能力和道德水准的质疑。”
//@Apufferfishcanalwayscope:这不就是很多人最爱的给弱者兜底的社会🤗//@咬人疼v:我只知道杨女士是甘肃省高考理科617分被武大经济学学专业以第一名录取，而肖明瑫是中考449分因湿疹加分7分转学籍进武外（武外国际部最低分数线456，武外本部最低分数线465），因高中偷窥女厕所特获保送资格进武大// ...展开
天生掠夺者和才华并不矛盾
还好没考上武大 什么玩意都能当高校老师
//@燃烧的雾港水手:受害者努力了两年，才让罪犯被判四年，可见取证和维权之艰难。如果没有那个人录音录下证据，大概率会败诉，然后又被舆论扭转为一场诬告。//@看看新闻Knews:报道中“崔丽丽”全名露出是其本人的个人意愿：“实名露出更真实，更有力量！想告诉和我有同等遭遇的姐妹，被侵犯不是我们的 ...展开
这位女生你真的很勇敢！
改写法律要靠群众的力量
救救这个孩子吧
太可怜了
新的一年需要更多的勇气💗
//@朋克小狗认真备考版:何同学和不合时宜的主播都是同一种人，漠视条件不如他们的人提供的基础劳动，认为谁都有义务为其提供情绪价值，很卑劣。所以说不要害怕跟人谈钱，不要为别人免费劳动//@岁静b:轉發微博
想要这份幸运🌟
为什么维持公正的代价是这么的大？为什么一波波的热点过去都不能让这个事件得到关注？
//@燃烧的雾港水手:“从高二开始，她被物理老师郑某某诱骗，并被强迫发生关系。她一直以来内心非常矛盾，直到看到近期百色老师侵犯学生的事件，她才忍不住说出来。”所以发声是有意义的，不要用沉默让渡这片土地给那些只会践踏它的人。
姐姐一定要平安康复！
只有给泰国施压
恐惧溢于言表
支持取消结婚冷静期
//@燃烧的雾港水手:被称作才子的高中教师陈吉永，性骚扰女学生近十年，至今没有受到任何惩罚。
怎么不去欺负180男的
终于有公众人物为此发声了！//@邵艺辉://@萝贝贝:长沙的朋友们留意一下这个叫“长沙育天物业管理”的公司，保安队长反复欺压同事还能因为“有关系”留岗，发生保安队长性侵66岁女性的案件后公司就解雇受害者家属，诬告家属职务侵占。
//@玲玲Peter和四只猫://@我是落生:这个男友曾有3次暴力前科，二审在审理中，希望大家转一下，给点热度吧
//@燃烧的雾港水手:450万难道不更值得爆吗？怎么不见去人神共愤讨伐捞男？
