销售要有渣男心态，渣男从来不会把心思、目标都放在一个女人上，都是广撒网，销售也要这样，多去获客，不把希望都放在一个客户身上。（因为人是最不确定的，今天她这样想，明天她接触到一个新信息可能就换了一个新想法。）做销售毅力韧性比智商情商还重要。 ​​​
创业、做副业过程中，我最欣赏的一类人是“逆商”强大的人。因为做事业过程中一定会有很多黯淡的时光，比如：▪️刚开始在朋友圈私域带货，身边人都不支持、不看好甚至背后蛐蛐自己；▪️刚开始写朋友圈文案没什么点赞量、刚开始做公域内容没什么数据时；内容火了有黑粉时；▪️管理团队发现团队人 ​​​ ...展开
销售，是唯一可以让普通人改变命运、赚到钱的职业。1、从市场需求来说，商业的本质就是卖货，在整个商业链路中，最关键的其实就是获客-销售-管理，只要你的销售能力强，你去哪个公司老板都很喜欢，你就不会找不到工作。2、很多白手起家的人，第一桶金都来自于销售。我自己也是，我是普通二本毕业， ​​​ ...展开
大多数活泼可爱、热情洋溢的E人都没觉得生活有多苦。我是一个标准的E人，从小被父母宠大，父母也都是欲望比较低的人，他们从小给我灌输的观念是“开心是最重要的事”，我们家没有强烈的望子成龙、望女成凤的想法，所以我真的就是活泼可爱、热情洋溢、一个超级E的人。我小时候是被放养长大的，从小就 ​​​ ...展开
我真的很享受独处，安静的学习，安静的思考，这种感觉，真的很美好。 ​​​
发现现在我接触的事业心比较强、赚钱比较努力的女性分为几类：1、原生家庭不开心、父母重男轻女、自己从小被忽视、或者过早经历过重大挫折（比如亲人去世），很多性格里都有自卑敏感的成分。（最近接触的好几个00，02年女性就是这样，都是目标清晰、执行力强，一点不爱钱羞耻、销售羞耻，而很多这个 ​​​ ...展开
强者心态核心是：我永远有解决问题的能力，面对任何人任何事都不要把自己放在下位，把自己当成受害者只能被动接受事情的发生，而是要有一种主动的心态，问题迎面而来时告诉自己，这是我主动选择的人生剧本，我知道自己缺乏什么历练，我不会逃避 ，我可以解决，这一次解决不了，也可以积攒经 ​​​ ...展开
看《奇葩说》，被这群人的口才、逻辑能力、表达能力折服！！！这群人脑子转得是真快啊，我真是羡慕！  ​​​
女性朋友们，不建议大家直接重投资创业，但建议大家做个副业。一方面，大部分职场女性都会面临30岁危机、35岁危机，副业的收入可以帮你抵御未来的不确定性，另一方面，副业锻炼出来的底层能力（比如表达力、销售力、领导力）也可以反哺你的主业。多一份未雨绸缪，多一个收入管道，当生活的风雨来临时 ​​​ ...展开
我这个人呢，思维方式是偏理性务实的，我喜欢逻辑性强的东西，不喜欢那些垃圾鸡汤。我也喜欢直言不讳的人，比如，如果哪一点我做得不对，我喜欢、感恩直接指出我不足、然后给我解决方案的人，不喜欢拐弯抹角、或者只会照顾我情绪而不给我解决方案的人。有没有跟我一样性格、偏好的姐妹们呀，举个手 ​​​ ...展开
人如果只是想活着，比如有吃有喝，真的很简单，但是如果想要活得有质量，比如皮肤好、身材好、穿衣好看有品位、能出去旅行等等，就比较难了，所以呀，还是要好好赚钱，上了年纪的美丽、优雅、有气质、品味等等都是钱堆出来的。 ​​​
