人生海海，山山而川，不过尔尔。 ​​​
人的两只眼睛是平行的，却不能平等看人;人的两只耳朵是分开的，却总爱听一面之词;人只有一张嘴巴，却喜欢说两面话，究其原因是心在作祟，态度是心的面具，有心的人在面对不同的环境，会戴上不同的面具来掩盖真实想法;而无心的人不会掩盖真实想法，只会真情流露，也就戴不上态度面具，慢慢的，面具戴久 ​​​ ...展开
人生怎么选都会有遗憾             往前走就是了！ ​​​
时间会褪去所有浮华的光环，最后留下的，不过是一颗真心，初识看脸，久处看心，热情会淡，新鲜感会散，但真诚和善良，是唯一不会过期的货币，世间凉薄，但总有人愿意用信任和温暖，把冷冰冰的日子，捂成一句“值得”。 ​​​
“曾经那个死犟 不向任何人低头 爱笑的女孩，现在也可以一言不发的坐一天…” ​​​
"要么解决问题，要么离开问题，不要和任何问题一起生活，无休止的消耗自己。当悲伤大于快乐时，任何关系都要停止。你不用做别人认可的人，不用迎合任何人的标准，你只要仰起头来，做你自己,因为你的靠山是自己，坏情绪也是自己消化，能替你撑腰的那个人,也还是坚强的自己。成年人最好的自律是及时止 ​​​ ...展开"
没有文案只有小可爱 ​​​
            人要有翻篇的能力，            不依不饶，就是画地为牢。            困不住别人，困的是自己。 ​​​
又是一季春 ​​​
“人在无助的时候需要的是共情 而不是大道理 我需要的是靠山又不是判官” ​​​
如果咖啡☕️可以续杯就好啦……. ​​​
''知心的人养心 善良的人养德  快乐的人养颜'' ​​​
每天都处在        心有余而睡眠不足，        心有余而智商不足，        心有余而余额不足的状态。 ​​​​
人生里许多事要放开，但放开谈何容易呀，若非得道高人，如何「放开」，我自知不可能做到「放开」，但我可以做到「放轻松」。人生不长不短，但足以让我们经历各种考验甚至打擊，凡事量力而为，无论能力所及或不及，做完后就要「放轻松」，就像别人常说的一句话：「把心放宽，宽的像大海一样，把 ​​​ ...展开
爱你的人生怕给你的不够，不爱你的人生怕给你的太多。 ​​​
