为什么断联这么痛苦 ​​​
拉黑了 我再也不主动找刘铮了 ​​​
犯贱又发了一句 有什么意义呢 ​​​
算了算了 ​​​
心好t ​​​
我生日就比她早2天 nzdm ​​​
我也是狮子座 你知道吗 ​​​
难受的要死 ​​​
好难受 我睡不着 我特别想他 ​​​
今天 他没有再回我 我也没有再发 ​​​
最后一次 我不会再主动联系了 就这样 ​​​
失败 加回来了 ​​​
呃 还是去找他了 他好敷衍 ​​​
我不喜欢现在的自己 ​​​
想找他 我要死了 ​​​
想他了。老子忍 ​​​
想他 ​​​
想他了 看了看没什么的聊天截屏 太想他了 想念那段日子 还有那时候的他 想回到过去 想和他重新开始 我真的是没救了 想他 喜欢刘铮 ​​​
在杯子和枕头上喷了香香的香水 特别特别香 幸福 明天不找lz了  慢慢来 lsy加油 ​​​
我一定会遇到比你好千万倍的人 刘铮 ​​​
最好全世界都跟我没关系 ​​​
不要再让我梦到你 刘坤 ​​​
等我工作了 我就要去健身房锻炼 🏋️‍♀️让自己充实起来 ​​​
不哭了 今天最后一次 明天去学习 我就忘记他 再也不要为他难过了 ​​​
感觉自己有病了 但是好想他 好难受 ​​​
一直想哭 ​​​
好想回家 ​​​
今天给他发信息了 说想他 想听他声音 朋友骂我恶心 我不知道我到底想干嘛 我想和他在一起 我特别想她 ​​​
视奸了一下他  感觉心都要停了太难受了 ​​​
停止视奸是幸福的开心 ​​​
想他了 ​​​
本来挺喜欢你的 学英语忙忘了 ​​​
刘铮恶心 我再也不会联系你了 ​​​
难受死了 一直哭 刘铮就是sb一个 ​​​
lz ​​​
lz ​​​
再也不想打王者荣耀了 我讨厌你一辈子 ​​​
晕了 真的特别难受 特别想哭 想一直哭 太难受了 他还会找我吗 应该是不会了 ​​​
你会想我吗 ​​​
