Wendy超话reveluv超话收 Wendy 香港场 不溢价 走pt ​​​
可爱……
？//@当春乃发生煎包:？//@阿海就是厉害://@-秦闲-:好离谱//@M大王叫我来巡山:？还看人下菜碟？//@罐头辰://@_Reno_挚爱FF:好恶心//@幸运的小五上海://@溏心酒窝202010:太坏了！希望发现作假的顾客都告到厂家所在地的工商并告诉大家品牌避雷。//@玛嘉烈出航记:我受不了了.// ...展开
 查看图片
「所谓的“好奇心和乐趣”其实是有些离地和privileged的standpoint，搞不好也会导向无聊和贫瘠」是这样💧
chapter you真的是神作 工位热泪盈眶中科代表来问是不是失恋了 ​​​
天。
轉發微博
//@MademoiselleCherie-Luna:://@皮拉得斯酣醉:“我们自以为的同温层社群实际上有着极大的局限性”//@Emcee_Triple_E:因为自己也是来自小镇的酷儿，看完这篇狠狠共情了😢文章里说“酷儿的共同身份并不能掩盖阶级鸿沟的存在”，感觉目前社群的割裂很多时候就是因为可见度更高、整体上也更活跃的精英阶 ...展开
写下不要哪天搞忘了上班是为了赚够去南极的钱然后再不上班了靠存款找个小城市苟到死。 ​​​
 ​​​
小帕小帕🥺
塔塔是一款德牧……
//@Monstarrrd://@雪影甜玉母鸡://@住进迷楼的里尔克://@李隐枫://@滑雪的江鱼儿://@简直Jianzhi:写得不错，但懂得已然懂了，不懂的也看不懂这段文字。
轉發微博
蒽://@绿宝再次苏醒:
//@十二灯:进一步成熟的标志：自己遇到了事情也会当成看电影一样看自己戏，因为自己闹的笑话真的最好笑，放下自嬷情结，嘲讽自己命运！
我担://@当春乃发生煎包:我担：
想到Archaeology结课的时候 老师讲核心有两件 警惕被塑造的语言 警惕襁褓里的父权  查看图片 //@chicheng-:我在学校学到的最重要的两课，一个是激进女性主义（radical feminism，不同于内地语境下的“激女”），另一个就是去/反殖民主义。透过这两个lens，我眼前熟悉的世界完全变了模样。 ...展开
//@劳东燕2004:社会治理中很多拍脑袋的决策与举措，本质上采取的是机械式的管控思维，以为治理的对象是物品，管控之后就会按预想的因果流程发挥效果。可惜治理的对象是人不是物品，是人就会博弈。出台相应举措之前，应该预想一下如果采取此类措施，相关人等会如何应对，预先做一下后果考察。将特定疾病 ...展开
//@cestmoii://@欧洲文艺评论://@有盐电影://@spark不夜城://@磊磊漂亮://@钮钴禄瑞秋://@也梨甜粥:老铁有时候感觉真挺没招的，不知道还要多完美的受害人才能证明这就是针对女性的无差别猎杀，没有“情感纠葛”，不是“不正当职业”，不存在刻意激怒，就是想杀女的，得不到全死
白鱼你到时候一定要憋住笑啊。 ​​​
//@生椰牡蛎酒:非常非常重要的常识//@深红芭蕉://@cute-stone://@彭远文 :多谢邓飞兄推荐。简单的说，社保高存缴比对于体制内来说是优厚的福利，对于企业员工来说是沉重的负担，而前者的福利正是后者的负担。所以“强制社保”不是错，错在制度本身，对于不合理的制度，越是严格执行，弊端越大。
://@胡言乱语日剂:这就是同型脸的命运//@香菜辣么好吃好吃:我憋不住了//@割妹机:我真笑了
今天做了颞下颌关节复位 坏消息是要喝两周稀饭了好消息是——蒽你遇到困难可以#咬紧牙关了 ​​​
小岛 小岛 好想小岛💧 查看图片
好噢🩵
//@丹麦海狸://@uii000_://@Charmander_isCharmander://@-x4ever://@无所遁形的圣特莱萨_:米国灾难片永远有一个镜头是尘土弥漫的街道上飘满了翻飞的各种文件纸片，因为911双子塔塌掉的时候真实场景就是这样//@红山红山333号机://@从各位的头上飞过://@ChotsinMintoIIII:很多外国读者观众觉得“作者无缘 ...展开
好消息我真的是 坏消息: 查看图片 //@我不是间谍喵:@Hi_Baak 给你颁发天才奖
回成都第一件事 和培根狗各趴一边窗户 兜—— ​​​
這個世界是否真的有這種love disabled🥱 ​​​
我天呢……
哈哈哈梭梭梭板儿
找到了拯救几秒钟💤 ​​​
马甲哟//@l鱼苗I:点头（点头//@胖子很可以:十六岁的爱在起搏我这一生的心脏//@秦祈冰:原来不是我执迷不悟，本就是人之常情。//@却槐序:。。。恐怖😱//@斯饼狗:是真的 
离了俩小时大反分离焦虑 ​​​
受不了了饼和狗一起就觉得好萌 把小狗照顾到十六岁也这样漂亮当然不是一件简单的事 因为以前游乐园会有救助组织在那领养的所以介绍小狗的时候可以说 她的故乡是爱宝乐园 田娜怎么会这么萌啊这个饼 ​​​
//@ieaber://@麦卡PU10P:每件事都是同一件事。
我:我不是那种很沉迷什么东西的人还是我: ​​​
我们以后，就说这个了
当然别地也很多这样的。但大学是最爱装的
