我都大四了 为什么还会这么害怕开学😮‍💨 哎 ​​​
在小红书一条中立帖子下面表达了对书欣的喜欢 全程没有提到一句别的艺人 言辞温和没有嘲讽 这也能被一群小腿毛追着骂 直接上升到我的人品 这下算是彻底看清了部分对家粉丝都是什么人 不知道说的话做的事给你正主丢脸吗？ 📕是什么恶臭集合地 已经一家之言到这个地步了吗 正常人言论自由都没有 ​​​ ...展开
他妈的为什么还不毕业 这个大学我真的上的烦死了 ​​​
鲁东大学超话  外院 有没有选过英语词汇学和英语修辞学的外教课的呀 这两门课好过吗 主要是什么考查形式呀 ​​​
今天做了英语二真题 昨晚感觉挺好的结果错了超级多 13年好像还是大家公认简单的一年 单词大多都认识，但逻辑思维很差…天呐感觉自信心有被打击到。但也来不及伤心了，好好复盘找问题才更重要加油加油 ​​​
我会永远永远永远喜欢张习羽 ​​​
累疯了 进度赶不完。。。救命啊 ​​​
打卡专二进度前三章完成明天优先把实习日记写一下 备课然后做chapter3的课后练习 开第四章5p最后复习教心第三章➕开第四章啊啊啊啊啊啊 ​​​
为什么为什么为什么卡子没成团！！！！真是疯了吗这个节目你到底想干嘛 ​​​
5.14 红宝书一轮打卡 ​​​
庆祝我的新微博！绝不会有任何人发现！ ​​​
