Congratulation！！
打不打只有哈尼自己说了算啊，那些看似想保护她，看似说自己是尊重女性的人都没有听到哈尼说的话呀，都是没有尊重她呀…
看到一些网友分享自己在外国被人歧视的经历后的一些思考那些人模仿着他们说中文，但其实嘴里的话都不成句，仿佛这样就能让中国人感受到被歧视而感到羞愧。可是我想换一种视角，如果中国人在外国人面前故意用自己蹩脚的中式外语去嘲笑对方，那么对方会觉得被歧视吗？或者说大部分中国人不会没素质 ​​​ ...展开
“需要无痕女人”这一现象背后的一些思考。通过要求女人无痕来掩盖自己看到有痕时会有的一些想法吗？还自己一个道德高尚的人设？看不得什么，其实最在意什么吧，最不想暴露什么。
有救啦，有救啦
mark 指示词
芜湖～好棒啊
我觉得哪吒和敖丙，两人关系中美好的品质无法被完全归类于“爱情”“友情”或是“亲情”这些标签都太小不足以描述关系人和人的关系是复杂的，可以有丰富的“标签”（比如说母亲和女儿的关系，既有同甘共苦的友情，又有互为支撑的亲情）又或者说“亲情”“友情”这类标签本身就是丰富的不管是 ​​​ ...展开
哈哈哈
哈哈哈
#bilibili# 青蒜瞎哔哔的视频 ​​​
摘完威亚后唱的那一句Don't be crying歇斯底里我感受到这歇斯底里中不只有他原本就想要通过舞台表达的东西多了一些别的汹涌澎湃的通过这一句歌词冲出来#王一博# ​​​
哈哈哈
//@nickel拟科://@谷大白话:对方的回答 查看图片 //@荆豆地:“在场都会心大笑”//@ieaber:“服服帖帖地生”
芜湖~
做一个生活的创造者
而且他没有故意搞笑
哇偶
好喜欢水母头
好美
哈哈哈哈哈
哇
啊哈哈哈哈哈
哇，好犀利
//@朗月大江流:女性要站起来并不意味着男性要倒下，除非他们原本站在女性的脊梁之上。
hhhh
哈哈哈
这也忒美了
哈哈哈
hhhh
哈哈哈
这也忒美了
哈哈哈
懂
帅爆了呀
哈哈哈哈哈
期待期待
就像以前的教书先生，职业的特殊性使得“先生”一词有了更丰富的含义，同时也变得更加的大众化。而老师这一词也是一样。由最开始的只是一个职业称谓变成如今的普遍称谓。而现在的先生一词，已经褪去了原来背景下的“职业光环”，变成对于性别的一个尊称。我觉得老师一词可能以后也会变得普遍，时代 ​​​ ...展开
就像以前的教书先生，职业的特殊性使得“先生”一词有了更丰富的含义，同时也变得更加的大众化。而老师这一词也是一样。由最开始的只是一个职业称谓变成如今的普遍称谓。
逃脱记录合集，不包含最新
逃脱记录
