记录一下，前天开始写七分之一 ​​​
好美
很多外国名著都徒有其表，虚有其名。 ​​​
秋天的早晨露珠还未消融，朱槿还没醒。 ​​​
樟脑丸这种东西到底是用来熏什么的？蟑螂一点都不怕，反倒快把我自己熏晕了！ ​​​
好美
是的，我一直这么认为。这个时候人心智完全成熟，开始真正去做自己喜欢的事，有勇气离开讨厌的人。
如果你在半夜三点听见我唱歌不要以为我是神经病。因为我今天很早睡，在一点四十二分的被楼下一对酒鬼吵架吵醒。在两点左右又被一对吵架的情侣吵醒。今晚真是魑魅魍魉都发力，欲望碰上欲望，都发疯。我猜老天爷不想我睡一个好觉，所以我唱歌给它听，小声的，因为我缺钱，但是不缺德！ ​​​
楼下烧烤店有人吵架，摔酒瓶子，我感觉他们是为了吵醒我。此刻我觉得自己是主角，一个早睡但是被造物主吵醒的主角，而他们则是NPC，这么做的目的就是为了吵醒我！话说开烧烤或者酒吧的人挺造业，把好好的人变成NPC，有的人本来就坏，喝点酒以后这种坏被放大，被加深。 ​​​
“你小时候觉得月亮上有一只兔子还是两只兔子？有的小孩说只有一只。”“当然是两只啊，它们不是在打年糕嘛。”“那你会像我一样，看到半月就担心另一只兔子去了哪里吗？”说到这里，她突然脸色一变，恶狠狠地骂道：“讨厌死了！”康行瞬间以为她在说他。                   ——摘自连城三纪彦 ​​​ ...展开
接下来要好好修改一下，半个月够吧 ​​​
芦竹与秋风低语 禅心不动93的微博视频 ​​​
纪念一下，今天写完了苏乙。 ​​​
作者姑娘别哭超话 姑娘，想我们了就出来聊天，不要偷偷摸摸地看，给你搬个沙发出来，你躺着聊 ​​​
作者姑娘别哭超话今天是我关注超话的第100天，希望能继续伴你一路前行～姑娘，今天你开心吗 ​​​
写得好好
写得好好，真情实感
深夜，音乐盛宴。独自。 ​​​
作者姑娘别哭超话 每天都来看看，可惜姑娘始终不出现 ​​​
也太美了吧，做梦都不敢想有这么美的地方
作者姑娘别哭超话 国庆快乐呀，最近忙什么呢 ​​​
人活着的意义是什么？ 禅心不动93的微博视频 ​​​
