悠悠诗永远是我的骄傲
妹子我懂你
没人会拒绝甜妹
感受
每次机场就你抠手机最凶
可能这样的话其他idol每天都要说好几遍，因为知道你不是这样的孩子，所以很感动。。。一直都很害羞淡淡的也不善于表达自己想法也不轻易展示自己内心的小孩就这样跌跌撞撞走到了现在，又欣慰又有点怅然若失 ​​​
好可怜好命苦
就这样双向奔赴了
就这样爱了一整年。不算爱得最长的，但是唯一在最爱的时候见面的，真的好幸福！心里隐隐约约觉得爱都是有期限的所以很害怕哪天醒来突然就不喜欢了，如果失去了对你的喜欢我可能就不会感到幸福了 ​​​
你女友生气时
传出去我队友要参加变装女王
喵喵喵
咪：不好意思不在工作地点外媚粉
（班味儿）
怎么能如此萌萌的说出这般冰冷的话
你不是好女孩
就这样挑衅 查看图片 //@小肖选手://@U咪的畫画屋:神医//@星际猪猪芝士球联盟:神医啊佩服//@天使必灼伤定律:调成了//@演员_得能咲哉://@实验室制取芝士球:一周养成好习惯//@狸狸起司猫:？我恍然大悟
比起我们加油，我们团队加油这句话分量好重“我们加油”是这7年来陪伴彼此的常态，而“我们团队加油”是看见大哥哥承担队长责任后的支持和分担，告诉他别这么累有我在。其实哥哥只想让他永远当无忧无虑的孩子的，但我们副班长实在太爱，我们yusion就是日子越苦越好磕的一款
太好了是下坡路我的钱包有救了
我的最爱
我们柜子也想要四中心听到了吗四中心
我们sayu批背后是sayu本人
留下人字拖🩴笑死了
我已幸
nctw是一个巨大的夫妻店
我要是恬录我肯定要被气死，很难得的什么猫塑、小女孩、反差萌等吸粉人设都占了，而且本人也超级努力，但队内还有个呆子他什么都不做只是呼吸就把这些人设全部占完了，再好的人设也架不住两个人都是，而且偏偏那个人人气还是大top，一说到小猫、队内金花都首先默认是这个人。而且填陆表管也特别灵，舞 ​​​ ...展开
在这支支吾吾的一分钟里如果是签售的话肯定有人会冒火，但其实这是小猫在翻肚皮，好幸福的一分钟一个月只要28元 ​​​
喜欢足球也喜欢唱歌跳舞的小孩，希望一切都不辜负//@YUSHI_0405美学画廊:视频结尾有一段阿拉伯语评论 &lt;学院相关人士说Yushi在足球界有着光明的未来（拥有特别的未来） &gt; 但他放弃了一切，来到了语言不通的韩国，只为了成为一名偶像...       cr.tokunotaku
唰的一下耳朵红了是不是说明我们新人美还在
好没有愿味儿的一次回归，不会原谅 ​​​
能不能多练下齐舞
感觉这悠悠诗唱抒情曲真的有点东西，小细嗓但是中气足有呐喊的力量，破碎感和倔强感并存，还有就是唱商吧，能传递饱满的感情 ​​​
好争气啊我们
我孩子瘦成小猫干了感觉这几次舞台也累得直不起腰。。。多吃点好吗 ​​​
妈的好喜欢dnyz穿着球服的样子，像漂亮的小手办怪说不得大家都喜欢足球宝贝 ​​​
最近报复性猛吃yusion弥补我在poppop时期受到的伤害，突然对这情侣感到厌烦，真的太腻歪臭情侣给我起开还是sayusa清新可人，连佛唱也是怪味但上头 ​​​
人喜欢的是梅西！
关键时候会召唤出男神
最活人的一集哈哈哈哈
这真的是好哥哥
放开我女儿！
我每天对dnyz：宝宝宝宝乖宝宝or臭婊子等着我喊人来超市你 ​​​
这真的是我宝宝
一直都是好宝宝
有点想跟她结婚
这预告拍得这么痛是想干嘛
哈哈哈哈哈这也太好笑
右边的表情真的笑死我
我孩子瘦得我嗷一声哭出来，以前瘦的时候还有胶原蛋白撑着，现在老了泪沟出来了法令纹也更明显了，再加上这个发色显的人好没气色，化妆也是淡淡的真的是小瘦猴了这次回归完了一定要好好吃饭好好喝奶茶好吗
小妹妹你留下
一想到我们勇志是靠实力进公司的就很安心//@培养儿子当我爸爸:得能用纸是逆袭爽文里因为小时候太丑刚出生在医院里就被调包了的那个结果//@代号蛙:小时候基础，长大了就不基础//@光滑的黑长直:瞧不起得能勇志的人你等着//@亚热带湿润:卧槽呀啥意思//@爱让人疯狂长出肥肉:痣痣互联网唯一好评// ...展开
QQ弹弹
勤能补拙吧
毫无人性
不要长大！不准转型！不要男人！我哭了
说走就走的旅行，在学生时代可不是一句口号，你就是这么做的。而现在，却显然变成了成年人疲惫时哄自己玩的一个愿望WISH。
老公有无精症但我却怀孕了//@还是你奶太大把良心都盖住了:胆大的人先享受世界//@小猪5元起:吴室温：我明明戴套了  藤永消灾：果然中了//@还是你奶太大把良心都盖住了:看表情，吴室温和疼用消灾都觉得自己是孩子爸
男人中的男人
哈哈哈哈哈哈哈哈
今天下午就要回归了，我们耀祖能不能纵使天崩开局但依然妙手回春帅我一脸啊 ​​​
不知道从什么时候开始，已经对这些东西无感了，反正我只会看悠悠诗的直拍，不论他是否在c位，是否跳db，在直拍里都能看到他好好唱歌好好跳舞的样子。
all u党永远把西柚排在第一顺位，这大概就是官配吧
哼我们sayu就是势不可挡
我们小女孩怎么就开始和豪迈沾上边了
最开始人们只是以为这是一张普通的专辑。。。 ​​​
看得出来姐姐很爱了
你妈的突然想起我的夏日写真的miniwichu都还没发货！不是说八月初吗！有消息了吗👿新专我只买现货了👿 ​​​
这是真诡秘哈哈哈哈，哥哥舍不得打弟弟不敢打还有一个馒头天天找打
露：小表子我打洗你
我们态度哥//@小纸在东京:依旧态度//@美萌萝莉在睡觉:态度//@阿拉小痞:宝子好蒂//@安心小狗:继被拍到消消乐 kkt弹窗 志生的合照后这次迎来了app大赏 即使这样帝也永远不知道收敛这两个字怎么写 好欣赏
小小年纪
