我分享了文章  ​​​
化妆
//@夏天什么都不会:我最近这两天还经常“唯一纯白的茉〰️莉〰️花〰️”//@零_零_零_零_零_零:我原本就好喜欢这首歌，真的好搭那段剧情
//@小鸡毛毛雨:哇这老师是剪晋江演技那个。力挺//@萌猪改造计划:力挺//@小痛命:力挺
买
鞋
//@葡萄长出了獠牙变野猪:天呐//@丁满有一对儿大板牙:栩你渝生超话 续两句: 我许愿你们天打雷劈， 签文说你们伉俪夫妻。  而今孽火焚尽桃花契， 灰里绽出并蒂劫灰泥！
什么时候意识到坚持得意义什么时候就是真正的开始衰老了因为你意识到真正喜欢的东西竟然也需要日拱一卒了 ​​​
男人非常喜欢一种对于他来说进可攻退可守的感情，我也是 ​​​
//@小鸡毛毛雨:好像被吞了。好喜欢我要再发一次 查看图片
不要活的太拧巴不要把自己困住你选对象的时候都知道只筛选不培养怎么到了父母这里总是想跟他的掰扯明白你到底受了多少原生家庭的苦呢你是为什么觉得你会改变一个快50岁的人的认知呢？放手吧，算了吧 ​​​#选择##治愈不开心# ​​​
//@Is_she_Zoenyae:软件是稿定设计，字体明朝汇文体，下完了你们就玩儿吧本人一玩一个钟头
//@贰掌柜说:成年人的世界里，“为你好”是动词不是形容词。钱到位/事办妥才是硬核关爱，其余甜言蜜语多是情感赝品。女性觉醒第一步，把耳朵听的换成手里攥的。
他活了这么多年，终于通过自己忍耐得到了真心喜欢的东西
一直小心翼翼，如履薄冰
//@菠萝啤电浆:WST323 //@菠萝啤电浆:之前收藏了一个gv就是这样，攻超帅
//@醒醒吧小丑:九十九步是一半，一步是一半
车
//@SUGA的猫薄荷_:哎一古宝宝们就这样互相说着对方的辛苦
没有实力的愤怒，永远毫无意义
//@沉咕咕要睡觉:逼想活的死，劝想死的活
//@开心胡萝卜食品店:现在上海的打扫阿姨50块一小时，收纳师80块一小时。咖啡师兼职25块一小时，全职一个月4500-7000，每个月工时180小时。你教教我为什么可以按市场价定价的服务要写一个“妈妈岗”//@大尾巴小白羊:包装成优待女性实际上背后的算盘响到天上了别说同工同酬了明摆着你干得多有得顾 ...展开
如果你不知道也没关系
//@饮鸩止渴死而无憾:当年嗑过。。典狱司好听//@昼尔宵尔:启红党心情复杂
//@阿木读书笔记:相较于孩子需要父母，更多时候是父母更需要孩子
//@青苗法鸣:Repost
重要的东西，用眼睛是看不见的
//@昼尔宵尔:看完谁不说一句女运动员辛苦
人和人相处本质上是困难的，所以上班才会给钱
//@瓶装焰火:那烧五年高考三年模拟吧//@这个芝士不太冷://@矮周迅:？//@俗世共鸣://@六点准时打卡://@Beehowyoung://@娥不行了:MZ世代//@蓝色护照的传说:好亚//@妹子你听我解释:亚文化//@苏坡蕾蒂:救命吧//@你到底要我啷个://@胎缘脑:笑死我了笑死我了//@谢尔顿萝卜丁selfcareversion:💀💀? ...展开
别人喜欢你，与你无关，不要高看自己
人总是喜欢把快乐寄托在其他东西身上，连自己胖自己快乐的责任都担不起
"//@斫桂子:I am rooted, but I flow这句是出自《海浪》（The Waves）//@阿三阿洛爱着你鸭:请问这句话出自哪里呀？想加入待读书单里"
//@Monpetitjasmin:一间只属于自己的房间//@阿三阿洛爱着你鸭:请问这句话出自哪里呀？想加入待读书单里
//@逵逵扑:“知道自己是贩卖梦想的人，即使流泪也要站上跑步机”  —— 震撼
//@争当V粉er:当然是某粉色app//@咸鱼的肚皮白又白:哪里还可以看到 好想再看一遍
大家需要这样一个符号
人不需要读很多本书，而是要读很多遍书
//@鬼佬森:窮人看起來缺的是錢，但是實際窮的家庭充滿了內耗，做窮人的孩子好痛苦。
