最近好喜欢一句话:“花时间了 🌹就开了” ​​​
考完教资，又要接着准备下一个考试，一直在备考从未停歇，抬头看了眼时间才发现我们永远活在条条框框里不停的奔赴，下一个考场偶尔感叹，但除了继续好像别无选择 ​​​
香！！ ​​​
校园风光超话@太原师范学院青年之声- #太师学子为高考加油# 高考加油 ​​​
太原师范学院超话#一起“照”亮太师# 一起行动 ​​​
