yueyueyueyueyue ​​​
真难受 ​​​
就离谱型人格
胸肌都快到锁骨啦哥
啊宝
表演型人格，多了去了这样的人，装的情深意切，到头来就是为了让别人觉得自己没错都是别人的错，倒打一耙而已
