有点想买又有点不想
期待
真的会好吗
如果发出声音是危险的，那就保持沉默
最后一天才看到，app里面没有任何祝福的，领取还有人数限制，如果是真的感谢活动为何层层加码
也是带上货了守望先锋超话 ​​​
今天日推到这首歌又回想起了在信息大楼教室第一次听的时候，当时经过仔细的考虑决定考公，同时还考教资和四六级，因为一直都不知道将来会从事什么样的工作，可能是我专业课学的不好，忘记从什么时候开始对找工作持消极态度。好像在那年一直觉得要考什么东西出来才对将来比较好，这有可能是我家庭环境造 ​​​ ...展开
很经典的复仇剧情，从中看到了成长的力量，但是我还是对辛巴的自我同一性保持怀疑#狮子王# ​​​
读过图书《奇子 1》，我的评分：★★★☆☆ 都说这部很黑暗，但是我从现实感觉到了更加的黑暗。(来自 @豆瓣App) 网页链接 ​​​
历经五十四次劫守望先锋超话 ​​​
