抓大放小
讲话真的是一门大学问，共情和慈悲可以救人//@璧蘅:聪明人懂得不激发别人恶的一面。别人可以对你不好的。
非原则问题，不妨多一些包容性和接纳性。
边界感清晰。每个人都为自己的情绪负责，而不是为别人。
逻辑没问题//@王晋卿:不听话是进步的必要不充分条件
