记录我最新的播客月记🎧（via @小宇宙播客App） ​​​
//@硅谷王川:以太坊是人类文明级别的创新，稳定币法案的海啸即将来临。（ eth = 3400 )
//@karminski-牙医:我发现我最近有养成坏习惯的趋势，claude code 上打完字，就开始等着出结果刷手机玩了
举手
//@MVP盆盆: 以下是prompt：请用大模型训练的原理，类比分析王川老师关于觉醒的论述，精妙处用可视化的思维导图辅助理解，并给出醍醐灌顶般的妙语(仿佛听到思维的利刃在问题的肯綮中轻快的游动并歌唱) =以下是王老师的论述=
转发
转发
转发
//@冰糖蓝莓_:还是要加个声明：如果你自己没什么具体想法，也学不了数学和硬核工科，那计算机学起来还是更容易一点 计算机在对就业技能的训练上还是比很多文科要好多了……//@冰糖蓝莓_:如果不是真热爱的话，我不建议现在报计算机专业。上大学的时候跟ai跟网课学一下编程就行了，编程和英语一样 ...展开
//@宝玉xp:回复@枫逸尘-Zephyr:说的很有道理，技能不能太单一，太单一被取代风险大👍//@枫逸尘-Zephyr:其实为什么说AI能代替人类，我觉得是因为人类分工太过精细化的问题，在管理学中分工是为了提高生产效率，但是让人类的技能单一化，这样的确很容易被替代。未来程序员一定会越来越少，但是不是被替 ...展开
//@宝玉xp:回复@_alfalfa_:o3 数学没问题，搜索也很好，编程不错，但写东西现在真不太行，动不动就表格和列表，远不如 GPT-4.5 和以前的 o1，OpenAI 训练它用工具训练傻了，Claude 4 调用工具能力和编程都超强，但写作也不怎么样，Gemini 2.5 pro 写作很好，编程也不错，但是调用工具能力一般// ...展开
转发
//@chicheng-:这个在学术上叫“non-representational”，就是说很多事情无法被代表（represent），无法被总结，无法被提纯。它只能停留在模糊地带，只能在不断诉说中描摹自己的形状。试图总结一切、给出标准答案，是一种暴力。我在学到这个名词的一瞬间感受到爆炸般的解脱感。
转发
转发
//@程序员邹欣:talk 也要能聚焦，体现洞察，提出明确需求
转发
//@AllaboutIanguages:“长期并深刻的关系 是一场伟大的相互治愈 并不是每个人都有这个机会/能力得到它！”//@Sayrohan:是寻找“真正的你自己” —— 因为“现实的你自己”经常由于各种外部原因 并没有成为“真正的你自己”的样子……🤔 长期并深刻的关系 是一场伟大的相互治愈 并不是每个人 ...展开
转发
转发
