这辈子和03白羊男纠缠不清 唉！ ​​​
看到这组图片又回忆起西安，一座让人百感交集的城市
好像和谐蜜语的女主啊
行业的悲哀 心理工作者看到这些很难过…
好感动
长大以后好像再也喝不醉了 喝一点醒一点 理智永远压过情感 ​​​
玩的心情比玩的地方更重要，爱的状态比爱的对象更动人。 ​​​
谁能想到五年后是这样 说话
结束的时候我说 我们就停在这里吗对吗 他回我 改日再说吧//@阿海就是厉害:有时候会不舍得，但是又不得不往前走//@这是一个很高冷的ID://@快递员吴彦祖:经常还没有到目的地 司机师傅就开始接下一单了//@HH盐烤东海银鱼HYuK://@肥猫蛋://@肥猫蛋://@肥猫蛋://@IlIIllllllIIIIIIlllll:。// ...展开
我真是笑死了。。
喜欢
别给我笑死吧。。//@纯欲逃犯牛小莉:人人都知道，京城的于公子玩的花，圈养的小明星数不胜数，甚至可以为许影帝破天荒开直播吵得面红耳赤，但所有人都心照不宣一句话：不可以闹到何晟铭面前
分是不是我信任的人 信任的人 他套任他套 我往里面跳 不信任的人同最右…//@阿海就是厉害:完了，我一个也忍不住…//@雪霏Sophia:最右好厉害//@刷电影老太太:…//@女晴儿: 完了，我好像知道，但次次闭不上嘴，说完就后悔//@芬达:对方说什么我就听着，对方说错了我也懒得纠正，八卦问我干嘛我也不知道， ...展开
太好了天
纪念今天 我从失恋里走出了一点点
到底怎么才能忘掉一个人 ​​​
。
失恋后最痛的那些瞬间 都得靠看一些“如何走出失恋”“如何放下一个人”的帖子 让自己稍微好些回归理智 这该死的被鸡汤浇灌的一生 ​​​
天呢
想你想你想你想你 ​​​
开始转发一些意味不明的微博
不懂 但祝福//@快乐星球现任球长:千言万语汇成一句，祝福各位
活着好累啊。。 ​​​
失恋怎么这么痛啊啊啊啊啊啊啊啊啊啊啊啊我擦 ​​​
。唉//@里没睡饱没://@我又有一些真知灼见:这就叫经典，看多少次都忍不住转一转//@麦卡PU10P:经典重温//@麦卡PU10P:最右这图封神了//@雾柏丽TTPD:点开右边这个图//@跳舞是一个危险的游戏: 查看图片
早上咖啡晚上酒 是一点水不喝 啊啊啊 ​​​
很烦很烦很烦 #真的很烦# 讨厌一切观点 受够了别再教我 ​​​
呜呜
好想好想好想前夫哥 忍住！ ​​​
是这样
我哭死
活久见 合体了
enfj都是什么神仙啊呜呜呜呜 ​​​
笑得想死//@金瓜刘亮:蒋欣表情给我笑的//@宇宙啾酱:笑晕我了哈哈哈哈哈//@Lotte-F:哈哈哈哈哈蒋欣：还没结束吗//@矮周迅:啊啊啊啊啊就这样不理解但莫名其妙唱完整首//@耳東鹅:欣：不理解但是要和姐一起
真好
老师下一周怎么混进来的
那年高考完 也曾雄心勃勃 意气风发…
你…我…你们…挺好
受了一场动力学老师的督导感觉被霸凌了 ​​​
人红真是是非多，， ​​​
回复@多水不是海_:我大多时候我对自己的祝福都是 希望自己普通且自信//@多水不是海_:回复@BusSlayer:什么时候男的才能意识到普信女三个字对女的毫无攻击力
hh
真好 被故事打动
每一天当做最后一天
先转//@angel安淇儿:原来//@江南大野花:原来还有这个原因//@楚惜刀:麦克变丑的原因//@本来老六://@黛瑟://@M大王叫我来巡山:🐎//@-秦闲-:马一下//@钩钩人://@鲛猫_Shark-Cat://@戈芭嘎吧旮了巴爬爬公主:体态好真的整个人都不一样//@胖虎弟弟:难怪越长大越觉得人变丑了，我还以为是长开了
痛苦。。 ​​​
对比那些整天吹嘘自己曾经辉煌过或者有走向辉煌机会的男人，麦琳才是诚实美好的人。
hbd🎂🎂
哎无数次地感觉到ip人和ij人的气场不合 如果没有中间人的拉扯或者一方的过分努力 真是太难有交集 更别提深交… ​​​
哭哭 呜呜
看完这条我决定要好好读一下//@Ericaliga:其实这种内容才是我自己喜欢写的内容，但是确实太干太长了，适应的阅读受众不会很广但还是希望看到的朋友们能耐心看完，至少以后如果有男的跟你在这个话题上吹牛装懂王你就可以让他闭嘴了。
以前的我不屑一顾 自从前两天去西安吃了一碗那边的三合一 我才明白了这一张照片的含金量
生日快乐哈尼～
是啊人也是…//@阿海就是厉害://@文科班校花酱://@多肉猫饼:跟着自己喜欢的东西一块儿变得鲜活了//@酒酿麻薯脆波波:是的！这些爱过的东西都是幸福碎片//@月是心上月Yueue:素的！不要小看痴迷的力量，虽然短时间内可能看不到什么获益，但是总有一天你会发现，被你爱过的东西都会拼成你 ...展开
虽然疯狂赶着ddl但想到 让会学习的帮我写作业 让提供情绪价值的陪我熬夜 让能出钱的带我出去玩能把男人运用成这样 怎么不算号练成了就开心起来了 ​​​
//@亚尼大帝://@南小小小音://@ieaber://@出版人周筠://@众泽妇女法律中心----千千律师所:“就发生性行为而言，为什么要求女方承担反抗的义务，而不是要求男方承担征得同意的义务呢？ 为什么是女方没有反抗就推定获得女方同意，而不是男方未征得同意就应该推定女方不同意呢？ ”
//@长个见识://@冷笑话精选:Deepseek上大分//@他只是个孩子啊:说得好好！//@资深观众韩梅梅:冰川由她凿穿！
//@齐齐哈哈市萍萍://@根正苗红好颜狗://@月眠千葉山:祝我们//@angel安淇儿://@你别说还真是这样://@雪霏Sophia:🤲🏻❤️//@今天不想当香什么香:谢谢//@·夏夜狂欢·:祝我们//@他说是永远的朋友:祝我//@妖怪屁屁老太婆:祝我
不懂 2025开成这样
喝了咖啡之后我就是李泳知 (이영지)/잠비노 (Jambino)《ADHD (feat. Jambino)》ADHD (feat. Jambino) @QQ音乐 ​​​
ni人的敏锐程度我是真的佩服啊五体投地 ​​​
本命年 能不能过好啊 ​​​
稳稳的很安心
新年短短四天 已经对男人失望了一次两次三次 ​​​
一首旧歌献给大家～谢谢～
//@齐齐哈哈市萍萍:不玩他们的游戏了。//@心动收藏站:这个真的太好了//@超标本实验部://@Kkheder:Repost
过得烦烦的 ​​​
这对吗这//@插花大师:好安心//@正襟危坐的炕:啊啊啊啊啊//@薄荷包蛋派:赵妈要不要帮忙～//@矮周迅:谁来救救我 看到老梗还是忍不住笑//@草莓提子小夹心:谁来给这群人一人一碗中药
真好//@angel安淇儿:好喜欢//@着急过冬:美丽动人//@噗叽咕咕咕:百花齐放
好想当个精神病患者 ​​​
o天呢…
嗯
真好 哀而不伤 轻盈地离去
好东西讲…正是因为我们足够乐观与自信，才敢于面对悲剧。而我是，正是因为足够的悲观与消极，生命中的快乐才弥足珍贵。怎么不算是一种好东西！ ​​​
很喜欢上课摸鱼不听讲的感觉 老师认认真真地讲 我开开心心地聊天 购物 思索 记录 回忆 大家各忙各的 享受着当下 ​​​
斯内普是你吗 说话
焚城imax场到底有没有合影 这对我很重要 ​​​
都别管了见到白宇了…人一出来眼泪就库库掉感谢影秀电影是好看的！！！推荐！都给我去看！！！！！！（但白宇你学打结浑水摸鱼被我发现了！！！罚你来我心里打劫（bushi#电影焚城首映礼##焚城##焚城点映口碑##影秀观影团##电影焚城##白宇#  ​​​ ...展开
哭哭
今天和白宇对视  眩晕中 幸福得说不出话来 ​​​
红红火火恍恍惚惚终于被宠幸了！感谢金主@腾讯娱乐，感谢@微博抽奖平台！一起分享我的喜悦吧&gt;&gt;&gt; 微博抽奖平台 ​​​
让我去吧啊啊啊啊啊真的超级期待
电影《焚城》的设定尊嘟很令人心跳加速……危险物质泄漏，24小时危及全城，营造出了紧张刺激的氛围…专家的分歧、消防队长的奔赴前线，以及富商黑色利益链的浮现，也让故事充满悬念与冲突。超级期待看到刘德华、莫文蔚和白宇的精彩演绎
#微博观影团# 电影《焚城》的设定真的很令人心跳加速…危险物质泄漏，24小时危及全城，营造出了紧张刺激的氛围…专家的分歧、消防队长的奔赴前线，以及富商黑色利益链的浮现，也让故事充满悬念与冲突。超级期待看到刘德华、莫文蔚和白宇的精彩演绎！让我去现场吧
#电影焚城#
我真该死啊。。 ​​​
们entj真是…
枣真美啊枣
签名照 莫辜负
wok这个前途无量真是越来越精彩了 能不能立马播完啊啊啊 ​​​
我人没了#bilibili# 流氓兔森森的视频 ​​​
喜欢
好美
微醺好迷人 好久没见这么生动的朱一龙
好烦又心动了
想死了 什么时候让我见一见啊
耶耶 有新剧看咯//@白宇WHITE:#前途无量首支预告# 两眼一睁就是干#前途无量#
真想把他拿过来啊
真的 第一句唱出来我就疯狂掉眼泪
磕到了一下
