//@苔原老魚:杀鱼情节的工作细节来自于我23年的水产员兼职，这个故事梗概的成型也是在这个工作之后。正好翻到几张当时的照片🐟（无血腥）最后离职的原因是手部受伤太多了➕暂时性风湿， 查看图片
这就不得不去看看了//@青菜园:看的时候也注意到了，Layout显著提高了观感，很好的规避了许多作画的问题，并且我印象中运镜很克制，观感更舒服了
码一下
码一下//@不认识少狗椿 ://@鸿鹄夜奔 ://@阿猎木星初转腾 :🐴//@緊急球九 :我看！
R.I.P 一路走好
//@Fidelio_在稿 ://@优癖 :真好看啊
//@樱盏 ://@弦子与她的朋友们 :不断有未成年人在特训学校被虐待、不断有未成年人从特训学校逃出、不断有未成年人试图向特训学校复仇。悲剧一起又一起，媒体的特稿一篇又一篇，这些特训学校依然野草一样以各种形式出现，本质上还是整个社会对暴力的纵容。
冷静下来仔细看了下海报才发现是音乐会版...//@小狗爱吃花椒叶_Lane :卧槽 路二是真的要来啊 刚刚看到颜发的那条fb还以为看错了
卧槽 路二是真的要来啊 刚刚看到颜发的那条fb还以为看错了
//@Tony_超矮神烦_Stark :故意强奸+谋杀未遂。//@大鲸儿 :天呐还好抓起了天呐………看得我冷汗都下来了//@云雪筝歌 :这是故意谋杀未遂吧…还qj…….
🍠上那个字典账号是不是她！！//@彈力毛裤 :蒽 们画画的都这样//@Rrose_S :这抽象吗？这多具体！好使！//@众鱼之王L :卧槽增强电力那个学到了//@银河菜单 :大艺术家
「林间聊愈室」 ​​​
短巴黎都来中国巡演了，可惜我还是没空去 ​​​
