//@并不软的软喵子:支持！
贴贴
一些跨子扒我大小号 翻来覆去就围绕着爱男爱女那点破事转，我从未说过自己友跨性别群体，以前只是无感 懒得理会，以后看见一次踩一次罢了。你们这帮人只要发现有人和自己观点不一致就要集体应激，先扣个“恐跨”的帽子，然后摆出一副自己特别正义的样子攻击别人靠挂人和群起网暴，用廉价的情绪价值 ​​​ ...展开
//@Diamonds_Rust:这个我支持。。。。跨是跨，但绝对不是女，不要来侵占自然女的合法权益。。。。
别到时候让粉丝又等5年
宝宝
唉...
好可爱 //@_YYYe_:看风景🍃
//@陈折折:请大家活着，再困难也活下来，只有活下来才有别的可能性。事情才可能有别的转机。//@林延初:女人最重要是活着啊
号被盗了吗 //@没洗脸呢吧你:谁的手？谁的腿？图中出现的所有人的自认同性别和性取向是？//@没洗脸呢吧你:什么意思？洗梦女粉了？
😉
//@鞋带总开的蓝色:全男班底 //@劲道橙:签字盖章的是哪位领导？是你大连工业大学的校长李长吾吗？请问你既然能做出开除受害者这样的事，那自己经得起查吗？
我好想退游 //@正宗爹味酱:差评，我没说要玩自动给我注册账号了
//@婉司姬:喜剧的内核是悲剧 看哭了
我晕倒了...
：出警速度快得就像视频里的男人 //@沈迦离:笑点太多不知道该笑哪个：38岁成年男子与多人发生性关系、嫖客爽完又举报、男的被偷拍报警是能立刻抓人的
//@耶比一直比耶:🙏帮扩散 这个大学门卫爷爷养了很多小猫 却八个月没工资收入最后活活中暑去世
哈哈哈哈哈哈哈
//@余七画C:秋也杀人，冬也杀人。今杀黎庶如屠草，明杀百世累功勋。前杀皇秦始，后杀帝汉文。上杀嫦女空抱兔，下杀湘妃竹作坟。杀到烂柯金乌死，穆王回骏拭血痕。君不见，杀得飞光刃齐卷，杀罢旧神杀新神。
//@酷囊-:“祝大家山花永远烂漫，梦想永不落空。”🥹//@ChloeLady-:感觉很久没听到中文语境下这么好的获奖感言了 祝贺姐💐
7月18电影院见 //@脑仁炖菜:师姐 //@木羊芋头:啊啊啊啊啊啊
//@维司塔:第一次听见他说话的声音 //@千秋万万万代 :《此生，你我皆短暂灿烂》 隐秘细微的感官书写，请看台版翻译
是的
：那我们无性恋要每天给您汇报 你好今天没左爱吗？
：一直哭到护照变蓝 //@窗外的是上世纪的你:我眼泪止不住的流 //@苏坡蕾蒂:不这样的不许生孩子 //@呆萌de吮指负分女:我妈妈呢
bi色的晚霞 ​​​
🏳️‍🌈
//@河森堡:转发评论里的各种福利和机遇是一方面，我个人体会最深的是，在经济上行的时代，普遍有种轻松自由的氛围，那时候在单位，只要你把本职工作认真做好，其他的事领导也不管，出勤时间很自由，我和同事在院子里锻炼，在楼道里弹吉他，不同部门的同事之间还互相介绍兼职工作，现在回想起来就觉得那 ...展开
//@猫猫张圆圆:图二真的恶心，写教程怎么抑制女性写作是吧，感觉像是男串子编的，不然想不出来为什么要和收入微薄到为爱发电的百合作者过不去，写百合本来就不是大势了。
//@l鱼苗I:二次元你把我骗惨了//@黄濑濑濑濑:平时看起来不靠谱，关键时候发现是真的//@真十内:看上去不靠谱的人但凡工作出了问题你就会发现这个人是真tm的非常不靠谱。//@阿海就是厉害:🚬
我心疼女双
