想考军校去舰院，啥也不懂的才去城门楼子大学，出来就去新西兰拔草 ​​​
我与丹青两幻身， 世间流转会成尘。 但知此物非他物， 莫问今人犹昔人。
小橘被校友收养了😺 时光机带我回到了过去，你也试试？微博回忆
太疯狂了亲戚给本人介绍了一个比我大11岁的军官 ​​​
【鲁智深是梁山步兵十大头领之首，一直冲杀在前，立过很多战功。但他并没有真实体会到战争的残酷。他是胜利者，他的朋友们也是胜利者，一直都是胜利者，永远会从战场上活着回来。可是到了征方腊的时候，情形急转直下，一场场死亡接踵而来。就拿鲁智深老朋友圈里的人来说，史进在昱岭关中箭身死，张青在 ​​​ ...展开
主人级别的。。
@关于金木犀的一切//@罗再说:后来不知怎么睡着了…梦里花落知多少💧 查看图片
8月9月秋季新收香水速评1.TF 珍华乌木EDP 木质，但是我真的不喜欢EDP，过于深邃，后调像吃完火锅没洗衣服。。2.Jo Malone伊甸之果EDT花果香气，属于酸甜甜更多。杨枝甘露和椰子，很好吃的味道。去海边一定要喷。3.Jo Malone末药与冬加豆EDT有点惊为天人（不像祖玛珑做出来的。。）！非常喜欢的 ​​​ ...展开
感觉高欢也有双相，还是躁狂发作起来很严重的那种。双相遗传概率（60％—85％）很高，合理怀疑儿子们也遗传了。酗酒还会加重病情，这一家就差把酒当水喝了。性欲旺盛/喜爱施虐并且当众杀人/每天活动量很大/晚上经常做梦梦见乱七八糟的神灵先祖，还有不穿衣服四处游荡，如果去过精神病院重度躁狂那帮人 ​​​ ...展开
//@Theorois:So true
出走半生归来仍是耽小妹 时光机带我回到了过去，你也试试？微博回忆
谁知道我今年也去施瓦本上学了！ 时光机带我回到了过去，你也试试？微博回忆
给他残酷的命运，又给他金子一样的内心//@WillowKatze:😢杨……
今天在对账 太尼玛恐怖了大学买香水花了三万多（虽然有一部分送朋友了。。。） ​​​
吃 ​​​
又读脑科学（?）了记录一下outlive：the science&amp;artof longevity书中给到的可以提升睡眠质量的方法：1.不要喝任何酒，这是毋庸置疑的。如果你必须得喝，那就在下午6点之前喝一杯即可。酒精对睡眠质量的损害可能比我们能控制的任何其他因素都要大。不要把它产生的昏昏欲睡与高质量的睡眠混为一谈。2 ​​​ ...展开
期货
重读《你一生的故事》，外星人来到地球，被地球人询问目的，它们说：观察。最后它们离开，没有留下任何地球人想要的、未知的科学信息。它们唯一做的是教会了地球人它们的语言，一种超越时间维度的语言。美国政府反复想要证明它们会索取资源，会破坏地球，但最终什么也没有，只是来了又走了。我从各种角 ...展开
又开始给朋友写便筏了 我是友宝女 ​​​
孩子们
😯
有幸听过//@找不着鹿:鼓励情敌跳开追求对象在一起。苦苦追求统一和目标 在其中失落 伤身 欣喜，这俩人的理解和互动懂得一定会比和那个目标对象之间的更深入… //@落在最后的马拉松选手:哈哈哈哈哈//@脆皮鸭基地:来看商学院的“情敌是敌人还是同好”，也可以代 查看图片
从四月份开始吃散伙饭一直吃到九月，吃一次散伙饭可能是舍不得吃十次散伙饭可能是爱吃饭 ​​​
四川是这样的。成都三环以外大家都是巨大的县城文学。//@玛嘉烈出航记:现在还有《纸房子》
我要去和阴电池早庆战
最近因为看m3又翻出以前收的策瑜本了 复活吧我的cp😭 ​​​
是原 时光机带我回到了过去，你也试试？微博回忆
曹丕有一种悲哀但是这种悲哀不带有任何文学性，功利心，以及主观的怜悯慈悲心，不是斗争失败的悲哀，不是痛失所爱的悲哀，不是任何事物诱导产生的结果，仅仅就是已经被内化成性格中一部分的天然悲哀，就像淡淡的烟雾永久地笼罩在这个人身上，这种感受不足以使这个人的理智判断受到任何影响，也不会使这 ​​​ ...展开
有段时间微信头像是史努比周年稀有壁纸，后来过了几周突然发现老婆的头像换成了同系列的糊涂塌客，我是一个幸福的小女孩！偶尔翻到以前的照片，还是会回想起23年和她在苏州的那个清晨，因为感受到了巨量的幸福，所以不想忘记。 ​​​
主包点阵好了即将降临广东，求推荐广州顺德深圳美食 ​​​
喜欢
欧好美//@Q气温纤维W:
最近不喷香水了，在我的aromag到货前一直在使用艾草生姜精油，喜欢喜欢，很天然的味道。打算过段时间写个精油测评。以及有点迷上无印良品的香氛线了 ​​​
和老婆好幸福 时光机带我回到了过去，你也试试？微博回忆
好想永远飞下去//@萨尔茨堡的鱼:布罗肯现象（Brocken Phenomenon），阳光照射云雾时，特定角度光线经水滴衍射干涉后形成外红内蓝的彩色光环，观察者自身也会被投影放大在云雾表面，发生在山腰云雾间也称“佛光”，佛不管辖的地区人们会看成女巫的光环，名字来源于德国北部的布罗肯峰。→ 网页链接
😭
我现在变成6w5了，我上高中的时候是4w5。太好玩了，太尖锐了。如果说mbti会让人自我感觉良好，九型就是没给人留面子，无所遁形。 ​​​
#柳の读后感# 1992摇滚与上学live by相荷明玉“那平淡如水的生活 因为有你而火热”看过老师的几本古耽，这是第一本现耽，也有一种淡淡的武侠感。虽然整体属于美化版滚圈内环境，以及美化版本年代文。但题材中对于摇滚和音乐表达的观点表述我都非常喜欢。表达无自由则创作无意义。最后乐队演唱《火 ​​​ ...展开
#柳の读后感#  补档 这次补的是2019、2020年写的（可能不全）越往前翻越搞笑 ​​​
曹植可能是infp/enfp，因为他ne和fi都非常高，不管从他的文章还是史料他干的事都能看出。可能有时候他也会se大爆发变成isfp，比如写《洛神赋》（但是洛神赋也……很ne……）、司马门事件from史料。
我最近又开始你魏了，而且我坚定让曹丕做1。很多人说草皮是infj，或许真的是，普通来说我肯定会让一个infj做1，有人说这是因为我喜欢公我自己，那么草皮出了什么问题，我思索一番我懂了，是观测点的区别！因为草皮身边没有一个我更喜欢的0口味，那我只能以自己为出发点了，那也许确实是我爱公自己了 ​​​ ...展开
时光机带我回到了过去，你也试试？微博回忆
宝宝😢😢😢 ​​​
好喜欢
神人乐队给我做局 ​​​
#柳の读后感#  补档之考古发现 所有都发表于2020-8-12之前（意思是主播上初高中时候写的） ​​​
广东人持续给我做局，一周吃了六次广东菜，打算下下周去广东接着吃🙃
#柳の读后感#  我发现我至少一半的书评都发不进这个tag，要看直接在我主页搜读后感。 ​​​
#柳の读后感#  补档中涉及书名：丁香花的越冬方法、制造乐园、此在：有关超越本体的逻辑幸福追问、操戈、金羁、mdzs ​​​
就这样买谷买到厌倦（还有暴露我厕品单小妹属性的就不发了）（发现这两个月光是逛谷店时候的冲动消费就有2k）（指买了完全不感兴趣的IP） ​​​
//@白桦与红霞:那一夜你不再和我讲虎的故事。
【这时我才注意到，轻薄的云雾已经缓缓地向南飘去，并笼罩了整个山谷。在云雾的笼罩下，除了最高的那几座山峰外其他的都消失了踪影。亚当斯，这位身材矮小且好斗的得克萨斯人，曾在20世纪80年代的经济大繁荣中靠证券交易积累了巨大财富。他曾是一名经验丰富的飞行员，无数次在高空中俯瞰过这种云。 ​​​ ...展开
🐅
广东菜太好吃了 好想变成广东人 最爱的一些汤汤水水和小吃😋 ​​​
一个故事通常会许诺：只要我们满足了它提出的条件，就能得到一个美好的未来。比如我们很熟悉的一个故事是：好好念书，考上好学校，找到一个好工作，最后过上幸福生活。我们因为相信、或者说默认了这个故事，所以有动力去努力考个好分数。这个故事的每一个推论都是错的。考上好学校并不意味着找到好工 ​​​ ...展开
一种又被老中骂又被小日本骂的穿搭 ​​​
心情//@逃避就能得到吻吗:心情
//@庄时利和:孕吐一线治疗效果不佳时，国内外指南会把昂丹司琼作为二线药使用，这个药止吐效果非常好，而且安全性相对较高。但是很多地方因为对于孕吐不够重视，再加上对于孕期用药的认识极端守旧，使得很多孕吐严重的孕妇都得不到规范治疗。
这款真的无敌 我在家都复刻了
唉legend
其实还是个小孩
//@CP公子优:而爱和自由的不同在于，你要得到爱才能知道什么是爱，而你要失去自由才能知道什么是自由。十年后我们再来看这一条，看我们的想法有没有改变，我的朋友。
masterpiece
我还有一个多年好友是istj，现在在做国际法律师，她是我亲密接触（?）的几乎唯一一个stj人样本。她是东亚社会非常健全的那种stj人，不空心，而且性格特征完全正面作用于她的人生经历。而且只要被她划分成自己人就会很爽，有好几次冒然去她的城市找她，她会非常仔细地帮我订酒店，问我行程安排，带我去 ​​​ ...展开
每次和fe主导功能（eg.enfj/esfj）的朋友聊天玩耍之后都会有种如沐春风的感觉，belike：妈咪。。。如果我一定要找老公/老婆，那ta肯定是enfj。。。虽然我们infj第二功能就是fe，但是辅助功能就是辅助功能，特别是对于们这种主导功能ni高到爆表的人。被动技能触发就是很痛苦，和enfj/esfj这种需要社交获 ​​​ ...展开
我就这样一直眼泪汪汪
女神不要走
每当有人问我咋一年考过B2的 我：有没有想过我就是单纯会做题 ​​​
//@recky_yy:“那棵树杵在那不是为了做桌子的”，这个比喻好灵也好残忍。。女人的躯体用来生孩子，和树砍掉用来做桌子有一定程度上的共性，都是牺牲自己的livelihood，满足另外的功能。。//@卧猫岗的猫:“阻止别人妨碍我做自己的一场战争”。陈英老师说话特别有文学性。
德国笑话×3 ​​​
在大环境如此的情况下，说别人盈利方式危险其心可诛。不事先沟通➕举证就赛博升堂更是不要脸。//@让我先急你别急:原帖最后一段话的逻辑，我没看懂。一个漫画才更一两章时就开始卖周边的人，凭什么说别人“盈利方式很危险”？一个月5块钱，大半年才出一次周边，很危险吗？（自己这么说真的不觉得双标吗 ...展开
时光机带我回到了过去，你也试试？微博回忆
。。//@Arminia-NoPain:wait a sec，他说的不是限制级演员，而是说他认识一个泛性恋（panerotik）的演员，但总之就是他觉得自己作为直人少了很多人生可能性（。
把我头像截掉什么意思
认识这个初中学弟蛮久了，没想到真有人能在2025准备去大毕改，那就祝他成功吧……目前来讲还是积压太严重，旧航线很多都没恢复新航线更是遥遥无期，航司疫情又亏爆了，小副驾飞上航班一个月基本半勤降薪 ​​​
十桶女你们。。//@AMNH680:🌿//@起个昵称糊弄一下:这个转折简直就是从百草园到三只松鼠
就这样mermer哭
拖把姐又幸福了
牛人//@国格厨:怎么想到的//@说给Gigi狗:好惊喜//@张批话:商业天才//@我又有一些真知灼见:哈哈哈哈哈哈哈哈哈哈我的脏话喷薄而出//@胡紫茶:…… //@来去之间://@木岛主:这属于博彩了//@编辑态:哈哈哈哈，对//@小狗要冬眠了:这个吗 查看图片
omg
🐻🐦//@既生瑜何弃疗:这也太萌
//@弱小米米酱://@-草妈是最小的政治-:眉间这点丹砂轮不着外人管教 查看图片
太权威了。。
没救了
太牛了。。
老师我们孩子是脂包肌还有救吗 ​​​
哥们不是……
喜欢//@成为承载暴雨的夜晚:神作
今年走318去理塘了
看到前年手机截图太搞笑了 失足后来学策展 希望你一切都好 ​​​
被老德鸽了之后被一个学妹捞了 这次是真找到房了//@WillowKatze:找到房了是溢价比较高的神秘暖租七百多欧30㎡学生公寓 打算去了再慢慢找wg
玩//@逃避就能得到吻吗:@WillowKatze 玩
