我们喜欢玫瑰，正是因为它有凋零的时刻，正如我们爱一个人，不是因为 TA 有多么完美，而是因为 TA 也有脆弱的时刻。#喜欢# ​​​
过于激烈的反应，大多数情况都是因为“与我有关”
//@郭纪念:🥺
看完了第五期，整个过程感受到的是情绪很弥漫的状态，李行亮和麦琳之间的相处，让人感觉确实很疲惫，就像 Papi 看完就一个字，“疲”，疲惫的点在于，他们的互动给我们带来了深深的无力感，麦琳时常感受到的容貌的焦虑，不自信，无价值感，以及像嘉宾说的“模范夫妻的虚荣感”，或许是她一直在家庭里当 ​​​ ...展开
安全的失落，好美的说法。
多觉察，当自己越来越了解自己的时候，就像是自己清楚了自己的每一个文件夹的位置，里面存放着什么，有哪些可执行程序，哪些易损文件，及时的进行查看和修复。
我也是这样，有的时候睡不着了，和自己聊聊天会好很多
心灵也会感冒的呀，身体感冒了会流鼻涕会咳嗽，心灵感冒了也会流眼泪的。 ​​​
小孩子是很可爱的生物，因为 TA 们总觉得很多东西都是自己造成的，总想着，是不是我做点什么或者我放弃什么，外界就会改变。懂事的小孩最让人心疼。#心理学# ​​​
对一个孩子来说，少吃一颗糖或许只是一颗糖，可是当每一次都告诉自己少吃一颗糖时，或许TA就会开始怀疑自己到底配不配吃一颗糖。 ​​​
共情不是“我们如此相似”，恰恰是承认“我们如此不同”。
哈哈哈哈哈哈哈，真的猜不到
好精准的描述，对一个人的主体性准确识别
如果一直考虑谁付出的多谁付出的少，实际上是把对方放在了对立面，爱情不是付出的竞赛，是两个人一起打人生的副本，最终的目标是玩得开心，两个人加在一起付出的多才是多，不是一个人比另一个多才是多。
把自己当做真实的人去爱吧，真实的人，本身就是多姿多彩的
