女性就是太爱反思自己了 其实不用那么事无巨细完美
记得有人说过在个体的真实处境里面，女性的生存环境相对来说是那么恶劣的，关键是女的比男的还要厌女 ，这是我不能理解的，也认为是无厘头的事情，身为女性不应该是先自爱以及爱同性，才有更多同性不来为难你嘛//@henawei:关键是女的比男的还要厌女 这是我最不能理解的
把自己最好的资源分享给她，他去欧洲任职时带上了林徽因，让她借着这个机会增长见识看世界，林徽因也是因此找到了自己一生奋斗的目标：建筑；  把女儿当作继承人，带在身边手把手教导她，让她理解自己的事业理想抱负；  尊重女儿的志向抱负，利用自己的资源去助推她，帮助她走向目标（宾大建筑系性别歧 ...展开
+1  大家因为对自己的选择不自信，才会否定别人的选择。 像我这种老自信的，生了孩子也挺开心的。我就尊重任何人的选择，不论你想生还是不想生，我都说一句“挺好”！  其实人生本身就是很随机的一件事，没有人可以如意算盘规划好自己的一生永不吃亏。 所以当下的每一个选择就是怎么开心怎么来。让自己 ...展开
//@每天运动的女士:最好的选择就是远离权力动物，不争辩纠缠。权力动物没有合作念头，只有夺取和占便宜的概念。而现实只有上位者对下位者才是利用吃干抹净理所当然，所以有人就要当家庭上位者。平常当社畜在公司拉磨也就算了，回家了还要面临权力动物居高临下的抢夺占便宜，人生就被浪费在无休止的对抗 ...展开
人的环境不同，或者立场不同，需求不同，理解不同+1，费劲吧啦一大堆没有用的//@菌子仙:我也理解家庭完好对女儿当宝一样出身的女生，对她不理解也正常。所以美南说的很好。人不在不同立场不同环境需求不同，基层很多女性就是需要她的魄力，就像很多女生需要张桂梅一样。// ...展开
在这种类型人眼里，孩子哪怕读书读的最好，就算是万分之一幸运了，真的改变命运了，也得无条件听从孝顺于管控中，否则就是白眼狼白养了，孩子是工具人而已//@菌子仙:身在农村的表妹要想脱离家里的安排，必须有否定父母的勇气，离开家的勇气。要不然就会又回到农村，不管以前读书多好，也不可能改变出身 ...展开
+1提出批评的人，他没有任何建设性的意见，完全不知道怎么做。被批评的人，也完全不知道怎么做。唯一的用处，就是破坏当下的好心情，好氛围，并且让批评的人爽了，感觉自己当爹了。 如果一个人非常精通批评，发现问题，但是他不知道具体怎么做，这种人就是标准的否定型人，和这种人就非常痛苦。  只会 ...展开
+1，人生不应该只是为了别人而活，追求自我成长和实现个人价值才是王道！
"不过有种拎的清的人，是讨厌具体的某个人和喜欢具体的某个人呀，才有数呀。  有观察到的一个非常有意思现象哈，一个女的帮忙另外一个被男人所谓欺负女的，然后被那个女人背刺了，向男的邀功讨喜呀。 由此有想到精神文化结构带来的影响，这种女人根本就是任其自生自灭，会更适合她呀。   +1,很多女人内 ...展开"
如果你作为女人，很会吃苦你就会吃很多苦，从来没有先苦后甜的。逃离是太多女人一生的史诗啦。  除了那种独生女儿而且是受宠爱的，一般来说父母对女儿的爱都是先有条件的，需要女儿付出来换取的，女性不配得感自卑重，而对儿子往往是无条件的托举以及帮助助力，毕竟可以是姓氏财产继承的。  当被压迫剥 ...展开
大部分人不会是前者的，因为前者忙的都绝育了。
的确+1，感觉现在大家又忽略那个真正囚禁强奸的既得利益者和加害者了。 又让男人吸女人血后，剥削压榨干女人后，加害者默默隐形了的剧情，n次出现了
越偏僻的农村贫困山区地区越是信奉女孩无用论，只有胯下有那二两肉才是人，或者肚子里出个男宝也可以勉强抬为人。 没生男宝一辈子被苛责，生了男宝被环境同化，去迫害其他未婚或者已婚生女的女性。 人会在环境的异化下变成吃女人的怪物鬼。
纵使女性生存情况恶劣，有那么多问题还亟待解决，但都先放放，先骂个女人再说…是吗？ dy那种媳妇走丢了找媳妇的视频下面真的超级多男的互相想办法，教up不要给女人钱，用铁链拴起来，装屏蔽信号器，不要让女人接触手机电脑，关在屋里，先生了孩子再说…  没有人骂。  我真的建议那些没办法为女的做点 ...展开
最重要的一件事：  要急剧的降低个人素质，最好做到脏话张口就来的程度。  尤其是中国的职场美女，都有一种泼妇焦虑，很害怕被人骂素质低劣的泼妇，一定要维持自己精致，高知，温柔的形象。  但这种策略对社会博弈和商业搏杀是完全不起作用的。  中国的成功人士几乎没有冷静温柔的，全都都有狼性，狼性 ...展开
跟性别有何关系，可真有意思+1，说女人之间的事就说呗，女人是背后小动作多呀，还要说一堆男人没有这种事情的故事，你不是男人你怎么知道男人圈里是怎么互相背刺的呢？他们只是没和你说而已，你只是知道男人没有背刺过你，不过因为你和男人不存在某种关系或者你没在男人圈子里。
完全正确，//@丛林大鹅:其实人类都是先有情绪，然后再根据自己的情绪进行语言表达的。表面看来是大家都在讲理，其实背后的真相是每个人都在表达各自的情绪。所以选人识人，根子就是去链接筛选那些能对自己产生积极情绪的人，而不是改造那些对自己有消极情绪的人。因为情绪的走向很难扭转，你要是想让一 ...展开
我真的受够了男导演拍的自己幻想的工具型的女人，“美丽”、“哀伤”、“忠诚”、“为爱情付出一切”、“女性最重要的就是家庭”、“男人就是我的天”。   来看看女导演是怎么拍的？   小叶和眼科医生，铁梅和前夫，铁梅和鼓手老师…所有性缘关系里面都没有爱！只有需求！   性的需求，被爱的需求，但 ...展开
//@Yundor:点了//@波比球闪耀宇宙:叶珂录音这件事出来的第一反应就是那个爆料的妖怪非常阴狠，因为叶珂并没有真正伤害过这个男人，他表达神态很明显就是装作正义来博流量的，利用精神文化结构中女性很容易把男性当作精神法官的心理特权来高高在上的审判绞杀和碾压叶珂，并以此出名牟利。虽然我不喜欢叶 ...展开
顺直男的厌女就表现在这里，无论是献媚讨好女性，或者贬低侮辱女性，都是把女性“他者化”的一种表现，觉得女性是一种不同于男性的“妖怪”，而男性才是第一人称视角行走得“主角”。不得不说，其实很多男同性恋也秉持这样的想法。
如果现在有人指着一个样板人说你不够高不够瘦不够好看不够聪明不够理智不够有学识…  你什么感觉？  而且这个世界也没有一个够高够瘦够好看够聪明够理智够有学识…的样板人！  同样也没有一段“够健康”的样板关系！  不要再追求这种东西了！  大家恋爱也好婚姻也好，找的是自己的需求，是一个锅配一个 ...展开
在父权制社会，男性更容易得到支持占领资源，男主外女主内，生下一个女儿也是去支持丈夫的事业，所以以前的人们更倾向生儿子，因为理论上来说生儿子更能在父权制社会积累财富，像是投资品一样，最后可以让父母收回养育孩子的成本。  但是现在，养育儿子支持儿子事业成功的成本越来越大，而且儿子也不一 ...展开
//@人五_:“为什么我经常说男的没有爱情，就是这样，男性表现出温柔、大方、殷勤、明事理、好沟通、充满同情心…的样子，只是他期望征服女性支配女性表现出的一种捕猎的假象而已，他渴望女性爱上自己，根本不是为了和女性相爱，而是为了通过“爱”来支配女性，确认自己“第一性”的主体地位。”
在这一套叙事里，女人没有自主意识，是一种资源，甚至是一种“家用牲口”，每家每户都应该安排一个，女人自己的想法则不用考虑。  女人是完全被男人做主的客体。  但是如果女人真的是完全被男人做主的客体，是资源，那没有分配到这个资源的男人，应该恨谁？  自然是分配资源的人。  在异性恋世界里，男 ...展开
//@人五_://@不想上班我不想上班我不想上班:身边男长辈但凡自己干不出来的事，都会让女方出面，觉得女人是可以撒泼不要脸的，男的自己老家房子要不到钱骂老婆不出面，自己工伤要不到赔偿骂老婆不会要，自己在门口种棵树被物业拔了骂老婆不去找物业。男人是要留着那张正襟危坐的假面子的，而老婆是可以 ...展开
